
[00:00:00.000 --> 00:00:01.600]  鄧卿姊妹主內平安
[00:00:01.600 --> 00:00:07.120]  聖經有很多很精簡的金句
[00:00:07.120 --> 00:00:08.320]  有兩篇
[00:00:08.320 --> 00:00:10.840]  兩節我是特別喜歡的
[00:00:10.840 --> 00:00:12.280]  一個在《貞賢》
[00:00:12.280 --> 00:00:13.480]  一個在《詩篇》
[00:00:13.480 --> 00:00:18.120]  《貞賢》十章二十二節
[00:00:18.120 --> 00:00:20.160]  都是一個很有智慧的書
[00:00:20.160 --> 00:00:22.120]  它說
[00:00:22.120 --> 00:00:25.360]  「耶和華所賜的福使人富足」
[00:00:25.360 --> 00:00:27.920]  「並不加上憂慮」
[00:00:28.360 --> 00:00:32.840]  這句話對我們來說是非常之大的提醒
[00:00:32.840 --> 00:00:36.280]  上星期我們都是說關於「富足」的事情
[00:00:36.280 --> 00:00:39.960]  怎樣才能在《上主侶》中得到「富足」
[00:00:39.960 --> 00:00:41.320]  它告訴我們
[00:00:41.320 --> 00:00:43.800]  原來上帝給我們已經是樣樣足夠
[00:00:43.800 --> 00:00:46.240]  不再加上憂慮
[00:00:46.240 --> 00:00:48.680]  但是我們偏偏有很多憂慮
[00:00:48.680 --> 00:00:53.240]  另外一節就是在《詩篇》四十六篇十節裡說
[00:00:53.240 --> 00:00:55.280]  「你們要休息」
[00:00:55.280 --> 00:00:57.920]  「要知道我是上帝」
[00:00:58.200 --> 00:01:01.480]  這個也提醒我們要多休息
[00:01:01.480 --> 00:01:03.680]  休息不只是睡覺的意思
[00:01:03.680 --> 00:01:05.200]  休息真的要我們靜下來
[00:01:05.200 --> 00:01:06.160]  想一想
[00:01:06.160 --> 00:01:12.080]  享受一下大自然上帝創造的環境
[00:01:12.080 --> 00:01:14.160]  多一點與神親近
[00:01:14.160 --> 00:01:16.800]  多一點在教會生活裡面有團契
[00:01:16.800 --> 00:01:19.080]  跟弟兄姊妹有好的相交
[00:01:19.080 --> 00:01:23.680]  這都是令我們更深地去認識主
[00:01:23.680 --> 00:01:25.200]  更深地去愛祂
[00:01:25.560 --> 00:01:28.560]  這些真的是非常好的金句
[00:01:28.560 --> 00:01:31.040]  也是我做人的座右銘
[00:01:31.040 --> 00:01:34.000]  我其中一句金句
[00:01:34.000 --> 00:01:36.800]  「使人富足加上憂慮」
[00:01:36.800 --> 00:01:38.320]  我有一個牌子
[00:01:38.320 --> 00:01:39.840]  是基督教書局買的
[00:01:39.840 --> 00:01:41.680]  放在書桌上
[00:01:41.680 --> 00:01:43.760]  提醒我不要這麼多憂慮
[00:01:43.760 --> 00:01:46.360]  因為上帝給我們的是「富足」
[00:01:46.360 --> 00:01:49.080]  不是要增添憂慮給我們
[00:01:49.080 --> 00:01:53.320]  但是偏偏我們有很多憂慮
[00:01:53.320 --> 00:01:57.720]  今天我們的題目是「基督女的新生活」
[00:01:57.720 --> 00:02:00.200]  如果大家之前也有來聽我說
[00:02:00.200 --> 00:02:02.000]  《哥羅西書》幾次的話
[00:02:02.000 --> 00:02:03.720]  知道重點在哪裡
[00:02:03.720 --> 00:02:06.720]  重點不是一個新的生活這麼簡單
[00:02:06.720 --> 00:02:09.680]  重點就是要在基督裡面
[00:02:09.680 --> 00:02:12.080]  我們有一個不同的生活
[00:02:12.080 --> 00:02:15.280]  新的生活相信大家都知道
[00:02:15.280 --> 00:02:19.120]  我們尤其是在香港過了來英國沒多久
[00:02:19.120 --> 00:02:20.600]  已經兩三年了
[00:02:20.600 --> 00:02:23.840]  你來到英國一定是過一個新的生活
[00:02:23.840 --> 00:02:26.880]  跟香港是很不同的
[00:02:26.880 --> 00:02:29.640]  英國的生活跟香港是非常不同的
[00:02:29.640 --> 00:02:31.600]  你不是從法國走過來英國
[00:02:31.600 --> 00:02:33.520]  你是從香港過來
[00:02:33.520 --> 00:02:35.040]  是一個不同的世界
