
[00:00:00.000 --> 00:00:03.640]  大家好,又讀聖經了,眨眼又一天了
[00:00:03.640 --> 00:00:09.600]  新密書又鼓勵大家看聖經人、聖經事和聖經背後的上帝做些什麼
[00:00:09.600 --> 00:00:13.160]  今天就再看看撒姆爾,仍然是撒姆爾紀相
[00:00:13.160 --> 00:00:16.560]  也是撒姆爾紀相第七章,真的要講很久了
[00:00:16.560 --> 00:00:19.760]  我今天就改了這些字做題目
[00:00:19.760 --> 00:00:24.160]  不是聖經有的,是我自己加上去的
[00:00:24.160 --> 00:00:29.160]  撒姆爾是什麼呢?是一個勤力工作的事司
[00:00:29.160 --> 00:00:33.760]  有沒有想過,撒姆爾是一個很好的事司
[00:00:33.760 --> 00:00:38.840]  戴爾遜的人打得很好,龜向神,個個認罪,很好
[00:00:38.840 --> 00:00:42.760]  常常祝福他,非理事人都被他打倒,很厲害
[00:00:42.760 --> 00:00:49.360]  但是看回今天所記載的撒姆爾其實是一個很勤力工作的事司
[00:00:49.360 --> 00:00:55.160]  其實到了現在勤力工作的撒姆爾
[00:00:55.160 --> 00:00:57.640]  最初大家認識撒姆爾是什麼時候的?
[00:00:57.640 --> 00:00:59.760]  撒姆爾的第一章、第二章
[00:00:59.760 --> 00:01:03.560]  童子撒姆爾,小朋友
[00:01:03.560 --> 00:01:09.560]  到現在看著他媽媽哈娜虔誠祈禱,撒姆爾出生
[00:01:09.560 --> 00:01:12.560]  然後跟著以利魯濟斯服事
[00:01:12.560 --> 00:01:16.960]  童子撒姆爾,到現在的撒姆爾
[00:01:16.960 --> 00:01:21.360]  已經不是孩童,不是少年了,老年了
[00:01:21.360 --> 00:01:25.360]  幾章聖經之後就老了,你說人生就是這樣了
[00:01:25.360 --> 00:01:28.560]  好,撒姆爾的上帝七章十五節
[00:01:28.560 --> 00:01:32.960]  先看這個勤力工作的撒姆爾的事司
[00:01:32.960 --> 00:01:37.960]  撒姆爾平生作以色列的事司
[00:01:37.960 --> 00:01:39.960]  先讀完這些聖經
[00:01:39.960 --> 00:01:43.960]  撒姆爾平生作以色列的事司
[00:01:43.960 --> 00:01:45.960]  成世做事司
[00:01:45.960 --> 00:01:50.560]  第十六節,他每年巡行到
[00:01:50.560 --> 00:01:52.560]  這裡綠色字先不要看
[00:01:52.560 --> 00:01:56.560]  他每年,這個每字是有的,不過希伯來文是沒有的
[00:01:56.560 --> 00:01:58.560]  所以用藍色畫了
[00:01:58.560 --> 00:02:02.560]  他每年巡行到哪裡呢?
