
[00:00:00.000 --> 00:00:03.000]  我們看這段聖經的時候
[00:00:03.000 --> 00:00:04.600]  我們必須要明白
[00:00:04.600 --> 00:00:06.400]  它是緊接前文的
[00:00:06.400 --> 00:00:10.400]  是頭六章是以色列起行前的準備
[00:00:10.400 --> 00:00:13.600]  百姓和安營的位置都有關係
[00:00:13.600 --> 00:00:15.200]  第五章亦都提到
[00:00:15.200 --> 00:00:16.800]  他們納潔淨的條例
[00:00:16.800 --> 00:00:18.600]  是照著神的吩咐
[00:00:18.600 --> 00:00:21.600]  這個對他們在抗疫路是非常重要
[00:00:21.600 --> 00:00:25.600]  因為那個和他們的衛生很有關係
[00:00:25.600 --> 00:00:28.000]  亦都是給他們一個提醒
[00:00:28.000 --> 00:00:30.600]  神的聖潔人不能冒犯
[00:00:30.600 --> 00:00:33.600]  我們必須是尊神為聖
[00:00:33.600 --> 00:00:35.600]  我們都要看到我們的生活
[00:00:35.600 --> 00:00:38.000]  必須要分別為聖
[00:00:38.000 --> 00:00:40.200]  第六章其實就是講到
[00:00:40.200 --> 00:00:42.200]  這個分別為聖歸於神
[00:00:42.200 --> 00:00:45.400]  其中就是那世爾人的那個條例
[00:00:45.400 --> 00:00:50.400]  和最後就是大祭司他們的祝福、祈禱
[00:00:50.400 --> 00:00:53.400]  在跟著我們第七章之後
[00:00:53.400 --> 00:00:56.600]  我們都會去到第十章都會看到
[00:00:56.600 --> 00:00:59.400]  神是透過這個會幕
[00:00:59.400 --> 00:01:01.400]  日間有雲彩
[00:01:01.400 --> 00:01:06.000]  來到在他們的會幕當中停留
[00:01:06.000 --> 00:01:08.600]  表示他們不要起行了
[00:01:08.600 --> 00:01:10.600]  他們就停在這個地方
[00:01:10.600 --> 00:01:14.200]  夜間亦都在雲彩裏面有火
[00:01:14.200 --> 00:01:15.800]  所謂火柱
[00:01:15.800 --> 00:01:19.400]  這些都是很清楚神的同在
[00:01:19.400 --> 00:01:20.800]  和神的引導
[00:01:20.800 --> 00:01:22.000]  何時動呢
[00:01:22.000 --> 00:01:24.000]  就是雲彩要行
[00:01:24.000 --> 00:01:26.600]  代表神要吩咐他們要行
[00:01:26.600 --> 00:01:28.000]  他一行的時候
[00:01:28.000 --> 00:01:34.000]  就整個會幕的基建、組件全部拆出來
[00:01:34.000 --> 00:01:38.600]  所以工程都是很多事情要做的
[00:01:38.600 --> 00:01:40.600]  你要明白這個背景
[00:01:40.600 --> 00:01:43.600]  我們之前其實是有看過
[00:01:43.600 --> 00:01:46.000]  為什麼利美那三個兒子要分配
[00:01:46.000 --> 00:01:48.400]  有不同的在會幕
[00:01:48.400 --> 00:01:51.000]  和這個聖所、至聖所的聖物
[00:01:51.000 --> 00:01:54.000]  是很清楚的來有吩咐
[00:01:54.000 --> 00:01:56.600]  他亦都要吩咐他們要守禦節
[00:01:56.600 --> 00:02:00.400]  紀念他們從埃及離開這個遺老之家
[00:02:00.400 --> 00:02:03.200]  他們從西乃這個地方
[00:02:03.200 --> 00:02:06.000]  其實原本是要進入這個
[00:02:06.000 --> 00:02:08.600]  流乃與物之地就是這個迦南地
[00:02:08.600 --> 00:02:10.000]  原本很快的
[00:02:10.000 --> 00:02:13.600]  但是就因為他們的信心不足
[00:02:13.600 --> 00:02:15.800]  他們接不上神的應許
[00:02:15.800 --> 00:02:17.800]  所以在第十章到二十五章
[00:02:17.800 --> 00:02:20.200]  是記載到他們在曠野裏頭
[00:02:20.200 --> 00:02:23.600]  不斷的信心軟弱、失敗
[00:02:23.600 --> 00:02:27.000]  亦都經歷上帝多方面的管教
[00:02:27.000 --> 00:02:29.000]  在二十六章到三十六章
[00:02:29.000 --> 00:02:33.200]  就是他們在摩訶平原要重新去數點民數
[00:02:33.200 --> 00:02:35.000]  即是百姓一次
[00:02:35.000 --> 00:02:37.600]  當時這個新的數點
[00:02:37.600 --> 00:02:40.200]  就是新的一代起來了
[00:02:40.200 --> 00:02:41.600]  但是舊的一代
[00:02:41.600 --> 00:02:44.600]  就亦都很多已經在曠野路裏面
[00:02:44.600 --> 00:02:46.600]  他們都已經死去
[00:02:46.600 --> 00:02:49.800]  剩下就是迦納和約書亞
[00:02:49.800 --> 00:02:56.200]  後來摩西都被神接去
[00:02:56.200 --> 00:02:58.000]  在這個尼泊爾山上面
