
[00:00:00.000 --> 00:00:03.320]  各位午安 主內平安
[00:00:03.320 --> 00:00:08.820]  祝各位身體健康 身心靈健壯
[00:00:08.820 --> 00:00:11.260]  今年的農曆新年很特別
[00:00:11.260 --> 00:00:15.000]  全民裝備一齊去敬拜神
[00:00:15.000 --> 00:00:18.160]  都是一個很大的另類恩典
[00:00:18.160 --> 00:00:20.160]  以我們帶著上帝給我們的祝福
[00:00:20.160 --> 00:00:24.580]  我們有沒有平安 喜樂 盼望地進入新的一年
[00:00:24.580 --> 00:00:26.580]  真正的迎春節福
[00:00:26.580 --> 00:00:28.580]  我們同心的祷告
[00:00:28.580 --> 00:00:32.580]  差的恩主 你是蒼天祖地 將官萬有的主
[00:00:32.580 --> 00:00:34.580]  我們向你獻上感恩頌贊
[00:00:34.580 --> 00:00:36.580]  在歲首年終的時候
[00:00:36.580 --> 00:00:38.580]  我們去數算上帝你的恩典
[00:00:38.580 --> 00:00:40.580]  真是你的恩典去救我們
[00:00:40.580 --> 00:00:42.580]  縱然生命有很多的挑戰
[00:00:42.580 --> 00:00:44.580]  只要上帝與我們同在
[00:00:44.580 --> 00:00:47.580]  我們就能夠得力去衝破很多不容易的處境
[00:00:47.580 --> 00:00:49.580]  願上帝親自向我們說話
[00:00:49.580 --> 00:00:51.580]  以致藉著你的經文在當中的教導
[00:00:51.580 --> 00:00:54.580]  以致無論是講的 聽的 和蒙福
[00:00:54.580 --> 00:00:55.580]  聽我們的禱告
[00:00:55.580 --> 00:00:57.580]  奉教國救主 耶穌基督 寶貴聖名去救
[00:00:57.580 --> 00:00:59.580]  阿 名
[00:00:59.580 --> 00:01:04.580]  慶賀新年意味著我們經歷了在地上多年的歲月
[00:01:04.580 --> 00:01:06.580]  坊間有一句名句很多人都聽過
[00:01:06.580 --> 00:01:09.580]  人生有幾多個十年
[00:01:09.580 --> 00:01:12.580]  提醒人要去珍惜歲月
[00:01:12.580 --> 00:01:14.580]  人能夠活幾多個十年
[00:01:14.580 --> 00:01:16.580]  我想不到我們會選擇
[00:01:16.580 --> 00:01:19.580]  不過最關鍵的都不是有幾多個十年
[00:01:19.580 --> 00:01:23.580]  而是究竟我們如何善用我們的時間 日子
[00:01:23.580 --> 00:01:26.580]  有什麼原因會妨礙我們不可以珍惜歲月
[00:01:26.580 --> 00:01:28.580]  不可以好好地活在當下
[00:01:28.580 --> 00:01:30.580]  經歷生命的成長
