
[00:00:00.000 --> 00:00:02.000]  戴燕姊妹主內平安
[00:00:02.000 --> 00:00:07.000]  感謝神讓我再有機會在港台和大家見面
[00:00:07.000 --> 00:00:09.000]  也很感謝神
[00:00:09.000 --> 00:00:12.000]  剛才大家聽到我們崇拜主席的篇討聞
[00:00:12.000 --> 00:00:15.000]  其實就是我今天講到的總綱
[00:00:15.000 --> 00:00:19.000]  聽完之後其實我可以收工了
[00:00:19.000 --> 00:00:21.000]  非常之好
[00:00:21.000 --> 00:00:26.000]  其實我覺得我們崇拜近幾年最大的改進
[00:00:26.000 --> 00:00:29.000]  其實所謂改進就是和上帝更加拉得近
[00:00:29.000 --> 00:00:32.000]  在崇拜我們更加提升我們的敬拜
[00:00:32.000 --> 00:00:35.000]  我們可以說大家多方面
[00:00:35.000 --> 00:00:39.000]  無論是簡歌 討聞都配合得非常之好
[00:00:39.000 --> 00:00:44.000]  我們一起都是同心的來到上帝面前領受他的話語
[00:00:44.000 --> 00:00:49.000]  在第四世紀有一個早期的教父
[00:00:49.000 --> 00:00:51.000]  聽到教父我們想起那齣戲
[00:00:51.000 --> 00:00:54.000]  意大利的黑手黨 馬隆巴蘭島
[00:00:54.000 --> 00:00:57.000]  應該不是你們的年代的戲
[00:00:57.000 --> 00:01:01.000]  其實所謂教父就是教會的父親
[00:01:01.000 --> 00:01:05.000]  早期教會的屬靈的長者
[00:01:05.000 --> 00:01:07.000]  奧古斯丁是其中一個
[00:01:07.000 --> 00:01:10.000]  他有一句話就是
[00:01:10.000 --> 00:01:14.000]  The new is in the old concealed
[00:01:14.000 --> 00:01:16.000]  The old is in the new revealed
[00:01:16.000 --> 00:01:17.000]  這句話是什麼意思呢
[00:01:17.000 --> 00:01:20.000]  他說新的就是隱藏在舊的裏面
[00:01:20.000 --> 00:01:24.000]  舊的在新的顯露出來
[00:01:24.000 --> 00:01:27.000]  這句話套用在聖經上告訴我們
[00:01:27.000 --> 00:01:30.000]  其實新約就是隱藏在舊約裏面
[00:01:30.000 --> 00:01:34.000]  而舊約藉著新約就會顯露出來
[00:01:34.000 --> 00:01:37.000]  我們也看到希伯來書
[00:01:37.000 --> 00:01:39.000]  也很清楚提醒我們的律法
[00:01:39.000 --> 00:01:43.000]  只不過是未來美好的事的影
[00:01:43.000 --> 00:01:46.000]  這幾句話提醒我們舊約是很重要的
[00:01:46.000 --> 00:01:49.000]  不要以為我們看舊約好像與我們無關
[00:01:49.000 --> 00:01:52.000]  說明是舊的舊約
