
[00:00:00.000 --> 00:00:02.160]  鴻海原來不是終點站
[00:00:02.160 --> 00:00:06.140]  鴻海應該就是曠野之路的起點
[00:00:06.140 --> 00:00:08.440]  加南地是終點
[00:00:08.440 --> 00:00:11.520]  應該曠野之路行三個月搞定
[00:00:11.520 --> 00:00:12.540]  結果一行
[00:00:12.540 --> 00:00:13.820]  就行了四十年
[00:00:13.820 --> 00:00:16.380]  我們會知道在這裡
[00:00:16.380 --> 00:00:18.940]  他就走了三天的旅程
[00:00:18.940 --> 00:00:20.740]  就去到一個地方
[00:00:20.740 --> 00:00:22.280]  就叫做馬拉
[00:00:22.280 --> 00:00:23.040]  三天
[00:00:23.040 --> 00:00:25.340]  這樣的數字
[00:00:25.340 --> 00:00:27.640]  除了真是在字面裡面
[00:00:27.640 --> 00:00:29.180]  解作三日之外
[00:00:29.440 --> 00:00:32.000]  並且你會發現在舊約裡面
[00:00:32.000 --> 00:00:33.800]  通常出現過三字
[00:00:33.800 --> 00:00:37.120]  都是解作很短這樣的意思
[00:00:37.120 --> 00:00:38.660]  譬如三日
[00:00:38.660 --> 00:00:39.940]  三星期
[00:00:39.940 --> 00:00:40.960]  三個月
[00:00:40.960 --> 00:00:41.980]  三年
[00:00:41.980 --> 00:00:43.260]  總之有個三
[00:00:43.260 --> 00:00:44.040]  就是很短
[00:00:44.040 --> 00:00:46.840]  現在正正就是短中的短
[00:00:46.840 --> 00:00:48.380]  因為他的單位不是年
[00:00:48.380 --> 00:00:49.920]  不是月不是星期
[00:00:49.920 --> 00:00:50.680]  而是日
[00:00:50.680 --> 00:00:52.220]  也就是短中的最短
[00:00:52.220 --> 00:00:54.020]  短短的三日
[00:00:54.020 --> 00:00:54.780]  之前
[00:00:54.780 --> 00:00:56.580]  他是氣勢激昂
[00:00:56.580 --> 00:00:57.600]  信心澎湃
[00:00:57.600 --> 00:00:59.140]  三日之後
[00:00:59.640 --> 00:01:01.440]  找不到水的這個現實
[00:01:01.440 --> 00:01:02.980]  又叫他們
[00:01:02.980 --> 00:01:05.020]  完完全全忘記了
[00:01:05.020 --> 00:01:07.840]  上帝一切奇妙作為和恩典
[00:01:07.840 --> 00:01:10.400]  你能夠想像一個的弟兄姊妹
[00:01:10.400 --> 00:01:11.680]  他三日之前
[00:01:11.680 --> 00:01:12.960]  就非常有信心
[00:01:12.960 --> 00:01:14.240]  然後三日之後
[00:01:14.240 --> 00:01:15.520]  就信心破產
[00:01:15.520 --> 00:01:17.060]  你覺不覺得整件事
[00:01:17.060 --> 00:01:18.080]  好南轅北轍
[00:01:18.080 --> 00:01:19.360]  然後
[00:01:19.360 --> 00:01:21.160]  他去到了一個地方
[00:01:21.160 --> 00:01:22.680]  那個地方
[00:01:22.680 --> 00:01:23.960]  就叫做馬拉
[00:01:23.960 --> 00:01:24.740]  馬拉
[00:01:24.740 --> 00:01:26.520]  原文讀做馬拉
[00:01:26.520 --> 00:01:28.580]  其實是解作很苦的意思
[00:01:29.340 --> 00:01:30.100]  為什麼呢
[00:01:30.100 --> 00:01:32.400]  就因為你想像他們沒水喝
[00:01:32.400 --> 00:01:34.200]  前面看到一堆水
[00:01:34.200 --> 00:01:35.480]  很興奮
[00:01:35.480 --> 00:01:37.020]  然後就衝過去
[00:01:37.020 --> 00:01:38.820]  想著喝的時候一喝
[00:01:38.820 --> 00:01:39.840]  原來是中藥來的
[00:01:39.840 --> 00:01:41.380]  是苦的
[00:01:41.380 --> 00:01:42.900]  喝不下口的
[00:01:42.900 --> 00:01:43.940]  然後
[00:01:43.940 --> 00:01:45.220]  他們就立即
[00:01:45.220 --> 00:01:46.240]  向摩西
[00:01:46.240 --> 00:01:47.520]  去道發怨言
[00:01:47.520 --> 00:01:49.560]  那我們很值得
[00:01:49.560 --> 00:01:51.100]  就要查一查
[00:01:51.100 --> 00:01:52.640]  怨言這個字
[00:01:52.640 --> 00:01:53.920]  在希伯來文
[00:01:53.920 --> 00:01:55.960]  是一個什麼的意思
[00:01:55.960 --> 00:01:57.500]  起碼字典
[00:01:57.500 --> 00:01:59.040]  給到你有兩個解釋
[00:01:59.300 --> 00:02:00.840]  第一個的解釋
[00:02:00.840 --> 00:02:02.380]  就是叫做咆哮
[00:02:02.380 --> 00:02:03.920]  是不是很有意思
[00:02:03.920 --> 00:02:05.960]  發怨言就是咆哮
[00:02:05.960 --> 00:02:08.760]  如果你老公向你發怨言
[00:02:08.760 --> 00:02:11.840]  你可以跟他說你好像在咆哮
[00:02:11.840 --> 00:02:13.640]  原來這個字是解作這樣的
[00:02:13.640 --> 00:02:15.180]  這個是第一個意思
[00:02:15.180 --> 00:02:16.460]  第二個意思是什麼呢
[00:02:16.460 --> 00:02:19.520]  就是解作背叛
[00:02:19.520 --> 00:02:21.840]  你會覺得很奇怪
[00:02:21.840 --> 00:02:24.140]  發怨言和背叛
[00:02:24.140 --> 00:02:25.160]  有什麼關係
[00:02:25.160 --> 00:02:28.480]  背叛玩背叛 發怨言犯法怨言
[00:02:29.000 --> 00:02:31.560]  其實我們需要有個經文的背景
[00:02:31.560 --> 00:02:32.840]  我們能夠看得到
[00:02:32.840 --> 00:02:33.860]  因為
[00:02:33.860 --> 00:02:34.640]  以色列文
[00:02:34.640 --> 00:02:35.660]  大家都知道
[00:02:35.660 --> 00:02:38.740]  他們本來在埃及那裡去做奴隸
[00:02:38.740 --> 00:02:40.520]  他們效忠法老
[00:02:40.520 --> 00:02:41.300]  效忠埃及
[00:02:41.300 --> 00:02:43.600]  耶和華卻用大能的手
[00:02:43.600 --> 00:02:44.880]  伸出來的幫臂
[00:02:44.880 --> 00:02:46.920]  拯救他們離開埃及
[00:02:46.920 --> 00:02:48.200]  他們本來
[00:02:48.200 --> 00:02:50.500]  作埃及奴隸的他們
[00:02:50.500 --> 00:02:51.780]  搖身一變
[00:02:51.780 --> 00:02:53.840]  就成為耶和華的僕人
[00:02:53.840 --> 00:02:55.880]  本來效忠法老
[00:02:55.880 --> 00:02:57.420]  現在效忠耶和華
