
[00:00:00.000 --> 00:00:06.980]  冬季慢慢過去 天氣回暖 夏天終於要來了
[00:00:06.980 --> 00:00:08.980]  我和太太就有一個決定
[00:00:08.980 --> 00:00:14.900]  在家裡找一些夏季衣服出來穿 準備
[00:00:14.900 --> 00:00:17.480]  不知道大家有沒有相同的經驗
[00:00:17.480 --> 00:00:21.460]  有時衣服雜物太多
[00:00:21.460 --> 00:00:25.040]  就算家裡有衣櫃也好 可能也穿不完
[00:00:25.040 --> 00:00:27.380]  不知大家有什麼其他方法
[00:00:27.380 --> 00:00:34.160]  我們的方法是放一些衣服在行李箱上
[00:00:34.160 --> 00:00:36.880]  因為我家裡有很多行李箱
[00:00:36.880 --> 00:00:41.140]  特別是過去在泰國服侍生活七年的時間
[00:00:41.140 --> 00:00:45.460]  所以在泰國七年的東西就拿回香港
[00:00:45.460 --> 00:00:50.700]  有一個行李箱放在我們窗台最邊緣
[00:00:50.700 --> 00:00:53.440]  也有很多雜物壓著它
[00:00:53.440 --> 00:00:56.140]  所以平時我們比較少把它拿出來
[00:00:56.140 --> 00:01:00.140]  有一天我們終於決定把它拿出來
[00:01:00.140 --> 00:01:04.400]  一打開 我和太太都很驚訝
[00:01:04.400 --> 00:01:05.340]  為什麼呢?
[00:01:05.340 --> 00:01:12.080]  原來這個行李箱裡放了很多冬天可以穿的衣服
[00:01:12.080 --> 00:01:14.080]  我們一件一件拿出來
[00:01:14.080 --> 00:01:15.680]  我們都異口同聲地說
[00:01:15.680 --> 00:01:18.180]  原來這件衣服在這裡
[00:01:18.180 --> 00:01:22.620]  如果早前冷的時候可以拿出來穿
[00:01:22.620 --> 00:01:24.500]  那就最合適了
[00:01:24.500 --> 00:01:28.280]  誰知道整個冬季過去了
[00:01:28.280 --> 00:01:30.840]  其實我們也有其他厚衣服
[00:01:30.840 --> 00:01:32.040]  因為我們完全沒有
[00:01:32.040 --> 00:01:33.400]  也有長袖衣服
[00:01:33.400 --> 00:01:36.260]  但原來不止這麼少
[00:01:36.260 --> 00:01:39.060]  有很多可以穿的冬季衣服
