
[00:00:00.000 --> 00:00:02.020]  今次節目讓我們先聽神的禱語
[00:00:02.020 --> 00:00:03.440]  讓我們先同心的禱告
[00:00:03.440 --> 00:00:06.100]  弟子們 我們聽神的禱告之前先同心禱告
[00:00:06.100 --> 00:00:10.480]  護神啊 多謝祢讓我們能夠再次回來
[00:00:10.480 --> 00:00:13.280]  一起去聆聽主祢的禱禮
[00:00:13.280 --> 00:00:16.240]  讓祢的靈在我們當中
[00:00:16.240 --> 00:00:19.080]  真的引導我們明白主祢的心意
[00:00:19.080 --> 00:00:22.040]  讓我們也尊主祢為聖
[00:00:22.040 --> 00:00:23.960]  我們親愛的天父 感謝祢
[00:00:23.960 --> 00:00:26.400]  讓我們能夠再次打開祢的說話
[00:00:26.400 --> 00:00:29.680]  隨著祢的靈來帶領我們明白祢的心意
[00:00:29.680 --> 00:00:31.700]  讓我們依同在這裡
[00:00:31.700 --> 00:00:33.700]  尊主祢的名為聖
[00:00:33.700 --> 00:00:37.920]  天父 感謝祢再次讓我們有機會
[00:00:37.920 --> 00:00:40.700]  透過聖靈的指導
[00:00:40.700 --> 00:00:43.100]  讓我們能夠了解祢的心意
[00:00:43.100 --> 00:00:47.360]  讓我們一起準備我們的心
[00:00:47.360 --> 00:00:50.800]  讓我們能夠了解如何榮耀祢的名字
[00:00:50.800 --> 00:00:52.800]  我們在耶穌的名字上祈禱
[00:00:52.800 --> 00:00:55.120]  我們奉靠主耶穌的德性和明智
[00:00:55.120 --> 00:00:56.120]  Amen
[00:00:57.920 --> 00:01:01.880]  說到路這件事情其實在聖經裡面是很重要的一個題目
[00:01:01.880 --> 00:01:05.220]  講到路在聖經裡面是一個很重要的題目
[00:01:05.220 --> 00:01:08.040]  我們廣東人也有一句話叫做
[00:01:08.040 --> 00:01:10.420]  蛇有蛇路 鼠有鼠路
[00:01:10.420 --> 00:01:11.440]  就是說
[00:01:11.440 --> 00:01:12.720]  類似有這麼一句話
[00:01:12.720 --> 00:01:14.480]  蛇有蛇路 鼻有鼻路
[00:01:14.480 --> 00:01:16.920]  做人做事就要有紋路
[00:01:16.920 --> 00:01:19.280]  做事做人要有人路
[00:01:19.280 --> 00:01:23.200]  當發生任何時間的問題的時候
[00:01:23.200 --> 00:01:24.300]  我們都會跟那個人說
[00:01:24.300 --> 00:01:26.000]  有些事情好像不太對路
[00:01:26.000 --> 00:01:28.320]  有些事情做得不太對
[00:01:28.320 --> 00:01:30.360]  好像有些事情不太對路
[00:01:30.360 --> 00:01:34.000]  在神學上路更加重要的一個研究題目
[00:01:34.000 --> 00:01:37.320]  在神學上路是一個更加重要的研究題目
[00:01:37.320 --> 00:01:41.160]  所以說為基督徒人或者說眾人所明白的就是
[00:01:41.160 --> 00:01:42.960]  以色列人出埃及這條路
[00:01:42.960 --> 00:01:46.320]  大家最熟悉的就是在聖經裡面
[00:01:46.320 --> 00:01:48.200]  以色列人出埃及這條路
[00:01:48.200 --> 00:01:50.960]  知不知道以色列人花了多少年走那條曠野路
[00:01:50.960 --> 00:01:53.720]  以色列人花了多少年的曠野路
[00:01:53.720 --> 00:01:54.640]  多少年了?
[00:01:54.640 --> 00:01:55.480]  多少年了?
[00:01:55.480 --> 00:01:56.240]  四十年了
[00:01:56.240 --> 00:01:57.200]  是的 沒錯
[00:01:57.200 --> 00:01:58.200]  四十年
[00:01:58.200 --> 00:02:00.840]  走錯路可以走你四十年的
[00:02:00.840 --> 00:02:02.720]  走錯了就要走四十年
[00:02:02.720 --> 00:02:06.520]  所以其實有時候有些路我們不應該走上去的
[00:02:06.520 --> 00:02:08.800]  有些路我們是不應該走上去的
[00:02:08.800 --> 00:02:10.520]  不過實際上那條路很吸引
[00:02:10.520 --> 00:02:12.480]  那條路很需要人
[00:02:12.480 --> 00:02:14.960]  那你很自然就走到那條路走走
[00:02:14.960 --> 00:02:17.240]  有 很自然就走向那條路
[00:02:17.240 --> 00:02:21.160]  結果走上那條路就搞得自己走到身水身汗
[00:02:21.160 --> 00:02:23.560]  走到那條路走得自己非常辛苦
[00:02:23.560 --> 00:02:27.040]  我以前年輕的時候很喜歡和朋友去爬山
[00:02:27.040 --> 00:02:29.920]  所以我自己年輕的時候也喜歡和朋友爬山
[00:02:29.920 --> 00:02:32.240]  不過我的朋友經常走山路
[00:02:32.240 --> 00:02:34.560]  就說我要自己走另一條路
[00:02:34.560 --> 00:02:36.280]  就是有些朋友說
[00:02:36.280 --> 00:02:39.600]  我看到另一條路我想自己獨自去爬一爬走一走
[00:02:39.600 --> 00:02:40.880]  我每次都和他們說
[00:02:40.880 --> 00:02:42.080]  你懂不懂路
[00:02:42.080 --> 00:02:43.040]  所以我就說
[00:02:43.040 --> 00:02:45.960]  你知道這條路走向何方嗎?
[00:02:45.960 --> 00:02:47.600]  他們就很厲害的和我說
[00:02:47.600 --> 00:02:49.000]  路是人走出來的
[00:02:49.000 --> 00:02:51.680]  路就是人走出來的
[00:02:51.680 --> 00:02:53.040]  我試過有一次和一班朋友
[00:02:53.040 --> 00:02:54.360]  真的路走出來了
[00:02:54.360 --> 00:02:57.520]  試過有一次路真的走出來了
[00:02:57.520 --> 00:02:59.520]  他走那條山澗路
[00:02:59.520 --> 00:03:00.920]  走那條山澗路
[00:03:00.920 --> 00:03:03.440]  結果我們經過原本那條路
[00:03:03.440 --> 00:03:05.800]  已經本身走一個多小時而已
[00:03:05.800 --> 00:03:09.320]  一般來說以前那條路是走過百小時
[00:03:09.320 --> 00:03:10.920]  就是走了一天
[00:03:10.920 --> 00:03:12.120]  就是走了一天
[00:03:12.120 --> 00:03:13.560]  走的過程當中
[00:03:13.560 --> 00:03:14.440]  走的過程當中
[00:03:14.440 --> 00:03:17.040]  有人就跌到瀑布池底
[00:03:17.040 --> 00:03:19.600]  有人跌到瀑布的池底
[00:03:19.600 --> 00:03:21.440]  就打到大家要救他上來
[00:03:21.440 --> 00:03:22.680]  大家要把他救上來
[00:03:22.680 --> 00:03:25.480]  救完之後就爬瀑布的峭壁
[00:03:25.480 --> 00:03:28.080]  就是救他上來以後
[00:03:28.080 --> 00:03:29.680]  又爬那個池壁
[00:03:29.680 --> 00:03:31.400]  爬了一個多小時都沒爬到的時候
[00:03:31.400 --> 00:03:32.440]  接著就下雨了
[00:03:32.440 --> 00:03:33.920]  被爬上去之後
[00:03:33.920 --> 00:03:34.680]  慘了
[00:03:34.680 --> 00:03:35.960]  全身濕了
[00:03:35.960 --> 00:03:38.040]  背囊都進水了
[00:03:38.040 --> 00:03:40.760]  背囊全部入水了
[00:03:40.760 --> 00:03:44.320]  自此以後我不敢再和他們走這條路了
[00:03:44.320 --> 00:03:46.240]  從此以後不敢再走這條路了
[00:03:46.240 --> 00:03:48.080]  因為我知道再走
[00:03:48.080 --> 00:03:50.640]  很容易下次就走一條死路了
[00:03:50.640 --> 00:03:52.720]  再弄得不好就走一條死路了
[00:03:52.720 --> 00:03:53.800]  所以鄧英前輩
[00:03:53.800 --> 00:03:55.080]  走路是很重要的
[00:03:55.080 --> 00:03:56.720]  你為什麼這條路很重要
[00:03:56.720 --> 00:03:59.320]  你怎麼看出這條路應該走還是不走
[00:03:59.320 --> 00:04:00.520]  是很重要的一件事
[00:04:00.520 --> 00:04:03.080]  這條路到底走還是不走
[00:04:03.080 --> 00:04:04.400]  是一件很重要的事
