
[00:00:00.000 --> 00:00:03.000]  我們大家都是生活在美國的人
[00:00:03.000 --> 00:00:09.160]  不知道什麼原因讓你選擇在美國裡面生活
[00:00:09.160 --> 00:00:13.700]  我們當中有很多新的學生
[00:00:13.700 --> 00:00:15.820]  家裡也用了很多心機
[00:00:15.820 --> 00:00:17.640]  錢也是其次的
[00:00:17.640 --> 00:00:19.160]  想了很多方法
[00:00:19.160 --> 00:00:22.100]  就送你們來美國讀大學
[00:00:22.100 --> 00:00:23.100]  OK
[00:00:23.100 --> 00:00:26.160]  為什麼不送你們去別的國家呢?
[00:00:26.160 --> 00:00:28.960]  是不是你們比較容易呢?還是怎樣呢?
[00:00:30.640 --> 00:00:32.600]  我相信無論我們在這裡生活也好
[00:00:32.600 --> 00:00:36.880]  或者我們是被家人送來美國讀書也好
[00:00:36.880 --> 00:00:40.080]  我在猜想
[00:00:40.080 --> 00:00:42.580]  可能在我們的心目當中
[00:00:42.580 --> 00:00:44.700]  包括我們自己在內
[00:00:44.700 --> 00:00:47.300]  仍然有很多人相信
[00:00:47.300 --> 00:00:50.600]  美國的生活質素
[00:00:50.600 --> 00:00:53.860]  比世界其他很多的國家
[00:00:53.860 --> 00:00:56.780]  甚至可以說是絕大多數的國家
[00:00:56.780 --> 00:00:57.780]  都好
[00:01:00.000 --> 00:01:01.500]  但是美國
[00:01:01.500 --> 00:01:03.720]  是不是真是我們想象當中
[00:01:03.720 --> 00:01:05.060]  那麼理想的呢?
[00:01:05.060 --> 00:01:06.360]  當然很多東西是相對的
[00:01:06.360 --> 00:01:07.800]  你可以這麼說
[00:01:07.800 --> 00:01:09.960]  是不是美國所面對的危機
[00:01:09.960 --> 00:01:13.000]  真的比其他國家小呢?
[00:01:13.000 --> 00:01:16.240]  剛才看到的YouTube
[00:01:16.240 --> 00:01:17.640]  就任由你去解讀
[00:01:17.640 --> 00:01:19.640]  你自己怎麼看都好
[00:01:19.640 --> 00:01:21.640]  但是很明顯的一件事就是
[00:01:21.640 --> 00:01:25.280]  現時美國的制約情況
[00:01:25.280 --> 00:01:26.360]  有改善的
[00:01:26.360 --> 00:01:28.360]  不過不是很明顯的改善
[00:01:30.280 --> 00:01:32.400]  國家所負的債
[00:01:32.400 --> 00:01:35.000]  2 Trillion 我不懂得計算
[00:01:35.000 --> 00:01:37.000]  不過總之是天文數字
[00:01:37.000 --> 00:01:39.680]  美國唯一可以做的什麼呢?
[00:01:39.680 --> 00:01:41.360]  其他國家做不到也可以做到的
[00:01:41.360 --> 00:01:42.720]  印銀紙
[00:01:42.720 --> 00:01:44.720]  不斷印銀紙
[00:01:44.720 --> 00:01:46.520]  當你這樣做的時候
[00:01:46.520 --> 00:01:49.960]  所以它這個國際貨幣的地位
[00:01:49.960 --> 00:01:52.320]  也因為這樣的緣故
[00:01:52.320 --> 00:01:55.320]  有隨時被人取代的威脅
[00:01:55.320 --> 00:01:57.320]  未得不過有威脅了
[00:01:58.520 --> 00:02:00.120]  但是當我見到這些東西的時候
[00:02:00.120 --> 00:02:01.120]  經濟的情況
[00:02:01.120 --> 00:02:02.120]  國債
[00:02:02.120 --> 00:02:04.120]  就業的問題
[00:02:04.120 --> 00:02:06.920]  我們只是見到這些問題的表徵
[00:02:06.920 --> 00:02:09.920]  問題的表面
[00:02:09.920 --> 00:02:14.520]  究竟美國現時問題的
[00:02:14.520 --> 00:02:16.520]  精結
[00:02:16.520 --> 00:02:18.520]  在哪裡呢?
[00:02:18.520 --> 00:02:20.720]  我看回美國的歷史
[00:02:20.720 --> 00:02:22.720]  找回以前的一些資料
[00:02:22.720 --> 00:02:24.720]  我相信一個很出名的
[00:02:24.720 --> 00:02:26.120]  美國開國的時候
[00:02:26.120 --> 00:02:28.120]  後來也做了總統的
[00:02:28.520 --> 00:02:30.520]  Benjamin Franklin
[00:02:30.520 --> 00:02:33.520]  他81歲的時候
[00:02:33.520 --> 00:02:35.520]  他發表了一個演說
[00:02:35.520 --> 00:02:37.520]  在裡面他曾經這樣斷言
[00:02:37.520 --> 00:02:43.520]  The longer I live, the more convincing proofs I see of this truth
