
[00:00:00.000 --> 00:00:18.000]  祈福祈福
[00:00:18.000 --> 00:00:26.000]  精神準備平安
[00:00:26.000 --> 00:00:29.000]  我們曾經說我們這個課程
[00:00:29.000 --> 00:00:33.000]  就繼續研究舊約上經
[00:00:33.000 --> 00:00:38.000]  那麼大家手頭已經拿到了你的講義
[00:00:38.000 --> 00:00:43.000]  在這個主俄學的第二個課程當中
[00:00:43.000 --> 00:00:46.000]  我們仍然有六次的機會
[00:00:46.000 --> 00:00:50.000]  來一起來看舊約的一些信息
[00:00:50.000 --> 00:00:53.000]  那麼上一次如果你有來的話
[00:00:53.000 --> 00:00:55.000]  我相信你已經記得
[00:00:55.000 --> 00:00:58.000]  我們這兩次都是討論這個問題
[00:00:58.000 --> 00:01:03.000]  當你跟我在人生當中
[00:01:03.000 --> 00:01:07.000]  有一些不如意的事情發生的時候
[00:01:07.000 --> 00:01:09.000]  那麼我們怎樣的反應
[00:01:09.000 --> 00:01:12.000]  就是每個人都有這樣的一個機會
[00:01:12.000 --> 00:01:16.000]  我們人生總不是完全如意的
[00:01:16.000 --> 00:01:18.000]  或者今天你坐在這裏的時候
[00:01:18.000 --> 00:01:20.000]  你的心情也是一樣
[00:01:20.000 --> 00:01:23.000]  爲什麼發生這樣的事情在我身上
[00:01:23.000 --> 00:01:25.000]  我最需要他的時候
[00:01:25.000 --> 00:01:27.000]  他就離開了我
[00:01:27.000 --> 00:01:30.000]  我最怕最不想見的事情
[00:01:30.000 --> 00:01:33.000]  竟然就來到我的生命當中
[00:01:33.000 --> 00:01:35.000]  就發生在我的身上
[00:01:35.000 --> 00:01:39.000]  爲什麼我應該怎樣去面對這樣的情況
[00:01:39.000 --> 00:01:43.000]  你跟我都嘗試過這樣的
[00:01:43.000 --> 00:01:46.000]  我們上一次看了一個失敗的例子
[00:01:46.000 --> 00:01:48.000]  就是約拿,記得嗎?
[00:01:48.000 --> 00:01:52.000]  約拿同樣面對很不想見到的使命
[00:01:52.000 --> 00:01:57.000]  上帝要他做的,要他去完成的
[00:01:57.000 --> 00:02:00.000]  是他最討厭的,最不想的
[00:02:00.000 --> 00:02:03.000]  但是他怎麼辦?他逃避
[00:02:03.000 --> 00:02:06.000]  他有很多方法跟神鬥,對不對?
[00:02:06.000 --> 00:02:09.000]  最終成爲一個很可惜的失敗者
[00:02:09.000 --> 00:02:12.000]  今天我們來看成功者,好嗎?
[00:02:12.000 --> 00:02:14.000]  勝利者
[00:02:14.000 --> 00:02:16.000]  那麼這個勝利者是誰?
[00:02:16.000 --> 00:02:18.000]  我們不知道他的名字
[00:02:18.000 --> 00:02:20.000]  但是我們知道他是私人
[00:02:20.000 --> 00:02:23.000]  因爲他寫了兩篇的詩歌
[00:02:23.000 --> 00:02:26.000]  事實上,剛纔如果你有點時間
[00:02:26.000 --> 00:02:29.000]  看這個大綱的時候,你就知道
