
[00:00:00.000 --> 00:00:03.080]  今天講到跟信心很有關係
[00:00:03.080 --> 00:00:07.340]  有一個猶太的拉比
[00:00:07.340 --> 00:00:11.320]  研究舊約聖經裏面的一些律法的歷史
[00:00:11.320 --> 00:00:18.160]  他發現摩西共頒佈了613條的律法
[00:00:18.160 --> 00:00:23.220]  其中有365條是你要怎樣 你要怎樣 你要怎樣
[00:00:23.220 --> 00:00:27.000]  另外248條是不可以禁止的
[00:00:27.000 --> 00:00:29.920]  你不可以這樣 不準這樣
[00:00:29.920 --> 00:00:33.200]  接着大衛在《詩篇》第15篇
[00:00:33.200 --> 00:00:36.260]  將這些律法總結成
[00:00:36.260 --> 00:00:40.760]  神的命令總結成爲11條
[00:00:40.760 --> 00:00:48.400]  以塞亞書又將這11條再次總結成爲6條
[00:00:48.400 --> 00:00:53.480]  接着去到尼加書6章8節
[00:00:53.480 --> 00:01:00.240]  尼加書的作者又再一次將這6條總結成爲3條
[00:01:00.240 --> 00:01:04.420]  行公義 好憐民 存着謙卑的心
[00:01:04.420 --> 00:01:07.720]  與主禰的神同行
[00:01:07.720 --> 00:01:12.020]  不要只用一條 三條都是
[00:01:12.020 --> 00:01:14.900]  接着去到哈巴國書
[00:01:14.900 --> 00:01:21.160]  作者又將這些律法的精義總結成一句
[00:01:21.160 --> 00:01:26.800]  是什麼呢 義人必恩順德心
[00:01:26.800 --> 00:01:29.560]  《聖經》裏面講了很多很多次
[00:01:29.560 --> 00:01:33.200]  當我們憑着信心信得過我們的神
[00:01:33.200 --> 00:01:36.760]  信得過我們神的說話 祂的應許
[00:01:36.760 --> 00:01:40.840]  我們憑着這個信心去遵守神的命令
[00:01:40.840 --> 00:01:43.360]  神的祝福就臨到我們的生命裏面
[00:01:43.360 --> 00:01:46.100]  所以信心是非常重要
[00:01:46.100 --> 00:01:49.200]  信心在今天 特別在這個世代
[00:01:49.200 --> 00:01:52.480]  亦都是非常重要 信心的基礎是什麼呢
[00:01:52.480 --> 00:01:54.620]  今天講到我們會講到這件事
[00:01:54.620 --> 00:01:56.120]  我們一起用心識課經敗爲主
[00:01:56.120 --> 00:01:59.600]  主禰繼續在我們當中 讓我們同在
[00:01:59.600 --> 00:02:02.520]  今天讓禰真正的靈光照我們
[00:02:02.520 --> 00:02:06.040]  讓我們從心裏面去明白 領受
[00:02:06.040 --> 00:02:07.800]  並且擁抱禰的真理
[00:02:07.800 --> 00:02:09.560]  並且在我們生命裏面
[00:02:09.560 --> 00:02:12.600]  我們的人生取態得着改變
[00:02:12.600 --> 00:02:15.320]  主我奉耶穌的命令 吩咐一切的謊話
[00:02:15.320 --> 00:02:17.520]  一切難阻我們親近禰的
[00:02:17.520 --> 00:02:21.320]  去完全離開我們 最後今天讓我們定睜仰望禰
[00:02:21.320 --> 00:02:23.680]  專注於那個永恆的真實
