
[00:00:00.000 --> 00:00:01.800]  在開始前我們先有個禱告
[00:00:01.800 --> 00:00:05.080]  將我們的心聚焦在上帝的話語裡
[00:00:05.080 --> 00:00:08.200]  參加天父我們感謝祢
[00:00:08.200 --> 00:00:09.560]  讓我們有祢的恩典
[00:00:09.560 --> 00:00:12.560]  以致我們能夠經歷到祢的寶貴的福音
[00:00:12.560 --> 00:00:14.080]  祢透過耶穌基督
[00:00:14.080 --> 00:00:15.640]  讓我們能夠認識祢
[00:00:15.640 --> 00:00:18.000]  更加讓我們能夠回來教會
[00:00:18.000 --> 00:00:20.920]  成為上帝你教會的一部分
[00:00:20.920 --> 00:00:23.400]  今天當我們在崇拜當中
[00:00:23.400 --> 00:00:25.320]  去紀念祢的時候
[00:00:25.320 --> 00:00:27.520]  一方面我們紀念主耶穌基督復活
[00:00:27.520 --> 00:00:29.320]  另一方面我們都是願意
[00:00:29.320 --> 00:00:30.720]  去到主耶穌面前
[00:00:30.720 --> 00:00:34.120]  被上帝的話語充滿我們
[00:00:34.120 --> 00:00:35.640]  去轉化我們的生命
[00:00:35.640 --> 00:00:38.080]  又感謝祢讓孩子成為祢的僕人
[00:00:38.080 --> 00:00:39.480]  師嬰的工具
[00:00:39.480 --> 00:00:41.320]  以致能夠成為一條流通的管子
[00:00:41.320 --> 00:00:42.280]  將祢的道
[00:00:42.280 --> 00:00:45.000]  進入我們弟子妹妹的心靈當中
[00:00:45.000 --> 00:00:47.000]  求上帝祢打開我們的耳朵
[00:00:47.000 --> 00:00:48.240]  打開我們的心窗
[00:00:48.240 --> 00:00:50.480]  以致聖靈祢透過上帝的話語
[00:00:50.480 --> 00:00:51.600]  激動我們的心
[00:00:51.600 --> 00:00:54.480]  以致我們願意去回應神祢的心意
[00:00:54.480 --> 00:00:55.560]  求祢帶領我們
[00:00:55.560 --> 00:00:58.120]  禱告奉耶穌基督得性免治祈求
[00:00:58.120 --> 00:00:59.520]  阿門
[00:00:59.520 --> 00:01:02.040]  我們今年的年題是「作主門徒」
[00:01:02.040 --> 00:01:03.360]  如果還記得
[00:01:03.360 --> 00:01:06.480]  我在一月份用了彼得作為一個例子
[00:01:06.480 --> 00:01:08.320]  讓我們去做一個
[00:01:08.320 --> 00:01:09.960]  忠心跟隨主的門徒
[00:01:09.960 --> 00:01:12.800]  到了這個月的月題是「忠於主使命」
[00:01:12.800 --> 00:01:14.000]  繼續提醒我們
[00:01:14.000 --> 00:01:15.760]  要忠於主讓我們大使命
[00:01:15.760 --> 00:01:17.840]  就是使人作主的門徒
[00:01:17.840 --> 00:01:20.120]  今天我也挑選了另一位
[00:01:20.120 --> 00:01:22.480]  十二使徒之一的安德烈
[00:01:22.480 --> 00:01:24.400]  透過他的生命故事
