
[00:00:00.000 --> 00:00:05.700]  各位前因的弟兄姊妹,平安
[00:00:05.700 --> 00:00:07.700]  很開心見到大家
[00:00:07.700 --> 00:00:14.640]  特別今次仔仔一堂,坐得很滿,很感恩
[00:00:14.640 --> 00:00:16.640]  球主都帶領我們
[00:00:16.640 --> 00:00:19.340]  可能我們手機都裝了很多app
[00:00:19.340 --> 00:00:25.640]  今天不比賽了,最多app都給不到獎品
[00:00:25.640 --> 00:00:30.800]  我想問你最常用,或者你如果有一個app你一定要的
[00:00:30.800 --> 00:00:32.800]  沒有那個不行的是誰呢?
[00:00:32.800 --> 00:00:34.800]  WhatsApp
[00:00:34.800 --> 00:00:39.000]  我想我們大家又試過忘了帶手機
[00:00:39.000 --> 00:00:41.000]  現在比沒有帶錢還慘
[00:00:41.000 --> 00:00:43.000]  沒有帶手機,哎呀,大災
[00:00:43.000 --> 00:00:45.000]  哪裏都進不了
[00:00:45.000 --> 00:00:47.000]  今天回來崇拜都進不了
[00:00:47.000 --> 00:00:49.000]  當然啦,可能真的沒有帶
[00:00:49.000 --> 00:00:51.000]  我不知道有沒有方法
[00:00:51.000 --> 00:00:53.000]  有沒有方法不讓他們崇拜到
[00:00:53.000 --> 00:00:55.000]  我都很擔心經常
[00:00:55.000 --> 00:00:57.000]  後備手機之類
[00:00:57.000 --> 00:00:59.000]  我最近在玩一個app
[00:00:59.000 --> 00:01:01.000]  我很喜歡
[00:01:01.000 --> 00:01:03.000]  我一向不打機
[00:01:03.000 --> 00:01:05.000]  但是有一個app是學習語言的
[00:01:05.000 --> 00:01:07.000]  我發覺非常之好
[00:01:07.000 --> 00:01:09.000]  叫Duelingo
[00:01:09.000 --> 00:01:11.000]  我有機會跟大家分享一下
[00:01:11.000 --> 00:01:13.000]  它免費學,一路學的時候
[00:01:13.000 --> 00:01:15.000]  它會有很多辦法
[00:01:15.000 --> 00:01:17.000]  讓你去買它的東西
[00:01:17.000 --> 00:01:19.000]  但是它的免費課程是真的可以
[00:01:19.000 --> 00:01:21.000]  讓你一路免費學
[00:01:21.000 --> 00:01:23.000]  很多種語言的
[00:01:23.000 --> 00:01:25.000]  我都在學西班牙文
[00:01:25.000 --> 00:01:27.000]  因爲我經常要和地路那邊的
[00:01:27.000 --> 00:01:29.000]  我關心的對象來溝通
[00:01:29.000 --> 00:01:31.000]  所以要學一點西班牙文
[00:01:31.000 --> 00:01:33.000]  好一點
[00:01:33.000 --> 00:01:35.000]  有些app你會發覺沒有了不行
[00:01:35.000 --> 00:01:37.000]  有些app你會發覺很煩
[00:01:37.000 --> 00:01:39.000]  比如你看,平常看youtube
[00:01:39.000 --> 00:01:41.000]  有時候我們在崇拜
[00:01:41.000 --> 00:01:43.000]  都想播一條youtube片一起唱
[00:01:43.000 --> 00:01:45.000]  一開始就出現了什麼
[00:01:45.000 --> 00:01:47.000]  《車子劍》在賣廣告
[00:01:47.000 --> 00:01:49.000]  一會兒又搞了什麼其他廣告
[00:01:49.000 --> 00:01:51.000]  阻礙了
[00:01:51.000 --> 00:01:53.000]  要弄了它才玩幾次
[00:01:53.000 --> 00:01:55.000]  搞幾次
[00:01:55.000 --> 00:01:57.000]  很多時候那些app
[00:01:57.000 --> 00:01:59.000]  是方便你,但是背後有一個動機
[00:01:59.000 --> 00:02:01.000]  所以今天就很想
[00:02:01.000 --> 00:02:03.000]  問一下大家,在這個末世裏面
[00:02:03.000 --> 00:02:05.000]  如果有一個很好的app
[00:02:05.000 --> 00:02:07.000]  你會不會
[00:02:07.000 --> 00:02:09.000]  真的安裝了它呢?
[00:02:09.000 --> 00:02:15.000]  全世界2021年
[00:02:15.000 --> 00:02:17.000]  有一個最
[00:02:17.000 --> 00:02:19.000]  受歡迎的應用程式的
[00:02:19.000 --> 00:02:21.000]  一個展示
[00:02:21.000 --> 00:02:23.000]  他計過原來
[00:02:23.000 --> 00:02:25.000]  我們的中國製造
[00:02:25.000 --> 00:02:27.000]  抖音是全世界
[00:02:27.000 --> 00:02:29.000]  下載得最多的,其實這個
[00:02:29.000 --> 00:02:31.000]  不只是中國,其實在美國
[00:02:31.000 --> 00:02:33.000]  抖音都是下載得最厲害
[00:02:33.000 --> 00:02:35.000]  2021年
[00:02:35.000 --> 00:02:37.000]  是更厲害的,2020年
[00:02:37.000 --> 00:02:39.000]  更厲害,不過現在已經跌了1.94億
[00:02:39.000 --> 00:02:41.000]  還有6億
