
[00:00:00.000 --> 00:00:01.400]  凌智梅,午安!
[00:00:01.400 --> 00:00:04.000]  有沒有看奧運啊?
[00:00:04.000 --> 00:00:06.680]  應該很多人有看,是吧?
[00:00:06.680 --> 00:00:12.000]  在這個奧運進行得如火如荼的時候
[00:00:12.000 --> 00:00:14.400]  可能大家都有留意
[00:00:14.400 --> 00:00:18.800]  無論香港的運動員有沒有拿到牌也好
[00:00:18.800 --> 00:00:20.700]  很努力,是吧?
[00:00:20.700 --> 00:00:23.500]  真的很值得欣賞
[00:00:23.500 --> 00:00:26.600]  不過在這麼多的新聞當中
[00:00:26.600 --> 00:00:28.900]  有一則也挺有趣的
[00:00:28.900 --> 00:00:31.400]  我不知道大家有沒有留意到
[00:00:31.400 --> 00:00:43.000]  剛巧在張家朗成功衛免男子花劍個人賽金牌的時候
[00:00:43.000 --> 00:00:46.300]  二十八年前同一天
[00:00:46.300 --> 00:00:52.700]  李立山爲香港拿到第一面奧運金牌
[00:00:52.700 --> 00:00:55.700]  這個華浪風帆
[00:00:56.600 --> 00:01:01.600]  考考大家,我不知道有沒有人玩華浪風帆
[00:01:01.600 --> 00:01:07.700]  華浪風帆其實是沒有摩打的,是吧?
[00:01:07.700 --> 00:01:11.700]  華浪風帆如果要向前
[00:01:11.700 --> 00:01:15.300]  除了靠水流之外
[00:01:15.300 --> 00:01:16.600]  還靠什麼?
[00:01:16.600 --> 00:01:18.400]  風,是吧?
[00:01:18.400 --> 00:01:21.200]  說明是風帆當然是靠風
[00:01:21.400 --> 00:01:26.600]  不過呢,似乎這個問題也太簡單了
[00:01:26.600 --> 00:01:28.100]  是否這樣呢?
[00:01:28.100 --> 00:01:31.200]  你看到這裏有兩隻風帆
[00:01:31.200 --> 00:01:34.500]  如果是並排向前行
[00:01:34.500 --> 00:01:37.500]  一隻就想向左轉
[00:01:37.500 --> 00:01:39.600]  一隻向右轉
[00:01:39.600 --> 00:01:44.500]  那麼,風向、風力都一樣
[00:01:44.500 --> 00:01:45.700]  怎麼辦?
[00:01:45.700 --> 00:01:49.600]  憑什麼來轉彎?
[00:01:49.600 --> 00:01:51.600]  第一,轉不轉得到?
[00:01:51.600 --> 00:01:53.900]  沒理由轉不轉得到,是吧?
[00:01:53.900 --> 00:01:56.100]  否則出去了南中國海,對不對?
[00:01:56.100 --> 00:01:57.100]  一定轉得到的
[00:01:57.100 --> 00:01:59.600]  那麼,靠什麼來轉彎呢?
[00:01:59.600 --> 00:02:08.300]  其實,不是靠風去斷定它的方向
[00:02:08.300 --> 00:02:12.200]  是靠那個帆你需要調整
[00:02:12.200 --> 00:02:17.800]  然後才能夠去到你所去的方向
[00:02:18.400 --> 00:02:21.800]  今天要跟大家來看
[00:02:21.800 --> 00:02:24.300]  比如說比較書三章十七
[00:02:24.300 --> 00:02:25.900]  至四章一節
[00:02:25.900 --> 00:02:28.200]  保羅就是要勸免我們
[00:02:28.200 --> 00:02:32.100]  無論我們的環境,風有多大
[00:02:32.100 --> 00:02:34.800]  向哪個風吹都好
[00:02:34.800 --> 00:02:39.800]  我們一定要將自己的帆的方向
[00:02:39.800 --> 00:02:42.000]  調校得準確
[00:02:42.000 --> 00:02:44.800]  回到前面一點
[00:02:45.200 --> 00:02:50.600]  我們上一次看完比較書
[00:02:50.600 --> 00:02:54.000]  第三章前面的部分,對不對?
[00:02:54.000 --> 00:02:56.600]  除了第一節到第三節
[00:02:56.600 --> 00:03:01.600]  講到教會面對不同的假師傅的搞謠
[00:03:01.600 --> 00:03:04.700]  接着,四節到第十一節
[00:03:04.700 --> 00:03:06.700]  保羅有一個自白
[00:03:06.700 --> 00:03:10.800]  就是講他自己的信仰經歷
[00:03:10.800 --> 00:03:13.600]  走過一些高高低低
[00:03:13.800 --> 00:03:17.000]  甚至是要爲耶穌基督受苦
[00:03:17.000 --> 00:03:20.200]  然後,十二節到十六節就說
[00:03:20.200 --> 00:03:25.000]  就算是這樣,仍然要努力向前跑
[00:03:25.000 --> 00:03:28.200]  到底在這個信仰歷程
[00:03:28.200 --> 00:03:31.200]  向前跑,買向完全
[00:03:31.200 --> 00:03:35.400]  我們需要有些什麼東西要留意呢?
[00:03:35.400 --> 00:03:38.600]  在第十七到第十九節
[00:03:38.600 --> 00:03:41.200]  今天跟大家分享這一段經文
[00:03:41.200 --> 00:03:43.000]  就是講到第一點了
[00:03:43.800 --> 00:03:46.800]  想請大家先跟我一起讀一讀
