
[00:00:00.000 --> 00:00:03.980]  我們今天就會繼續看大衛
[00:00:03.980 --> 00:00:08.160]  記不記得上次我們講一擊即中
[00:00:08.160 --> 00:00:11.840]  大衛打贏了戈里亞
[00:00:11.840 --> 00:00:15.240]  結果他聲名大噪
[00:00:15.240 --> 00:00:20.160]  記住 人怕出名
[00:00:20.160 --> 00:00:22.800]  不知道大家知不知道叫什麼 豬怕肥
[00:00:22.800 --> 00:00:24.720]  當你出了名之後
[00:00:24.720 --> 00:00:28.800]  其實可能引來很多人對你有不同的看法
[00:00:28.800 --> 00:00:30.400]  都是一個問題
[00:00:30.400 --> 00:00:33.920]  大衛出了名之後就引來很多問題
[00:00:33.920 --> 00:00:39.480]  我們先看一看巴哈邦
[00:00:39.480 --> 00:00:42.880]  不知道大家熟不熟悉這句成語
[00:00:42.880 --> 00:00:46.880]  「吹呼拉鬧」是什麼意思
[00:00:46.880 --> 00:00:49.920]  「吹呼拉鬧」的意思就是
[00:00:49.920 --> 00:00:52.200]  它的破壞力很大
[00:00:52.200 --> 00:00:54.080]  就是無堅不摧
[00:00:54.080 --> 00:00:56.800]  那些東西全部被它破壞了
[00:00:56.800 --> 00:01:02.080]  我們已經看回當大衛打贏這場仗之後
[00:01:02.080 --> 00:01:06.280]  大衛就被召入宮服侍蘇羅
[00:01:06.280 --> 00:01:09.240]  聖經特別強調大衛的特質
[00:01:09.240 --> 00:01:13.080]  他很有魅力 吸引了很多人
[00:01:13.080 --> 00:01:16.600]  當然吸引很多人不一定有魅力
[00:01:16.600 --> 00:01:17.920]  我很深體會到
[00:01:17.920 --> 00:01:21.040]  很簡單舉一個例子
[00:01:21.040 --> 00:01:23.680]  現在很多人都喜歡看何生何態
[00:01:23.680 --> 00:01:28.040]  但我又不覺得何生何態有什麼魅力
[00:01:28.040 --> 00:01:33.520]  大衛令每一個人對他產生了好感
[00:01:33.520 --> 00:01:37.440]  包括了他的蘇羅兒子約拿丹
[00:01:37.440 --> 00:01:39.680]  他的女兒米甲
[00:01:39.680 --> 00:01:42.080]  還有其他的神僕 甚至是蘇羅
[00:01:42.080 --> 00:01:44.200]  我們先看一看一些經文
[00:01:44.200 --> 00:01:45.960]  我們請二汪給我們讀出來
