
[00:00:00.000 --> 00:00:03.160]  禮安,我們一起祈禱
[00:00:03.160 --> 00:00:06.420]  親愛的天父,我們感謝祢的恩典
[00:00:06.420 --> 00:00:10.020]  祢的恩典每一天都是新的
[00:00:10.020 --> 00:00:13.720]  我們感謝祢在今天這麼美好的日子
[00:00:13.720 --> 00:00:16.140]  讓我們一同來敬拜祢
[00:00:16.140 --> 00:00:20.260]  來求聖靈幫助我們明白祢的恩典
[00:00:20.260 --> 00:00:23.000]  並且有恰當的回應
[00:00:23.000 --> 00:00:26.040]  奉耶穌基督的名祈禱,阿們
[00:00:29.320 --> 00:00:32.120]  今天我們來到《創世紀》
[00:00:32.120 --> 00:00:38.420]  一至十一章的最後兩個比較有趣的事跡記載
[00:00:38.420 --> 00:00:43.420]  就是上主與羅亞立了一個彩虹之約
[00:00:43.420 --> 00:00:48.120]  並且辯論了人的口音的事
[00:00:48.120 --> 00:00:52.720]  這兩件事雖然是幾千年前發生
[00:00:52.720 --> 00:00:56.120]  但仍然是影響著我們今天的人
[00:00:57.260 --> 00:01:01.220]  《創世紀》一至十一章所記載的事
[00:01:01.220 --> 00:01:04.420]  可以說是有高度選擇性的
[00:01:04.420 --> 00:01:10.100]  那些故事是在未發明文字之前
[00:01:10.100 --> 00:01:13.100]  是由人口傳下去
[00:01:13.100 --> 00:01:18.600]  羅亞之前的故事一定是透過羅亞的子孫
[00:01:18.600 --> 00:01:24.500]  淺軸的子孫慢慢傳,傳到阿伯拉罕的後裔
[00:01:24.500 --> 00:01:29.360]  然後到摩西的時代才記載下來
[00:01:29.360 --> 00:01:34.060]  當然摩西也一定是受到聖靈的默示
[00:01:34.060 --> 00:01:37.260]  甚至是上帝的口述
[00:01:37.260 --> 00:01:40.360]  吩咐他要記下甚麼事
[00:01:40.360 --> 00:01:43.260]  《創世紀》一至十一章所記載的事
[00:01:43.260 --> 00:01:46.760]  主要有甚麼訊息呢?
[00:01:46.760 --> 00:01:49.760]  我相信主要的訊息就是
[00:01:49.760 --> 00:01:54.260]  上帝是有恩典、有憐憫的
[00:01:54.760 --> 00:01:57.760]  他是人類的父親
[00:01:57.760 --> 00:02:02.760]  他創造人的目的是要和人一起生活
[00:02:02.760 --> 00:02:06.260]  在一個和諧、相愛的關係當中
[00:02:06.260 --> 00:02:10.260]  上帝是處處為人設想
[00:02:10.260 --> 00:02:11.760]  在未做人之前
[00:02:11.760 --> 00:02:17.260]  他就做好了一個適宜人居的地方
[00:02:17.260 --> 00:02:20.260]  然後才做人
[00:02:20.260 --> 00:02:21.760]  也是為了人的好處
