
[00:00:00.000 --> 00:00:03.000]  烈王祭上十八章
[00:00:03.000 --> 00:00:07.800]  烈王祭上十八章四十一節到第四十五節
[00:00:07.800 --> 00:00:09.600]  這裏說以利亞對亞哈說
[00:00:09.600 --> 00:00:11.200]  你現在可以上去喫喝
[00:00:11.200 --> 00:00:13.000]  因爲有多餘的響聲了
[00:00:13.000 --> 00:00:14.200]  亞哈就上去喫喝
[00:00:14.200 --> 00:00:16.000]  以利亞上了加密山頂
[00:00:16.000 --> 00:00:19.200]  屈身在地 將臉浮在兩旗之中
[00:00:19.200 --> 00:00:21.800]  對僕人說你上去向海觀看
[00:00:21.800 --> 00:00:24.000]  僕人就上去觀看說沒有什麼
[00:00:24.000 --> 00:00:26.400]  他說你再去觀看如此七次
[00:00:26.400 --> 00:00:29.400]  第七次僕人說我看見一小片雲從海里上來
[00:00:29.400 --> 00:00:31.000]  不過如人手那樣大
[00:00:31.000 --> 00:00:33.000]  以利亞說你上去告訴亞哈
[00:00:33.000 --> 00:00:35.600]  當套車下去免得被雨阻擋
[00:00:35.600 --> 00:00:39.800]  煞時間 天因風雲黑暗降下大雨
[00:00:39.800 --> 00:00:42.400]  亞哈就坐車往耶穌列去了
[00:00:42.400 --> 00:00:44.400]  我們就讀到這裏
[00:00:44.400 --> 00:00:46.200]  昨天我們優勢的開播典禮
[00:00:46.200 --> 00:00:49.600]  感謝神我們有各界的人士一同來參加
[00:00:49.600 --> 00:00:51.000]  一同來慶賀
[00:00:51.000 --> 00:00:55.800]  這是教會進入媒體的一個新的紀元
[00:00:55.800 --> 00:01:00.400]  不但我們可以開始製作一些高品質的電視節目
[00:01:00.400 --> 00:01:04.600]  而且現在我們能夠擁有一個新的平臺
[00:01:04.600 --> 00:01:07.400]  來影響社區跟文化
[00:01:07.400 --> 00:01:09.400]  你們要知道
[00:01:09.400 --> 00:01:13.600]  要製作一個好節目是一回事
[00:01:13.600 --> 00:01:18.200]  能夠擁有一個媒體的平臺跟通路
[00:01:18.200 --> 00:01:20.400]  是另外一回事情
[00:01:20.400 --> 00:01:23.400]  因爲當你掌握了通路
[00:01:23.400 --> 00:01:27.600]  你其實就掌握了節目的內容
[00:01:27.600 --> 00:01:29.400]  這就好像以前在美國
[00:01:29.400 --> 00:01:31.600]  電視臺只有三家
[00:01:31.600 --> 00:01:35.000]  ABC NBC CBS
[00:01:35.000 --> 00:01:38.600]  很多的節目是否能夠被推出
[00:01:38.600 --> 00:01:41.400]  給廣泛的大衆來觀賞
[00:01:41.400 --> 00:01:47.400]  都取決於這三家電視臺的決策單位
[00:01:47.400 --> 00:01:49.600]  這就是影響力
[00:01:49.600 --> 00:01:56.200]  這是影響力決定什麼節目要被播放出來與否
[00:01:56.200 --> 00:01:59.600]  但自從有線電視
[00:01:59.600 --> 00:02:03.200]  跟所有的信號電子化之後
[00:02:03.200 --> 00:02:06.800]  就帶來一個新的競爭的平臺了
[00:02:06.800 --> 00:02:12.400]  現在是多少的電視臺百花齊放不是嗎
[00:02:12.400 --> 00:02:15.200]  每個電視臺都可以決定
[00:02:15.200 --> 00:02:17.800]  它自己的節目內容
[00:02:17.800 --> 00:02:21.600]  不再像以前三家獨大
[00:02:21.600 --> 00:02:25.200]  現在有各式各樣的channel
