
[00:00:00.000 --> 00:00:05.320]  感謝神給我今日有機會在當中跟大家分享神的話語
[00:00:05.320 --> 00:00:09.480]  今日除了可以說是與福奇最後一個主日之外
[00:00:09.480 --> 00:00:11.760]  亦都是「忠知主日」
[00:00:11.760 --> 00:00:15.240]  是紀念昔日耶穌進入耶路撒冷的時候
[00:00:15.240 --> 00:00:18.480]  有很多的群眾去歡迎祂
[00:00:18.480 --> 00:00:21.920]  當然耶穌知道自己是預備受苦
[00:00:21.920 --> 00:00:25.400]  但群眾舉起「忠知」
[00:00:25.400 --> 00:00:30.080]  很大聲說「我撒拿奉旨於明來」應當是傾眾的
[00:00:30.080 --> 00:00:34.480]  願意我們每一個今日都好像百姓一樣
[00:00:34.480 --> 00:00:36.280]  預備我們的心靈
[00:00:36.280 --> 00:00:38.040]  從我們心靈的深處裏面
[00:00:38.040 --> 00:00:42.240]  真是很歡迎我們的主耶穌進入我們這個地方
[00:00:42.240 --> 00:00:44.440]  進入我們的心靈裏面
[00:00:44.440 --> 00:00:51.200]  更加去體會耶穌願意為這個教會去捨己
[00:00:51.200 --> 00:00:55.120]  這個恩典讓我們能夠活出神子民的恩典
[00:00:55.120 --> 00:00:59.480]  能夠做到與神相憐與人相愛
[00:00:59.480 --> 00:01:06.400]  請我們一齊同心祈禱
[00:01:06.400 --> 00:01:08.400]  親愛的天父
[00:01:08.400 --> 00:01:11.160]  我們感謝讚美你
[00:01:11.160 --> 00:01:16.520]  因為我們知道教會是你所設立
[00:01:16.520 --> 00:01:20.240]  基督愛教會為教會捨己
[00:01:20.240 --> 00:01:21.040]  除了我們感謝你
[00:01:21.040 --> 00:01:24.160]  我們知道你愛我們到底
[00:01:24.160 --> 00:01:26.200]  以致我們今日
[00:01:26.200 --> 00:01:29.360]  我們眾人來到你的寶座面前
[00:01:29.360 --> 00:01:32.360]  一齊的敬拜歌頌
[00:01:32.360 --> 00:01:35.600]  求你的聖靈運行在我們的心裏面
[00:01:35.600 --> 00:01:39.720]  讓我們明白你自己的話語
[00:01:39.720 --> 00:01:41.200]  我們這樣祈禱仰望
[00:01:41.200 --> 00:01:44.080]  是奉主耶穌基督得勝的明智祈求
[00:01:44.080 --> 00:01:46.000]  阿門
[00:01:46.000 --> 00:01:48.360]  這份所書是保羅所寫
[00:01:48.360 --> 00:01:56.240]  亦都可以說是講關於教會講得最清楚的一卷書
[00:01:56.240 --> 00:01:58.640]  當時這份所教會裏面
[00:01:58.640 --> 00:02:01.040]  除了有猶太的基督徒之外
[00:02:01.040 --> 00:02:04.320]  亦都有外邦的基督徒
[00:02:04.320 --> 00:02:05.800]  但是在這卷書裏面
[00:02:05.800 --> 00:02:07.720]  很告訴我們
[00:02:07.720 --> 00:02:11.760]  無論是猶太人或者是外邦人
[00:02:11.760 --> 00:02:13.920]  只要他在基督耶穌裏面
[00:02:13.920 --> 00:02:16.640]  就是一家人
[00:02:16.640 --> 00:02:19.840]  可以說當時其實無論是猶太人
[00:02:19.840 --> 00:02:21.520]  或者是外邦人
[00:02:21.520 --> 00:02:24.520]  文化上都會有很多的不同
[00:02:24.520 --> 00:02:26.440]  可能他們雖然信了耶穌
[00:02:26.440 --> 00:02:29.520]  他們之間可能仍然有很多的隔膜
[00:02:29.520 --> 00:02:33.400]  保羅就希望藉著這一個書信的提醒
[00:02:33.400 --> 00:02:36.560]  去幫助當時的教會
[00:02:36.560 --> 00:02:40.880]  亦都可以說幫助歷世歷代的弟兄姊妹
[00:02:40.880 --> 00:02:47.320]  明白到這個教會不單只是一個地方
[00:02:47.320 --> 00:02:50.000]  更加是一個宇宙性的教會
[00:02:50.000 --> 00:02:53.520]  弟兄姊妹的關係是一個屬靈的關係
[00:02:53.520 --> 00:02:55.560]  並且能夠有合一的基礎
[00:02:55.560 --> 00:02:58.560]  是因為耶穌基督
[00:02:58.560 --> 00:03:01.680]  今日就讓我們去思想這一段經文
[00:03:01.680 --> 00:03:04.080]  在未思想之前
[00:03:04.080 --> 00:03:05.880]  我可能和大家分享一個
[00:03:05.880 --> 00:03:09.880]  將來天上可能會發生的一個團契的情景
[00:03:09.880 --> 00:03:13.160]  保羅就和彼得這樣說
[00:03:13.160 --> 00:03:16.280]  「彼得你記不記得加大太書二章
[00:03:16.280 --> 00:03:18.880]  我曾經提過你一件事
[00:03:18.880 --> 00:03:20.960]  當然記得
[00:03:20.960 --> 00:03:25.800]  那些年你和外邦弟兄吃飯
[00:03:25.800 --> 00:03:30.640]  剛剛有些猶太的弟兄過來
[00:03:30.640 --> 00:03:33.960]  你就遮遮掩掩地避席
[00:03:33.960 --> 00:03:35.040]  我就看不過眼
[00:03:35.040 --> 00:03:37.560]  我就馬上斥責你
[00:03:37.560 --> 00:03:41.280]  當時你生不生氣
[00:03:41.280 --> 00:03:42.760]  彼得就回答
[00:03:42.760 --> 00:03:44.800]  怎麼會生氣
[00:03:44.800 --> 00:03:47.200]  當時的心真的不太舒服
[00:03:47.200 --> 00:03:49.800]  其實還有些難過
[00:03:49.800 --> 00:03:51.520]  因為你其實都很硬來
[00:03:51.520 --> 00:03:54.440]  你看得出我為甚麼避席
[00:03:54.440 --> 00:03:56.560]  我就是怕那些很強
[00:03:56.560 --> 00:03:59.120]  很強說一定要受割禮的弟兄
[00:03:59.120 --> 00:04:01.160]  見到我和外邦弟兄
[00:04:01.160 --> 00:04:03.160]  那些未受割禮的人一起吃飯
[00:04:03.160 --> 00:04:07.000]  他們不喜歡
[00:04:07.000 --> 00:04:08.640]  其實我都明白
[00:04:08.640 --> 00:04:11.480]  神的救恩不單止給猶太人
[00:04:11.480 --> 00:04:13.560]  更加給外邦人
[00:04:13.560 --> 00:04:15.800]  我們都是傳這個和平的福音
[00:04:15.800 --> 00:04:17.480]  給近處的猶太人
[00:04:17.480 --> 00:04:22.760]  亦都給遠處的外邦人
