
[00:00:00.000 --> 00:00:02.000]  各位導演姊妹早安
[00:00:02.000 --> 00:00:05.520]  今天有機會在這裡跟大家分享神的話語
[00:00:05.520 --> 00:00:07.520]  我們開始的時候一起同心祈禱
[00:00:07.520 --> 00:00:09.520]  秋月主我們謝謝祢
[00:00:09.520 --> 00:00:12.520]  因為我們都是蒙祢所選順領受這個恩典的人
[00:00:12.520 --> 00:00:14.520]  無論我們怎樣去回應
[00:00:14.520 --> 00:00:16.520]  或者我們何時去回應
[00:00:16.520 --> 00:00:22.520]  神祢都是照樣的同樣很公平的讓我們有機會去認識祢
[00:00:22.520 --> 00:00:24.520]  有機會活在祢的恩典之中
[00:00:24.520 --> 00:00:27.520]  求祢今日用祢的話語教導我們,引導我們
[00:00:27.520 --> 00:00:31.520]  去明白怎樣去將這個好的訊息去跟人分享
[00:00:31.520 --> 00:00:33.520]  禱告奉耶穌基督命求,阿們
[00:00:33.520 --> 00:00:37.520]  今日題目是同蒙揀選
[00:00:37.520 --> 00:00:41.520]  無論我們回教會多久認識主與否
[00:00:41.520 --> 00:00:44.520]  我們都需要知道和明白
[00:00:44.520 --> 00:00:47.520]  其實我們得著這個恩典是神的預備
[00:00:47.520 --> 00:00:48.520]  是神的揀選
[00:00:48.520 --> 00:00:53.520]  這裡說神的揀選其實不是說揀某一些人
[00:00:53.520 --> 00:00:57.520]  全時間去做傳道人
[00:00:57.520 --> 00:01:01.520]  或者是宣教士等等
[00:01:01.520 --> 00:01:06.520]  而是我們被揀選成為神的兒女
[00:01:06.520 --> 00:01:09.520]  這段經文是《使徒行傳》
[00:01:09.520 --> 00:01:11.520]  《使徒行傳》其實呢
[00:01:11.520 --> 00:01:19.520]  因為我這段時間都和一些內地的目者比較深入的去查考
[00:01:19.520 --> 00:01:24.520]  所以有很多機會去深入去思考這本書
[00:01:24.520 --> 00:01:28.520]  特別是裡面有很多的歷史,很多的處境
[00:01:28.520 --> 00:01:32.520]  教會怎樣發生,教會給予什麼人
[00:01:32.520 --> 00:01:35.520]  初期教會其實面對一個很大的困難
[00:01:35.520 --> 00:01:37.520]  就是2000年前
[00:01:37.520 --> 00:01:40.520]  本來基督教是來自猶太人
[00:01:40.520 --> 00:01:42.520]  他們的信仰
[00:01:42.520 --> 00:01:48.520]  他們怎樣向非猶太人表達原本來自猶太人的信仰呢
[00:01:48.520 --> 00:01:50.520]  都面對一個很大的問題
[00:01:50.520 --> 00:01:56.520]  就是猶太人眼中的外邦人,外族人其實是次一等的
[00:01:56.520 --> 00:02:02.520]  就是猶太人認為自己是神所揀選的選民
[00:02:02.520 --> 00:02:05.520]  就是說其他人沒有份
[00:02:05.520 --> 00:02:08.520]  所以在他們的律法裡面
[00:02:08.520 --> 00:02:13.520]  不是猶太人或者皈依猶太教的就不是自己人
