
[00:00:00.000 --> 00:00:03.640]  David由四歲大開始就學習小提琴
[00:00:03.640 --> 00:00:06.280]  有一個老師免費的教他
[00:00:06.280 --> 00:00:08.920]  但有一次 David掛住打機
[00:00:08.920 --> 00:00:10.680]  不記得拉小提琴
[00:00:10.680 --> 00:00:13.400]  他的老師不是很高興
[00:00:13.400 --> 00:00:16.320]  爸爸知道之後 回來就打了他一巴
[00:00:16.320 --> 00:00:18.680]  跟他說 你不練小提琴
[00:00:18.680 --> 00:00:21.480]  就以後不要認我做爸爸
[00:00:21.480 --> 00:00:23.600]  David呆了
[00:00:23.600 --> 00:00:25.200]  從那個時間開始
[00:00:25.200 --> 00:00:27.760]  他就很努力地去練習
[00:00:27.760 --> 00:00:32.040]  亦在眾多的比賽中拿到很多的獎項
[00:00:32.040 --> 00:00:34.840]  David讀書亦都很厲害
[00:00:34.840 --> 00:00:36.720]  得到很好的成績
[00:00:36.720 --> 00:00:39.480]  畢業之後有一份好功
[00:00:39.480 --> 00:00:41.360]  好像有美好的前途
[00:00:41.360 --> 00:00:44.040]  但 David從來都不滿足
[00:00:44.040 --> 00:00:47.800]  在他心裏面有一種很強的憎恨的心
[00:00:47.800 --> 00:00:50.520]  遇到任何人一定會贏你
[00:00:50.520 --> 00:00:51.440]  但反過來
[00:00:51.440 --> 00:00:54.600]  他面對少許挫折 少許的失敗
[00:00:54.600 --> 00:00:56.600]  他就馬上跌入谷底
[00:00:56.600 --> 00:00:58.680]  成為一個很沮喪的人
[00:00:58.680 --> 00:01:02.480]  並且馬上就覺得自己一點價值都沒有
[00:01:02.480 --> 00:01:03.520]  專家說
[00:01:03.520 --> 00:01:08.760]  這種心態叫做「勞僕的心」
[00:01:08.760 --> 00:01:11.040]  Sandy在舞台裏面
[00:01:11.040 --> 00:01:15.040]  她的家人已經不斷地跟她媽媽說
[00:01:15.040 --> 00:01:18.000]  你今次一定要生個兒子
[00:01:18.000 --> 00:01:22.520]  Sandy彷彿感覺到她不被歡迎
[00:01:22.520 --> 00:01:24.240]  當她媽媽知道
[00:01:24.240 --> 00:01:28.760]  她女性之後就非常失望
[00:01:28.760 --> 00:01:31.160]  所以Sandy在嬰孩期
[00:01:31.160 --> 00:01:33.760]  她渴望媽媽去擁抱
[00:01:33.760 --> 00:01:37.200]  但她媽媽在這個時間卻不喜歡擁抱她
[00:01:37.200 --> 00:01:39.040]  當Sandy十個月大
[00:01:39.040 --> 00:01:43.320]  她父母打算將她送給人修養
[00:01:43.320 --> 00:01:45.160]  但臨離開的時候
[00:01:45.160 --> 00:01:48.360]  天真的Sandy對她爸爸笑了一笑
[00:01:48.360 --> 00:01:49.840]  她爸爸不捨得
[00:01:49.840 --> 00:01:52.160]  最終改變主意
[00:01:52.160 --> 00:01:54.040]  Sandy從小到大都覺得
[00:01:54.040 --> 00:01:57.080]  不斷地被拒絕的感覺
[00:01:57.080 --> 00:01:58.880]  所以她很乖
[00:01:58.880 --> 00:02:00.720]  她壓抑自己的情緒
[00:02:00.720 --> 00:02:02.760]  壓抑自己的感情
[00:02:02.760 --> 00:02:06.040]  盡她的能力討好她的父母
[00:02:06.040 --> 00:02:08.680]  對於她的師長、她的老師
[00:02:08.680 --> 00:02:10.280]  她是恭恭敬敬
[00:02:10.280 --> 00:02:12.480]  但敬而遠之
[00:02:12.480 --> 00:02:14.000]  當她長大之後
[00:02:14.000 --> 00:02:15.640]  可能有很多不同的機會
[00:02:15.640 --> 00:02:19.360]  她需要面對她覺得是權威的人士
[00:02:19.360 --> 00:02:22.920]  譬如父母、長輩、上司
[00:02:22.920 --> 00:02:26.040]  甚至在教會她要見牧師的時候
[00:02:26.040 --> 00:02:28.600]  她盡一切方法去逃避
[00:02:28.600 --> 00:02:29.720]  如果逃避不了
[00:02:29.720 --> 00:02:31.120]  就一直在聊天的時候
[00:02:31.120 --> 00:02:33.320]  說一些編製的東西
[00:02:33.320 --> 00:02:34.520]  在這裡西遊
[00:02:34.520 --> 00:02:37.440]  沒有辦法去到重心
[00:02:37.440 --> 00:02:38.560]  專家說
[00:02:38.560 --> 00:02:42.400]  這種是勞僕的心令我一種表現
[00:02:42.400 --> 00:02:44.680]  孤兒的靈
[00:02:44.680 --> 00:02:47.400]  Jimmy在一間公司工作了五年
[00:02:47.400 --> 00:02:49.480]  他表面上很開朗
[00:02:49.480 --> 00:02:52.600]  很堅強
[00:02:52.600 --> 00:02:55.560]  但每一次當他和上司
[00:02:55.560 --> 00:02:59.400]  去做成績檢討、工作評核的時候
[00:02:59.400 --> 00:03:02.920]  當上司嘗試指出他需要改善的地方
[00:03:02.920 --> 00:03:04.320]  Jimmy就馬上反彈
[00:03:04.320 --> 00:03:07.080]  並且情緒非常激烈
[00:03:07.080 --> 00:03:08.440]  Jimmy三歲的時候
[00:03:08.440 --> 00:03:10.080]  他爸爸就離開了他
[00:03:10.080 --> 00:03:14.240]  是他媽媽一手一腳獨力去養大他
