
[00:00:00.000 --> 00:00:02.000]  大英姊妹,新年快樂!
[00:00:02.000 --> 00:00:06.000]  好居然今天不用戴口罩,跟大家講到
[00:00:06.000 --> 00:00:09.000]  在新年一年,恭祝大家
[00:00:09.000 --> 00:00:12.000]  主恩滿日,愛主更多
[00:00:12.000 --> 00:00:15.000]  今年是套年,我想大家都在外面看到
[00:00:15.000 --> 00:00:19.000]  有一個很特別的祝福的句子
[00:00:19.000 --> 00:00:21.000]  就是「套氣揚眉」,好嗎?
[00:00:21.000 --> 00:00:23.000]  是不是「套氣揚眉」?
[00:00:23.000 --> 00:00:25.000]  套什麼氣呢?我恭祝大家
[00:00:25.000 --> 00:00:27.000]  套基督的香氣,好嗎?
[00:00:27.000 --> 00:00:31.000]  基督的香氣,那請大家跟旁邊的人說
[00:00:31.000 --> 00:00:33.000]  我們要「套氣揚眉」,行不行?
[00:00:33.000 --> 00:00:44.000]  在新的一年,第一卷門訓主義經文是《馬赫福音》
[00:00:44.000 --> 00:00:48.000]  這是最早寫成的福音書
[00:00:48.000 --> 00:00:51.000]  是主後五十至六十年寫成的
[00:00:51.000 --> 00:00:53.000]  寫於羅馬
[00:00:53.000 --> 00:00:58.000]  大多數學者都相信不少馬太和老家福音
[00:00:58.000 --> 00:01:03.000]  都是引用了《馬赫福音》的記載
[00:01:03.000 --> 00:01:09.000]  《馬赫福音》的作者是耶路撒冷人的約翰·馬赫
[00:01:09.000 --> 00:01:16.000]  早期的教會,時時在馬赫的母親家裡聚會
[00:01:16.000 --> 00:01:21.000]  馬赫他自己本身就不是十二個門徒其中之一
[00:01:21.000 --> 00:01:23.000]  他的表兄是巴拿巴
[00:01:23.000 --> 00:01:28.000]  馬赫曾經與保羅和巴拿巴同工
[00:01:28.000 --> 00:01:34.000]  後來就隨從仕途彼得去過巴比倫
[00:01:34.000 --> 00:01:37.000]  他與仕途彼得的關係很密切
[00:01:37.000 --> 00:01:42.000]  在彼得前書,彼得稱馬赫為「我的兒子」
[00:01:42.000 --> 00:01:46.000]  大部分學者都相信馬赫是從彼得的口中
[00:01:46.000 --> 00:01:49.000]  去寫成《馬赫福音》
[00:01:49.000 --> 00:01:51.000]  《馬赫福音》的主題是
[00:01:51.000 --> 00:01:55.000]  「耶穌是神的兒子,人的僕人」
[00:01:55.000 --> 00:01:58.000]  這也是今天正道的題目
[00:01:58.000 --> 00:02:03.000]  這個主題很清楚地列出在《馬赫福音》的約節
[00:02:03.000 --> 00:02:06.000]  在十章四十五節
[00:02:06.000 --> 00:02:08.000]  我們一起讀,好嗎?
[00:02:08.000 --> 00:02:14.000]  「因為人子來,並不是要受人的服侍,乃是以服侍人,
[00:02:14.000 --> 00:02:19.000]  並且要寫明,度作人的屬駕」
[00:02:19.000 --> 00:02:22.000]  神的兒子和人的僕人
[00:02:22.000 --> 00:02:25.000]  這兩個身份好像是對立的
[00:02:25.000 --> 00:02:29.000]  既然耶穌是神的兒子
[00:02:29.000 --> 00:02:33.000]  擁有至高無上的權柄
[00:02:33.000 --> 00:02:38.000]  為何會成為人的僕人來服侍人呢?
[00:02:38.000 --> 00:02:45.000]  就讓我們從《馬赫福音》第一章去認識這個福音書的主題
[00:02:45.000 --> 00:02:50.000]  在正道之前,讓我們一起禱告
[00:02:50.000 --> 00:02:54.000]  聖愛父神,感謝你賜下你的懷語
[00:02:54.000 --> 00:02:57.000]  讓我們能夠更多地認識你
[00:02:57.000 --> 00:03:01.000]  在以下的訊息中,求你的聖靈與我們同在
[00:03:01.000 --> 00:03:06.000]  幫助說的、聽的,都能夠更多明白你的心意
[00:03:06.000 --> 00:03:10.000]  使我們的生命能更加使你喜悅
[00:03:10.000 --> 00:03:15.000]  禱告這樣,是奉你獨生愛子,耶穌基督保佑的名字
[00:03:15.000 --> 00:03:17.000]  阿們
[00:03:17.000 --> 00:03:20.000]  《馬赫福音》第一章可以分為兩個部份
[00:03:20.000 --> 00:03:25.000]  1至28節是講關於耶穌是神的兒子
[00:03:25.000 --> 00:03:29.000]  他的身份、遜色、呼召和權柄
[00:03:29.000 --> 00:03:34.000]  29到45節是關於耶穌是人的僕人
[00:03:34.000 --> 00:03:38.000]  他的服侍和心腸
[00:03:38.000 --> 00:03:45.000]  1至13節宣告了耶穌有神兒子的名份
[00:03:45.000 --> 00:03:50.000]  1至8節是神兒子身份的預告
[00:03:50.000 --> 00:03:56.000]  第一節,《馬赫福音》以神的兒子,耶穌基督為開始
[00:03:56.000 --> 00:04:00.000]  因為這是基督教信仰的基礎
[00:04:00.000 --> 00:04:04.000]  特別是對於第一世紀的猶太人
[00:04:04.000 --> 00:04:07.000]  他們很多都不知道耶穌是誰
[00:04:07.000 --> 00:04:13.000]  所以《馬赫福音》引用了二塞亞書四十章3至5節
[00:04:13.000 --> 00:04:16.000]  這段經文是在主前七八年預言
[00:04:16.000 --> 00:04:20.000]  主耶和華來到之前
[00:04:20.000 --> 00:04:24.000]  將會有使者來預備主的道路
