
[00:00:00.000 --> 00:00:06.620]  我們會繼續去看復活的訊息
[00:00:06.620 --> 00:00:10.000]  講到復活節,講到復活
[00:00:10.000 --> 00:00:14.320]  講到聖經裡面如何提到復活這件事情
[00:00:14.320 --> 00:00:17.800]  是我們基督教信仰的核心
[00:00:17.800 --> 00:00:20.160]  沒有了這件事,有神的愛也沒有用
[00:00:20.160 --> 00:00:22.000]  沒有了這件事,有上帝的恩典也沒有用
[00:00:22.000 --> 00:00:25.800]  因為復活節或者復活的事實
[00:00:25.800 --> 00:00:29.220]  是我們生命裡面一個很重要的基石
[00:00:29.220 --> 00:00:31.140]  沒有了這件事,就什麼都沒有
[00:00:31.140 --> 00:00:33.340]  聖經新約裡面也是這樣說
[00:00:33.340 --> 00:00:34.840]  是事實上這樣強調
[00:00:34.840 --> 00:00:37.940]  說上帝的復活
[00:00:37.940 --> 00:00:39.640]  在耶穌基督的復活
[00:00:39.640 --> 00:00:42.560]  是給我們一個新的開始
[00:00:42.560 --> 00:00:46.060]  因為上帝自己將來會帶來的新天新地
[00:00:46.060 --> 00:00:47.100]  新的耶路撒冷
[00:00:47.100 --> 00:00:49.520]  是從耶穌基督復活的那一刻
[00:00:49.520 --> 00:00:51.360]  來介入的
[00:00:51.360 --> 00:00:52.780]  介入了你和我的生命
[00:00:52.780 --> 00:00:54.320]  所以我們在基督裡面
[00:00:54.320 --> 00:00:56.940]  都是有一個新的開始
[00:00:56.940 --> 00:01:03.360]  說到新的開始,我們路之鴨哥的天氣又開始回暖了
[00:01:03.360 --> 00:01:07.560]  我們在路之鴨哥真的很有福
[00:01:07.560 --> 00:01:09.200]  四季都能看到
[00:01:09.200 --> 00:01:11.900]  很多時候一個星期有四季
[00:01:11.900 --> 00:01:13.320]  我們真的很好
[00:01:13.320 --> 00:01:16.440]  說到春天的時候就是一個新的開始
[00:01:16.440 --> 00:01:21.280]  我們也知道在我們中間的課堂或者英文課
[00:01:21.280 --> 00:01:24.400]  也有一些朋友,可能他們的家人
[00:01:24.400 --> 00:01:27.900]  或者他們自己是畢業或者會升學等等
[00:01:27.900 --> 00:01:29.520]  都是一些新的開始
[00:01:29.520 --> 00:01:32.000]  你知不知道我的女兒就畢業了
[00:01:32.000 --> 00:01:34.260]  她5月14日畢業
[00:01:34.260 --> 00:01:36.380]  就是聖誕節那天畢業
[00:01:36.380 --> 00:01:39.180]  所以那天我就不能夠和大家一起
[00:01:39.180 --> 00:01:44.700]  因為不知道為什麼大學不喜歡在母親節那天畢業禮
[00:01:44.700 --> 00:01:47.480]  真是麻煩
[00:01:47.480 --> 00:01:53.780]  所以我們一家就要去香檳那裡看她的畢業禮
[00:01:53.780 --> 00:01:56.440]  都是一個新的開始
[00:01:56.440 --> 00:01:58.440]  特別是一個新的開始不是畢業禮不簡單
[00:01:58.440 --> 00:02:03.820]  因為她過去一個學期都已經回到路之鴨哥
[00:02:03.820 --> 00:02:07.120]  因為她是做教師的
[00:02:07.120 --> 00:02:13.560]  所以她就在小學那裡做實習
[00:02:13.560 --> 00:02:18.460]  因為她一向都不是早醒的人
[00:02:18.460 --> 00:02:20.780]  整個學期,過去整個學期
[00:02:20.780 --> 00:02:22.740]  她是晨運這麼早起床
[00:02:22.740 --> 00:02:24.460]  六點多就要起床
[00:02:24.460 --> 00:02:26.920]  有誰是六點多就要起床的?
[00:02:26.920 --> 00:02:28.680]  嘩,這麼多人?
[00:02:28.680 --> 00:02:30.460]  嘩,這麼厲害?
[00:02:30.460 --> 00:02:33.320]  我們先約她去晨運吧
[00:02:33.320 --> 00:02:36.280]  有誰不是六點多就要起床的?是很難的?
