
[00:00:00.000 --> 00:00:06.440]  大家午安,請做一次同心祈禱。
[00:00:06.440 --> 00:00:11.880]  天父上帝,我們獻上感恩,是祢的恩典讓我們今日相聚,
[00:00:11.880 --> 00:00:16.320]  有很好的陽光,有很舒適的環境,
[00:00:16.320 --> 00:00:19.800]  我們要珍惜,我們要感謝,
[00:00:19.800 --> 00:00:26.320]  讓我們去到祢面前安靜地聆聽祢向我們所說的話,
[00:00:26.320 --> 00:00:31.160]  開我們的耳朵讓我們細心,開我們的眼睛讓我們見證祢的榮美,
[00:00:31.160 --> 00:00:35.240]  跟著我們的手腳行動去回應祢的恩典和大愛。
[00:00:35.240 --> 00:00:38.120]  猶如每人口中的言語,弟兄姊妹之間的心思意念,
[00:00:38.120 --> 00:00:44.920]  蒙聖靈在啟迪蒙主的月立,禱告奉耶穌基督的名頭。
[00:00:44.920 --> 00:00:49.320]  各位弟兄姊妹,今日在《方書經課》當中我們去見到
[00:00:49.320 --> 00:00:54.280]  耶穌和當時的一些領袖,包括一些叫做撒都戈人
[00:00:54.280 --> 00:00:58.320]  這些人一起去討論關於復活的事宜,
[00:00:58.320 --> 00:01:00.800]  不知復活對他們來說是甚麼事情,
[00:01:00.800 --> 00:01:05.640]  希望今日讓我們對復活這個描述有更深的認識。
[00:01:05.640 --> 00:01:08.680]  首先我們去回顧一下這個故事,
[00:01:08.680 --> 00:01:11.240]  一開始的時候的狀況就是這樣的,
[00:01:11.240 --> 00:01:15.800]  有人去跟耶穌問一個問題,
[00:01:15.800 --> 00:01:16.960]  第28節這樣說,
[00:01:16.960 --> 00:01:19.960]  夫子,莫世為我們寫著話,
[00:01:19.960 --> 00:01:24.440]  人若有妻無子就死了,他兄弟當娶他的妻,
[00:01:24.440 --> 00:01:27.760]  為哥哥生子立後。
[00:01:27.760 --> 00:01:29.640]  這個描述其實是一個背景,
[00:01:29.640 --> 00:01:32.240]  我們要去熟悉、認識這個背景,
