
[00:00:00.000 --> 00:00:04.000]  姐妹們,平安!我們一起祈禱!
[00:00:04.000 --> 00:00:10.000]  感謝妳的恩典,讓我們在主耶穌的清神可以聚集敬拜妳
[00:00:10.000 --> 00:00:18.000]  讓我們來到妳的面前,思想李美姬有關聖潔的時候
[00:00:18.000 --> 00:00:26.000]  我們求聖靈幫助我們,能夠好好的下法學習聖經的教導
[00:00:26.000 --> 00:00:32.000]  與妳建立聖潔的關係,我們也會得出聖潔的生活
[00:00:32.000 --> 00:00:36.000]  奉耶穌基督的名祈禱,阿們!
[00:00:36.000 --> 00:00:42.000]  兩個星期前,我們已經開始了聖潔系列
[00:00:42.000 --> 00:00:48.000]  主要是思想李美姬的信息
[00:00:48.000 --> 00:00:53.000]  李美姬對很多弟兄姊妹來說,是很沉悶的一本書
[00:00:53.000 --> 00:00:57.000]  裡面說的話好像跟我們沒有什麼關係
[00:00:57.000 --> 00:01:04.000]  因為我們現在不需要建祭,也沒有地上的祭司
[00:01:04.000 --> 00:01:10.000]  更加是不需要遵守那些有關潔淨和不潔淨的條例
[00:01:10.000 --> 00:01:16.000]  不過我們仍然可以從上帝對意識人的吩咐裡面
[00:01:16.000 --> 00:01:20.000]  去明白上帝對我們的心意
[00:01:20.000 --> 00:01:25.000]  在司篇十五篇第一節,她問了一個問題
[00:01:25.000 --> 00:01:35.000]  她說:耀華,誰能寄居你的帳目?誰能居住你的聖山?
[00:01:35.000 --> 00:01:39.000]  上帝的聖山就是指西賴山
[00:01:39.000 --> 00:01:45.000]  兩個星期前,張傳道跟我們思想局出埃及記第十九章
[00:01:45.000 --> 00:01:52.000]  就是上帝帶領以色列人出埃及去朝見上帝
[00:01:52.000 --> 00:01:57.000]  上帝要在那裡跟以色列人立約
[00:01:57.000 --> 00:02:02.000]  要以色列人洗衣服,代表他們自潔
[00:02:02.000 --> 00:02:06.000]  用兩天的時間預備自己
[00:02:06.000 --> 00:02:10.000]  當上帝在西賴山顯現的時候
[00:02:10.000 --> 00:02:13.000]  那座山就成為聖山
[00:02:13.000 --> 00:02:19.000]  至於帳目就是象徵上帝居住的地方
[00:02:19.000 --> 00:02:24.000]  當上帝跟以色列人立約之後
[00:02:24.000 --> 00:02:27.000]  出埃及記用了很多的篇幅
[00:02:27.000 --> 00:02:33.000]  竟在上帝吩咐以色列人要做一個帳目
[00:02:33.000 --> 00:02:37.000]  然後到出埃及記結束的時候
[00:02:37.000 --> 00:02:40.000]  帳目已經支搭起了
[00:02:40.000 --> 00:02:44.000]  並且上帝向以色列人顯然
[00:02:44.000 --> 00:02:48.000]  出埃及記四十章三十五節說
[00:02:48.000 --> 00:02:54.000]  「摩西不能進會幕,因為雲彩停在其上」
[00:02:54.000 --> 00:02:58.000]  「耶和華的榮光充滿了帳幕」
[00:02:58.000 --> 00:03:05.000]  那個會幕就象徵上帝與人同住在人間
[00:03:05.000 --> 00:03:10.000]  然後就來到《利未記》
[00:03:10.000 --> 00:03:17.000]  如果我們把《摩西五經》看為一大本書
[00:03:17.000 --> 00:03:21.000]  其中一個故事是有連續性的
[00:03:21.000 --> 00:03:24.000]  《利未記》不是一本獨立的書
[00:03:24.000 --> 00:03:30.000]  而是從《創世記》直到《生命記》的其中一部份
[00:03:30.000 --> 00:03:33.000]  《創世記》從十二章開始
[00:03:33.000 --> 00:03:39.000]  我們看到上帝應許給亞伯蘭的子孫一塊地
[00:03:39.000 --> 00:03:42.000]  到《生命記》結束的時候
[00:03:42.000 --> 00:03:48.000]  亞伯蘭的後代以色列人就來到應許地的東邊
[00:03:48.000 --> 00:03:52.000]  預備進入應許地
[00:03:52.000 --> 00:03:58.000]  《利未記》的主題就是要求人成為聖潔
[00:03:58.000 --> 00:04:02.000]  由於上帝已經拯救了以色列人
[00:04:02.000 --> 00:04:05.000]  上帝也樂意和他們一起
[00:04:05.000 --> 00:04:09.000]  親自帶領他們進入迦蘭地
[00:04:09.000 --> 00:04:13.000]  但是要達成上帝的心願
[00:04:13.000 --> 00:04:16.000]  有一個很重大的障礙
[00:04:16.000 --> 00:04:18.000]  就是上帝是聖潔的
[00:04:18.000 --> 00:04:22.000]  而人是有罪的
[00:04:22.000 --> 00:04:30.000]  有些弟兄姊妹提過福音橋那些傳福音的工具
[00:04:30.000 --> 00:04:34.000]  其中一幅圖就是人在這一邊
[00:04:34.000 --> 00:04:37.000]  中間有一個很大的紅溝就是罪
[00:04:37.000 --> 00:04:40.000]  上帝就在另一邊
[00:04:40.000 --> 00:04:42.000]  為了解決這個障礙
[00:04:42.000 --> 00:04:45.000]  上帝就設立了憲制
[00:04:45.000 --> 00:04:51.000]  使人的罪可以藉祭物被遮蓋起來
[00:04:51.000 --> 00:04:54.000]  《利未記》一到七章
[00:04:54.000 --> 00:05:03.000]  就是說祭物要如何獻才能得到上帝的認可
[00:05:03.000 --> 00:05:07.000]  但是有了祭物還不夠
[00:05:07.000 --> 00:05:10.000]  還要有一位聖潔的人
[00:05:10.000 --> 00:05:16.000]  做代表去獻祭物才算是有效
[00:05:16.000 --> 00:05:18.000]  於是第八章開始
[00:05:18.000 --> 00:05:22.000]  就說到要立一位聖潔的祭司
[00:05:22.000 --> 00:05:27.000]  作為上帝與人之間的宗保
[00:05:27.000 --> 00:05:33.000]  大祭司在上帝面前是代表全體意識的人
[00:05:33.000 --> 00:05:38.000]  在人民面前大祭司就代表上帝
[00:05:38.000 --> 00:05:43.000]  《利未記》第八章是案立大祭司的禮儀
[00:05:43.000 --> 00:05:46.000]  是由摩西主持案立典禮
[00:05:46.000 --> 00:05:51.000]  我們從這個禮儀中了解上帝的心意
[00:05:51.000 --> 00:05:55.000]  大祭司與其他祭司的案立典禮
[00:05:55.000 --> 00:05:58.000]  可以說是非常隆重
[00:05:58.000 --> 00:06:00.000]  由於經文很長
[00:06:00.000 --> 00:06:04.000]  我們只選讀了其中一些段落
[00:06:04.000 --> 00:06:07.000]  在八章六節到九節
[00:06:07.000 --> 00:06:13.000]  我們看到亞倫要穿上大祭司的禮服
[00:06:13.000 --> 00:06:18.000]  他的兒子也穿上普通祭司的衣服
[00:06:18.000 --> 00:06:21.000]  或者我們不讀經文
[00:06:21.000 --> 00:06:26.000]  我們看一幅大祭司穿上禮服的圖片
[00:06:26.000 --> 00:06:29.000]  我們看到很特別
[00:06:29.000 --> 00:06:32.000]  主要顏色是藍色
[00:06:32.000 --> 00:06:36.000]  裡面有一件白袍
[00:06:36.000 --> 00:06:41.000]  我們還看到他頭上戴著一個禮冠
[00:06:41.000 --> 00:06:46.000]  禮冠前面還有一個金牌戴在額前
[00:06:46.000 --> 00:06:51.000]  金牌寫著「歸耶和華為聖」
[00:06:51.000 --> 00:06:55.000]  大祭司這套服飾
[00:06:55.000 --> 00:07:02.000]  非常類似那個時代近東國家的皇家服飾
[00:07:02.000 --> 00:07:06.000]  他在人民面前代表上帝的統治
[00:07:06.000 --> 00:07:09.000]  在上帝面前他代表人民
[00:07:09.000 --> 00:07:16.000]  因為他在肩膀上有兩塊牌刻著以色列十二支派的名字
[00:07:16.000 --> 00:07:19.000]  而他在胸前穿著一件衣服
[00:07:19.000 --> 00:07:22.000]  或者一件小背心
[00:07:22.000 --> 00:07:25.000]  都有十二塊寶石
[00:07:25.000 --> 00:07:29.000]  每塊寶石刻有一個支派的名字
[00:07:29.000 --> 00:07:35.000]  我們同時留意到祭司不穿鞋子
[00:07:35.000 --> 00:07:40.000]  因為他在聖地裡面致奉上帝
[00:07:40.000 --> 00:07:45.000]  如果我們記得當上帝向摩西顯現的時候
[00:07:45.000 --> 00:07:47.000]  上帝首先吩咐摩西
[00:07:47.000 --> 00:07:50.000]  你要脫掉你腳上的鞋子
[00:07:50.000 --> 00:07:55.000]  因為你所站的地方是聖地
[00:07:55.000 --> 00:07:58.000]  在按立大祭司的過程當中
[00:07:58.000 --> 00:08:03.000]  摩西首先要倒油在亞倫的頭上
[00:08:03.000 --> 00:08:06.000]  使它成為聖
[00:08:06.000 --> 00:08:08.000]  即是歸上帝所用
[00:08:08.000 --> 00:08:11.000]  然後再為亞倫和他的兒子
[00:08:11.000 --> 00:08:14.000]  獻贖罪祭和梵祭
