
[00:00:00.000 --> 00:00:04.400]  今天我們會繼續講到《救救者第》這個系列
[00:00:04.400 --> 00:00:07.000]  今天我覺得是一個很重要的主題
[00:00:07.000 --> 00:00:09.000]  講到教會的使命
[00:00:09.000 --> 00:00:13.500]  《路加福音》24章44至53次
[00:00:13.500 --> 00:00:17.500]  請聽我讀出當中的和修本經文
[00:00:17.500 --> 00:00:19.500]  聖經這樣說
[00:00:19.500 --> 00:00:21.500]  耶穌對顛門徒說
[00:00:21.500 --> 00:00:26.500]  這就是我從前和你們同在時所告訴你們的話
[00:00:26.500 --> 00:00:28.500]  摩西律法先知的書
[00:00:28.500 --> 00:00:31.500]  和詩篇上所記的一切主張我的話
[00:00:31.500 --> 00:00:32.500]  都必應然
[00:00:32.500 --> 00:00:35.500]  於是耶穌開他們的心竅
[00:00:35.500 --> 00:00:37.500]  使他們能明白聖經
[00:00:37.500 --> 00:00:38.500]  又對他們說
[00:00:38.500 --> 00:00:40.500]  聖經上所寫的基督必受害
[00:00:40.500 --> 00:00:43.500]  第三日從死人中復活
[00:00:43.500 --> 00:00:45.500]  並且人們要奉他的名
[00:00:45.500 --> 00:00:48.500]  全悔改使罪得赦的道
[00:00:48.500 --> 00:00:51.500]  從耶路撒冷起直到萬邦
[00:00:51.500 --> 00:00:53.500]  你們就是這些事的見證
[00:00:53.500 --> 00:00:56.500]  我要將我父所應許的降在你們身上
[00:00:56.500 --> 00:00:58.500]  你們就要在這城裡等候
[00:00:58.500 --> 00:01:00.500]  直到你們領受從上面來的能力
[00:01:00.500 --> 00:01:02.500]  耶穌領他們出來
[00:01:02.500 --> 00:01:04.500]  直到巴特里附近
[00:01:04.500 --> 00:01:06.500]  就舉手給他們祝福
[00:01:06.500 --> 00:01:07.500]  正祝福的時候
[00:01:07.500 --> 00:01:08.500]  他離開他們
[00:01:08.500 --> 00:01:10.500]  被帶到天上去了
[00:01:10.500 --> 00:01:12.500]  他們就拜他
[00:01:12.500 --> 00:01:15.500]  帶著極大的喜樂會耶路撒冷去
[00:01:15.500 --> 00:01:17.500]  常在聖殿裡
[00:01:17.500 --> 00:01:19.500]  稱頌上帝
[00:01:19.500 --> 00:01:21.500]  在香港的時候
[00:01:21.500 --> 00:01:24.500]  我有機會在哨院教教會增長班
[00:01:24.500 --> 00:01:27.500]  遇到不少的人
[00:01:27.500 --> 00:01:29.500]  有些都是贊成
[00:01:29.500 --> 00:01:31.500]  有些就很不喜歡教會增長
[00:01:31.500 --> 00:01:35.500]  當中有些同學都是神學生
[00:01:35.500 --> 00:01:38.500]  有些是教牧童工
[00:01:38.500 --> 00:01:40.500]  有一天課堂完結之後
[00:01:40.500 --> 00:01:42.500]  一個教牧童工約我
[00:01:42.500 --> 00:01:44.500]  梁牧師大家吃午餐聊聊天
[00:01:44.500 --> 00:01:46.500]  於是我就和他吃飯聊天
[00:01:46.500 --> 00:01:49.500]  他吃飯的時候就跟我說
[00:01:49.500 --> 00:01:53.500]  梁牧師你請恕我得罪了
[00:01:53.500 --> 00:01:55.500]  他說我見你這幾年
[00:01:55.500 --> 00:01:58.500]  以前你就很白淨靚仔
[00:01:58.500 --> 00:02:00.500]  現在見到你
[00:02:00.500 --> 00:02:03.500]  整頭白髮都殘了很多
[00:02:03.500 --> 00:02:05.500]  他說為什麼要這麼辛苦
[00:02:05.500 --> 00:02:08.500]  我知道你教會增長到幾千人
[00:02:08.500 --> 00:02:09.500]  但耶穌說
[00:02:09.500 --> 00:02:11.500]  擔子應該是輕散的
