
[00:00:00.000 --> 00:00:06.000]  好感謝神 前兩天 星期五晚壽苦節的晚上聚會
[00:00:06.000 --> 00:00:11.000]  我們有非常之好 甚至有人說是精彩的聚會
[00:00:11.000 --> 00:00:16.000]  這些能夠有這樣的結果
[00:00:16.000 --> 00:00:21.000]  是因為有些弟兄姊妹在背後 付上很努力的貢獻
[00:00:21.000 --> 00:00:24.000]  願神賜福報答他們
[00:00:24.000 --> 00:00:29.000]  也都好感謝神 今天我們可以慶祝主復活
[00:00:29.000 --> 00:00:37.000]  主復活的故事 我相信我們大部份人都很熟悉
[00:00:37.000 --> 00:00:43.000]  年年都會聽 年年都會說 除非你是新來的 或者你是初信的
[00:00:43.000 --> 00:00:48.000]  但是我有個感覺 可能你也有同樣的感覺
[00:00:48.000 --> 00:00:53.000]  就是每一次去讀同樣關於復活的經文都好
[00:00:53.000 --> 00:00:55.000]  我們都會很感動
[00:00:55.000 --> 00:01:00.000]  因為我們會好自然將我們自己會代入去
[00:01:00.000 --> 00:01:04.000]  那些在當時復活那天
[00:01:04.000 --> 00:01:11.000]  那些和主耶穌相遇 就是復活了的主相遇的那些人
[00:01:11.000 --> 00:01:13.000]  我們會代入去裏面
[00:01:13.000 --> 00:01:18.000]  我們會去感受他們所感受到的那種感覺
[00:01:18.000 --> 00:01:21.000]  那這種感覺是什麼呢?
[00:01:21.000 --> 00:01:33.000]  這種感覺就是 重得人生希望那種興奮和安慰的那種感覺
[00:01:33.000 --> 00:01:37.000]  但是聖經也都同時告訴我們
[00:01:37.000 --> 00:01:45.000]  耶穌復活不只是單單給我們這種有希望的一種感覺
[00:01:45.000 --> 00:01:48.000]  不只是一種給我們的感覺
[00:01:48.000 --> 00:01:56.000]  他同時也都會帶給我們心裏面會有一團火 火熱的心
[00:01:56.000 --> 00:02:03.000]  這一團火不是空置佛在燃燒
[00:02:03.000 --> 00:02:10.000]  而是這一團火是要為神的國來去發光發熱
[00:02:10.000 --> 00:02:18.000]  和是為要去完成主託付給我們的大使命
[00:02:18.000 --> 00:02:21.000]  今日我就和大家一起去學習
[00:02:21.000 --> 00:02:23.000]  或者我們說去重溫
