
[00:00:00.000 --> 00:00:02.000]  我試過去餐廳吃東西
[00:00:02.000 --> 00:00:04.600]  吃完東西之後發覺忘了帶錢包
[00:00:04.600 --> 00:00:06.600]  不知道大家有沒有這樣的經歷
[00:00:06.600 --> 00:00:08.200]  去餐館吃飯
[00:00:08.200 --> 00:00:10.400]  吃完了之後發現自己沒有帶錢包
[00:00:10.400 --> 00:00:11.400]  有沒有人試過?
[00:00:11.400 --> 00:00:13.400]  有沒有人試過?請舉手
[00:00:13.400 --> 00:00:15.000]  都有一兩個
[00:00:15.000 --> 00:00:16.800]  都有一兩個吧
[00:00:16.800 --> 00:00:19.600]  因為這件事經常發生在我身上
[00:00:19.600 --> 00:00:22.200]  因為這件事經常在牧師身上發生
[00:00:22.200 --> 00:00:25.200]  大家可以想像如果你在這樣的處境裏面
[00:00:25.200 --> 00:00:28.200]  大家想想如果在這個處境裏面
[00:00:28.200 --> 00:00:30.400]  怎麼辦呢?
[00:00:30.400 --> 00:00:31.800]  十分無助
[00:00:31.800 --> 00:00:34.400]  很無助
[00:00:34.400 --> 00:00:37.200]  但是大家也要同一個時間想一想
[00:00:37.200 --> 00:00:39.000]  但是同樣的事大家可以這樣想
[00:00:39.000 --> 00:00:40.800]  在一個這麼無助的時刻
[00:00:40.800 --> 00:00:42.200]  在這麼無助的時刻
[00:00:42.200 --> 00:00:43.800]  突然間有個人給你錢
[00:00:43.800 --> 00:00:44.800]  給你買單
[00:00:44.800 --> 00:00:47.000]  突然有個人幫你給錢
[00:00:47.000 --> 00:00:47.800]  幫你買單
[00:00:47.800 --> 00:00:49.200]  真的好到不得了
[00:00:49.200 --> 00:00:51.200]  那麼是極好的事
[00:00:51.200 --> 00:00:52.200]  上個星期我們講到
[00:00:52.200 --> 00:00:54.200]  我們每一個人都得罪了神
[00:00:54.200 --> 00:00:55.200]  上個星期我們講過
[00:00:55.200 --> 00:00:57.000]  每個人都得罪了神
[00:00:57.000 --> 00:01:00.200]  我們每一個人在末後的時候
[00:01:00.200 --> 00:01:04.200]  我們每一個人在背後的時候
[00:01:04.200 --> 00:01:07.400]  我們都要面對這個神的審判
[00:01:07.400 --> 00:01:10.200]  在最後的時候我們都要面對神的審判
[00:01:10.200 --> 00:01:11.400]  接受神的
[00:01:11.400 --> 00:01:13.800]  如果是犯罪的時候
[00:01:13.800 --> 00:01:15.800]  我們都接受神的刑罰
[00:01:15.800 --> 00:01:17.200]  那麼我們犯罪的時候
[00:01:17.200 --> 00:01:18.800]  最後都要接受神的刑罰
[00:01:18.800 --> 00:01:19.800]  所以聖經講得很清楚
[00:01:19.800 --> 00:01:20.800]  就是我們每一個人
[00:01:20.800 --> 00:01:23.600]  都要為我們一生所做的事埋單
[00:01:23.600 --> 00:01:25.200]  所以聖經講得很清楚
