
[00:00:00.000 --> 00:00:06.000]  今季正道的書卷是用阿摩斯書和約拿書
[00:00:06.000 --> 00:00:10.000]  都是講到神自己的慈愛憐憫
[00:00:10.000 --> 00:00:16.000]  讓我們藉此去檢視我們的屬靈生命的境況是怎樣
[00:00:16.000 --> 00:00:21.000]  在第一段的經文提到阿摩斯書的第四章
[00:00:21.000 --> 00:00:26.000]  指出因為以色列人他們欺壓窮人
[00:00:26.000 --> 00:00:29.000]  在宗教上虛有其表
[00:00:29.000 --> 00:00:32.000]  神積著五個刑罰
[00:00:32.000 --> 00:00:39.000]  饑荒、旱災、農作物的毀壞、瘟疫和戰爭
[00:00:39.000 --> 00:00:42.000]  讓百姓可以回轉
[00:00:42.000 --> 00:00:44.000]  可視每一次都是
[00:00:44.000 --> 00:00:49.000]  「你們仍不歸向我,這是瑤華說的」
[00:00:49.000 --> 00:00:55.000]  以上這些刑罰是神給背若的人一個審判
[00:00:55.000 --> 00:00:58.000]  第六節提到牙齒的乾淨
[00:00:58.000 --> 00:01:02.000]  講到饑荒的情景
[00:01:02.000 --> 00:01:07.000]  第七節在收割前三個月
[00:01:07.000 --> 00:01:12.000]  指到每年二、三月之間有春雨
[00:01:12.000 --> 00:01:17.000]  對農作物的收成影響非常重要
[00:01:17.000 --> 00:01:21.000]  但是雨已經要停止
[00:01:21.000 --> 00:01:24.000]  直接影響到沒甚麼收成
[00:01:24.000 --> 00:01:29.000]  十一節從火中抽出來的一斤柴
[00:01:29.000 --> 00:01:33.000]  提到經過這些刑罰之後
[00:01:33.000 --> 00:01:37.000]  剩下的雨下的漁民
[00:01:37.000 --> 00:01:39.000]  都是神的憐憫
[00:01:39.000 --> 00:01:42.000]  讓他們繼續存活
[00:01:42.000 --> 00:01:46.000]  阿摩斯仙豬仙豬是南國人
[00:01:46.000 --> 00:01:54.000]  生於猶太國的提哥亞
[00:01:54.000 --> 00:01:56.000]  一章一節提到
[00:01:56.000 --> 00:01:59.000]  他是一位牧羊的人
[00:01:59.000 --> 00:02:02.000]  修理一些桑樹
[00:02:02.000 --> 00:02:08.000]  不是出於祭司或仙姿的家族
[00:02:08.000 --> 00:02:14.000]  神呼召他成為北國的一位仙姿
[00:02:14.000 --> 00:02:21.000]  在主前的七百六十五年至七百五十年期間服侍
[00:02:21.000 --> 00:02:30.000]  他的工作主要地點在北國的伯特利和首都撒瑪利亞
[00:02:30.000 --> 00:02:34.000]  他有強烈的使命感、敢言
[00:02:34.000 --> 00:02:37.000]  不畏權勢
[00:02:37.000 --> 00:02:40.000]  甚至斥責北國的君王
[00:02:40.000 --> 00:02:44.000]  和一些宗教領袖不時的地方
[00:02:44.000 --> 00:02:47.000]  姑西亞和耶路邦安二世
[00:02:47.000 --> 00:02:53.000]  分別是南北國最能幹的兩位君王
[00:02:53.000 --> 00:03:00.000]  他們在位期間也是兩國最興盛的時代
[00:03:00.000 --> 00:03:03.000]  雖然經濟繁盛
[00:03:03.000 --> 00:03:08.000]  社會出現貧富懸殊的情況
[00:03:08.000 --> 00:03:12.000]  一般的平民受盡剝削
[00:03:12.000 --> 00:03:19.000]  在旱災或脅收的時候
[00:03:19.000 --> 00:03:21.000]  債財高築
[00:03:21.000 --> 00:03:25.000]  任由債權人擺佈
[00:03:25.000 --> 00:03:30.000]  失去了他們抵押品一個贖取的權
[00:03:30.000 --> 00:03:33.000]  可能淪為奴隸
[00:03:33.000 --> 00:03:36.000]  生活苦不堪言
[00:03:36.000 --> 00:03:39.000]  另一方面這些參財富人
[00:03:39.000 --> 00:03:44.000]  他們的生活奢華無道
[00:03:44.000 --> 00:03:48.000]  處處欺壓窮人
[00:03:48.000 --> 00:03:53.000]  用錢收買法官屈往正直
[00:03:53.000 --> 00:03:57.000]  為求富裕竟然不擇手段
[00:03:57.000 --> 00:03:59.000]  在宗教方面
[00:03:59.000 --> 00:04:04.000]  百姓對耶和華的禮拜儀式
[00:04:04.000 --> 00:04:07.000]  其實沒有減少
[00:04:07.000 --> 00:04:08.000]  沒有鬆懈
[00:04:08.000 --> 00:04:13.000]  卻是失去了一個信仰的真義
[00:04:13.000 --> 00:04:15.000]  他們的生活腐敗
[00:04:15.000 --> 00:04:18.000]  違背了神的律法
[00:04:18.000 --> 00:04:20.000]  在五章第四節
[00:04:20.000 --> 00:04:24.000]  耶和華向以色列家如此說
[00:04:24.000 --> 00:04:26.000]  你們要尋求我
[00:04:26.000 --> 00:04:28.000]  就必存活
[00:04:28.000 --> 00:04:31.000]  如果要尋求這位主
[00:04:31.000 --> 00:04:34.000]  很需要有謙卑的態度
[00:04:34.000 --> 00:04:36.000]  與神同行
[00:04:36.000 --> 00:04:38.000]  愛慕神的說話
[00:04:38.000 --> 00:04:42.000]  可以明白神的心意是怎樣
[00:04:42.000 --> 00:04:49.000]  謙卑就是要留心去遵行神的旨意
[00:04:49.000 --> 00:04:53.000]  在四至六節才勸百姓
[00:04:53.000 --> 00:04:58.000]  要以一個真心去尋求神
[00:04:58.000 --> 00:05:01.000]  不需要去到伯特利吉格
[00:05:01.000 --> 00:05:05.000]  或別士巴獻祭
[00:05:05.000 --> 00:05:09.000]  百姓以為是藉著這些獻祭
[00:05:09.000 --> 00:05:11.000]  神就會與他們同在
[00:05:11.000 --> 00:05:15.000]  因為神曾經在這些地方
[00:05:15.000 --> 00:05:21.000]  讓他們的列祖可以與他們顯現
[00:05:21.000 --> 00:05:23.000]  阿摩斯說
[00:05:23.000 --> 00:05:27.000]  不要往伯特利去尋求
[00:05:27.000 --> 00:05:30.000]  不要進入吉格
[00:05:30.000 --> 00:05:32.000]  不要去到別士巴
[00:05:32.000 --> 00:05:35.000]  因為吉格必被擄掠
[00:05:35.000 --> 00:05:37.000]  伯特利也必歸於無有
[00:05:37.000 --> 00:05:41.000]  要尋求耶和華就必存活
[00:05:41.000 --> 00:05:46.000]  免得他們在約瑟加縱火發出
[00:05:46.000 --> 00:05:48.000]  在伯特利焚燒
[00:05:48.000 --> 00:05:51.000]  無人惡滅
[00:05:51.000 --> 00:05:54.000]  表示因為他們的罪惡
[00:05:54.000 --> 00:05:57.000]  一個結局就是要被毀滅
[00:05:57.000 --> 00:06:02.000]  但尋求神的必定帶來盼望
[00:06:02.000 --> 00:06:05.000]  如果遇到困難
[00:06:05.000 --> 00:06:08.000]  或者心靈不安
[00:06:08.000 --> 00:06:13.000]  我們都可以有一個懷著謙卑的心
[00:06:13.000 --> 00:06:15.000]  來求告神
[00:06:15.000 --> 00:06:18.000]  祂必然的看顧
[00:06:18.000 --> 00:06:21.000]  在大半年前
[00:06:21.000 --> 00:06:26.000]  我妹妹的兒子大概工作了一年
[00:06:26.000 --> 00:06:29.000]  他要轉去另一個部門
[00:06:29.000 --> 00:06:31.000]  有另一位上師
