
[00:00:00.000 --> 00:00:03.000]  第一次會耶穌說你們要完全
[00:00:03.000 --> 00:00:05.000]  好像天父完全一樣
[00:00:05.000 --> 00:00:07.000]  我們做不做到?
[00:00:07.000 --> 00:00:11.000]  照字面看肯定做不到
[00:00:11.000 --> 00:00:14.000]  那耶穌這個要求對我們來說真是要命
[00:00:14.000 --> 00:00:17.000]  那怎麼辦呢?
[00:00:17.000 --> 00:00:19.000]  我們一同低頭禱告
[00:00:19.000 --> 00:00:23.000]  天父我們今天到你面前來的時候
[00:00:23.000 --> 00:00:24.000]  我們深信
[00:00:24.000 --> 00:00:27.000]  你向我們懷的意念
[00:00:27.000 --> 00:00:29.000]  是給平安的意念
[00:00:30.000 --> 00:00:33.000]  主你叫我們不單止蒙恩得救
[00:00:33.000 --> 00:00:36.000]  更加讓我們在基督裡面成長
[00:00:36.000 --> 00:00:38.000]  求主幫助我們今天早上
[00:00:38.000 --> 00:00:40.000]  每一個人在你面前
[00:00:40.000 --> 00:00:42.000]  無論我們口中的言語
[00:00:42.000 --> 00:00:44.000]  心中的意念
[00:00:44.000 --> 00:00:45.000]  都是蒙你原諒
[00:00:45.000 --> 00:00:48.000]  讓我們在你面前面對你話語的時候
[00:00:48.000 --> 00:00:51.000]  做一個誠實的領受者
[00:00:51.000 --> 00:00:53.000]  也幫助我們能夠將你的話
[00:00:53.000 --> 00:00:55.000]  活在我們的生活中間
[00:00:55.000 --> 00:00:57.000]  一切榮耀都是歸給你的
[00:00:57.000 --> 00:00:59.000]  誰聽我們的禱告
[00:00:59.000 --> 00:01:01.000]  是奉耶穌明智祈求
[00:01:01.000 --> 00:01:06.000]  神的恩典讓我們恩信
[00:01:06.000 --> 00:01:08.000]  稱義成為神的兒女
[00:01:08.000 --> 00:01:14.000]  使我們可以過一個榮神益人的生活
[00:01:14.000 --> 00:01:18.000]  基督徒的生活本來應該就是這樣的
[00:01:18.000 --> 00:01:22.000]  但是問題就是照著我們的本相
[00:01:22.000 --> 00:01:24.000]  我們這個樣子
[00:01:24.000 --> 00:01:25.000]  這個肉體
[00:01:25.000 --> 00:01:28.000]  我們可不可以榮耀神
[00:01:29.000 --> 00:01:31.000]  不可以
[00:01:31.000 --> 00:01:34.000]  它是一個在生物裡面的現象
[00:01:34.000 --> 00:01:36.000]  一個蟲
[00:01:36.000 --> 00:01:38.000]  可不可以飛
[00:01:38.000 --> 00:01:44.000]  但是當蟲有一個對變之後
[00:01:44.000 --> 00:01:46.000]  它就能夠飛
[00:01:46.000 --> 00:01:50.000]  這個對變
[00:01:50.000 --> 00:01:53.000]  其實是一個改變
[00:01:53.000 --> 00:01:55.000]  是一個成長
[00:01:55.000 --> 00:01:56.000]  人蒙恩之後
[00:01:56.000 --> 00:02:00.000]  它轉變的過程都是這樣的
[00:02:00.000 --> 00:02:04.000]  很多時候我們聽在教會裡的術語
[00:02:04.000 --> 00:02:06.000]  說成性
[00:02:06.000 --> 00:02:08.000]  我小時候一聽到成性兩個字
[00:02:08.000 --> 00:02:10.000]  我就害怕了
[00:02:10.000 --> 00:02:12.000]  不可能
[00:02:12.000 --> 00:02:14.000]  其實我們基督徒都想成性
[00:02:14.000 --> 00:02:16.000]  不要被人罵
[00:02:16.000 --> 00:02:18.000]  每個人都欣賞你
[00:02:18.000 --> 00:02:21.000]  不會說一套做一套
[00:02:21.000 --> 00:02:23.000]  但是可不可能
[00:02:25.000 --> 00:02:31.000]  其實成性和更像恩主
[00:02:31.000 --> 00:02:35.000]  或者說成性和我們從重生開始
[00:02:35.000 --> 00:02:38.000]  不斷的心意更新變化
[00:02:38.000 --> 00:02:41.000]  這些詞你聽過很多次
[00:02:41.000 --> 00:02:45.000]  這些是人做不到的
[00:02:45.000 --> 00:02:47.000]  人做不到的
[00:02:47.000 --> 00:02:50.000]  你得救人做不到的
[00:02:50.000 --> 00:02:53.000]  得救本乎因也因著順
[00:02:53.000 --> 00:02:55.000]  是恩典
[00:02:55.000 --> 00:02:58.000]  同樣成性
[00:02:58.000 --> 00:03:00.000]  絕對不是人
[00:03:00.000 --> 00:03:02.000]  你怎樣苦行
[00:03:02.000 --> 00:03:05.000]  怎樣修煉做到的
[00:03:05.000 --> 00:03:07.000]  只有一個可能性
[00:03:07.000 --> 00:03:11.000]  就是藉著聖靈在我們心裡的工作
[00:03:11.000 --> 00:03:13.000]  在哥林多後書第五章十七節
[00:03:13.000 --> 00:03:14.000]  告訴我們
[00:03:14.000 --> 00:03:16.000]  若有人在基督裡
[00:03:16.000 --> 00:03:19.000]  他就是一個新造的人
[00:03:19.000 --> 00:03:21.000]  舊事已過都變成新的了
