
[00:00:00.000 --> 00:00:06.560]  大家好 今天我們講一個題目叫基督徒相交
[00:00:06.560 --> 00:00:09.240]  究竟基督徒相交是什麼呢
[00:00:09.240 --> 00:00:11.240]  有時候我們去教會
[00:00:11.240 --> 00:00:15.000]  過去小時候你們去教會
[00:00:15.000 --> 00:00:17.880]  就是一羣人一起去玩玩
[00:00:17.880 --> 00:00:19.080]  聊聊天
[00:00:19.080 --> 00:00:22.880]  甚至可能你們都不太認識
[00:00:22.880 --> 00:00:27.480]  總言之爸爸媽媽坐你們回來在課室那裏
[00:00:27.480 --> 00:00:29.320]  聊完天可能就走了
[00:00:29.320 --> 00:00:34.400]  見面之後沒什麼其他交流
[00:00:34.400 --> 00:00:38.520]  如是者年復年 日復日過去了
[00:00:38.520 --> 00:00:41.960]  有時候回教會我們想有很多朋友
[00:00:41.960 --> 00:00:45.320]  但其實外面的朋友會比較吸引
[00:00:45.320 --> 00:00:48.960]  因爲他們和你們的興趣會相近一點
[00:00:48.960 --> 00:00:53.520]  或者你們喜歡唱opera
[00:00:53.520 --> 00:00:55.520]  一起唱opera有個團契
[00:00:55.520 --> 00:00:57.520]  唱musical有個musical團契
[00:00:57.520 --> 00:01:01.000]  或者那時候我們有一個band團契
[00:01:01.000 --> 00:01:08.680]  前段時間就找回以前那些band的朋友
[00:01:08.680 --> 00:01:14.120]  但是很不好的一件事就發生了
[00:01:14.120 --> 00:01:17.000]  你知不知道我多少歲
[00:01:17.000 --> 00:01:18.720]  你猜猜
[00:01:18.720 --> 00:01:20.200]  50
[00:01:20.200 --> 00:01:23.280]  有找 有找 還有找
[00:01:23.280 --> 00:01:27.560]  只有49 還有找
[00:01:27.560 --> 00:01:29.560]  重點不是多少歲
[00:01:29.560 --> 00:01:32.720]  不是40幾或者50幾都找
[00:01:32.720 --> 00:01:37.040]  但是和我那時候一起架band的那個band友
[00:01:37.040 --> 00:01:38.800]  已經找不到了
[00:01:38.800 --> 00:01:39.920]  爲什麼呢
[00:01:39.920 --> 00:01:41.920]  就因爲有人告訴我
[00:01:41.920 --> 00:01:46.760]  他前段時間已經生cancer
[00:01:46.760 --> 00:01:48.240]  已經不在了
[00:01:48.240 --> 00:01:50.240]  咦 這麼快的
[00:01:50.240 --> 00:01:55.400]  突然間我兒子就說你以前和你架band的那個已經不在了
[00:01:55.400 --> 00:01:57.760]  那爸爸你什麼時候不在了
[00:01:57.760 --> 00:01:59.360]  通知一下我
[00:01:59.360 --> 00:02:01.360]  其實他不是很會說
[00:02:01.360 --> 00:02:03.520]  不過他就開始害怕
[00:02:03.520 --> 00:02:09.440]  原來人那時候你發覺好像架band
[00:02:09.440 --> 00:02:12.720]  那些日子好像昨天發生一樣
[00:02:12.720 --> 00:02:14.520]  很有詩意
[00:02:14.520 --> 00:02:16.880]  但原來這麼快就不在了
[00:02:16.880 --> 00:02:24.280]  那究竟我們懂不懂得珍惜我們身邊的弟兄姐妹
[00:02:24.280 --> 00:02:26.400]  和他們一起有拍照的時刻
[00:02:26.400 --> 00:02:30.920]  和他們一起有我們所謂的相交的時刻呢
[00:02:30.920 --> 00:02:33.080]  分享一下信仰 講一下經文
[00:02:33.080 --> 00:02:34.880]  好了 下一節
[00:02:34.880 --> 00:02:38.360]  這個聖經我們一起讀
[00:02:38.360 --> 00:02:39.880]  好 預備起
[00:02:39.880 --> 00:02:45.240]  我們將所看見所聽見的傳給你們
[00:02:45.240 --> 00:02:47.840]  使你們與我們相交
[00:02:47.840 --> 00:02:53.760]  我們乃是與父並他的兒子耶穌基督相交的
[00:02:53.760 --> 00:02:58.240]  原來我們的信仰是經過一個傳統
[00:02:58.240 --> 00:03:00.400]  和我們親眼見過
[00:03:00.400 --> 00:03:02.400]  什麼叫經過一個傳統呢
[00:03:02.400 --> 00:03:05.280]  就是我們經常去講一件事就是
[00:03:05.280 --> 00:03:07.800]  究竟我們信這個信仰
[00:03:07.800 --> 00:03:09.440]  我們知道這件事
[00:03:09.440 --> 00:03:11.200]  是不是一種傳說來的
[00:03:11.200 --> 00:03:15.480]  過往你聽我講的那些見證或者我小時候所經歷的
[00:03:15.480 --> 00:03:21.400]  我真的以爲耶穌基督的那些故事和傳說是假的
[00:03:21.400 --> 00:03:23.640]  我當時是覺得是假的
[00:03:23.640 --> 00:03:26.760]  但是爲什麼會知道是真的呢
[00:03:26.760 --> 00:03:29.920]  很簡單一件事你們要記住
[00:03:29.920 --> 00:03:32.640]  如果耶穌來到這個世界上
[00:03:32.640 --> 00:03:34.520]  他說他是神的兒子
[00:03:34.520 --> 00:03:36.200]  只有三個分析
[00:03:36.200 --> 00:03:37.720]  第一
[00:03:37.720 --> 00:03:40.000]  他是講真的
[00:03:40.000 --> 00:03:42.000]  因爲他在歷史上出現過
[00:03:42.000 --> 00:03:44.840]  他說他是神的兒子是真的
[00:03:44.840 --> 00:03:45.880]  第二
[00:03:45.880 --> 00:03:48.560]  他說他自己是神的兒子
[00:03:48.560 --> 00:03:50.560]  其中有一個可能性
[00:03:50.560 --> 00:03:53.440]  就是神經病的
[00:03:53.440 --> 00:03:56.200]  譬如
[00:03:56.200 --> 00:03:57.640]  剛纔
[00:03:57.640 --> 00:04:00.880]  如果你認識一個兄弟
[00:04:00.880 --> 00:04:02.280]  他說他自己是男神
[00:04:02.280 --> 00:04:05.160]  你也會覺得你是男神啊
[00:04:05.160 --> 00:04:06.920]  男神可以啊
[00:04:06.920 --> 00:04:09.440]  或者你認識
[00:04:09.440 --> 00:04:14.440]  有些姐妹我們廣福堂裏的
[00:04:14.440 --> 00:04:16.440]  女女說她自己是女神
