
[00:00:00.000 --> 00:00:03.560]  好啊!今天要跟大家分享一篇道
[00:00:03.560 --> 00:00:08.600]  這個訊息其實在不同的教會分享過
[00:00:08.600 --> 00:00:13.060]  但不知是否因為始終沙灘是我的屬靈的家
[00:00:13.060 --> 00:00:17.300]  所以今早來的時候又「嗷」
[00:00:17.300 --> 00:00:19.400]  又很緊張
[00:00:19.400 --> 00:00:21.000]  心裡博博跳
[00:00:21.000 --> 00:00:23.300]  剛才在Ivy傳道隔離
[00:00:23.300 --> 00:00:27.200]  很緊張
[00:00:27.200 --> 00:00:32.700]  心裡我很相信
[00:00:32.700 --> 00:00:38.500]  天父爸爸是要得著沙灘上信會這個群體
[00:00:38.500 --> 00:00:42.300]  所以當母后的日子是祂說的
[00:00:42.300 --> 00:00:46.100]  祂的殿的榮耀必然大過先前
[00:00:46.100 --> 00:00:49.900]  我純純跟天父說:主,我相信祢
[00:00:49.900 --> 00:00:51.400]  我相信祢
[00:00:51.400 --> 00:00:54.300]  所以今天我要跟大家分享
[00:00:54.300 --> 00:00:58.200]  這個我很熟悉的一篇訊息的時候
[00:00:58.200 --> 00:01:01.400]  心裡很震驚
[00:01:01.400 --> 00:01:04.900]  因為道照說
[00:01:04.900 --> 00:01:09.100]  不過人心其實在神的手上
[00:01:09.100 --> 00:01:11.300]  亦是剛才敬拜
[00:01:11.300 --> 00:01:17.300]  如果你唱的和你心裡的禱告是一致的
[00:01:17.300 --> 00:01:21.200]  主,願祢打開我的心
[00:01:21.200 --> 00:01:24.100]  容讓祢的光進入
[00:01:24.100 --> 00:01:27.300]  以至於一切黑暗都要離開
[00:01:27.300 --> 00:01:29.000]  你「啞」不「啞門」?
[00:01:29.000 --> 00:01:30.200]  「啞」不「啞門」?
[00:01:30.200 --> 00:01:33.400]  跟旁邊的人說:喂!「啞門」啊!
[00:01:33.400 --> 00:01:35.600]  哇!感謝主啊!
[00:01:35.600 --> 00:01:38.300]  剛才大家讀了那段經文
[00:01:38.300 --> 00:01:41.500]  我就不再讀了
[00:01:41.500 --> 00:01:43.900]  因為沒有控制力
[00:01:43.900 --> 00:01:47.900]  所以要在後面跟我合作
[00:01:47.900 --> 00:01:50.500]  好,繼續下課
[00:01:50.500 --> 00:01:54.800]  來到這篇剛才大家讀的《二塞亞書》
[00:01:54.800 --> 00:01:56.700]  其實今天和過去
[00:01:56.700 --> 00:01:58.900]  我跟大家分享的訊息有點不同
[00:01:58.900 --> 00:02:02.800]  今天沒有辦法逐句逐句跟大家解釋
[00:02:02.800 --> 00:02:05.000]  只能夠一段一段故事
[00:02:05.000 --> 00:02:07.500]  或者一段一段跟大家看
[00:02:07.500 --> 00:02:10.500]  因為今天要講的東西其實很豐富
[00:02:10.500 --> 00:02:13.400]  《二塞亞書》四十章
[00:02:13.400 --> 00:02:15.400]  其實它裡面講的是
[00:02:15.400 --> 00:02:17.400]  「二塞亞作為一個先知」
[00:02:17.400 --> 00:02:20.500]  它預言了一件事
[00:02:20.500 --> 00:02:23.000]  就是說
[00:02:23.000 --> 00:02:27.200]  「再曠野,有人聲喊著說」
[00:02:27.200 --> 00:02:31.100]  「預備耶和華的路」
[00:02:31.100 --> 00:02:34.000]  在耶穌第一次來
[00:02:34.000 --> 00:02:35.700]  就是二千年之前
[00:02:35.700 --> 00:02:37.500]  當祂來之前
[00:02:37.500 --> 00:02:38.800]  耶穌說:
[00:02:38.800 --> 00:02:41.900]  「這個人是為我的來道預備道路的」
[00:02:41.900 --> 00:02:44.700]  「你知不知道這個人是甚麼人?」
[00:02:44.700 --> 00:02:47.100]  「大聲一點!」
[00:02:47.100 --> 00:02:48.500]  「施朕約翰」
[00:02:48.500 --> 00:02:50.400]  嘩!很好啊!
[00:02:50.400 --> 00:02:53.000]  因為我比較多說是「施洗約翰」
[00:02:53.000 --> 00:02:54.400]  但是你說得對
[00:02:54.400 --> 00:02:55.800]  在朕信會
[00:02:55.800 --> 00:02:59.000]  我們比較多會說是「施朕約翰」
[00:02:59.000 --> 00:03:01.600]  那麼「施洗約翰」或者「施朕約翰」
[00:03:01.600 --> 00:03:02.900]  是耶穌說的
[00:03:02.900 --> 00:03:04.000]  耶穌說:
[00:03:04.000 --> 00:03:06.400]  「是以塞亞先知」
[00:03:06.400 --> 00:03:10.200]  「預言為我來預備道路的人」
[00:03:10.200 --> 00:03:12.900]  「就是祂!」
[00:03:12.900 --> 00:03:13.800]  弟兄姊妹
[00:03:13.800 --> 00:03:16.400]  當二千年之前
[00:03:16.400 --> 00:03:18.500]  為耶穌的來道
[00:03:18.500 --> 00:03:21.500]  為塞亞的來道預備道路的人
[00:03:21.500 --> 00:03:23.000]  是一個人
[00:03:23.000 --> 00:03:25.900]  祂的名字就是「約翰」
[00:03:25.900 --> 00:03:27.500]  但是當耶穌
[00:03:27.500 --> 00:03:29.200]  祂必快來
[00:03:29.200 --> 00:03:30.400]  祂再來的時候
[00:03:30.400 --> 00:03:33.500]  祂來的最核心的工作不是救贖
[00:03:33.500 --> 00:03:38.100]  祂再來的最核心的工作是審判
[00:03:38.100 --> 00:03:40.300]  當耶穌再來之前
[00:03:40.300 --> 00:03:42.100]  而塞亞同樣
[00:03:42.100 --> 00:03:46.600]  這個預言不僅是二千年成就了一次
[00:03:46.600 --> 00:03:48.100]  並且欣賞耶穌
[00:03:48.100 --> 00:03:51.100]  打開了一個末後的世代的時候
[00:03:51.100 --> 00:03:53.100]  耶穌再回來之前
[00:03:53.100 --> 00:03:54.000]  哇!
[00:03:54.000 --> 00:03:55.300]  你知道嗎?
[00:03:55.300 --> 00:03:57.900]  原來祂會興起不是一個人
[00:03:57.900 --> 00:03:59.700]  是興起一群人
[00:03:59.700 --> 00:04:03.500]  甚至乎你可以說是一代
[00:04:03.500 --> 00:04:06.800]  是一個世代的人
[00:04:06.800 --> 00:04:08.400]  什麼是一個世代呢?
[00:04:08.400 --> 00:04:09.700]  你不要以為
[00:04:09.700 --> 00:04:14.600]  現在是十幾歲、廿幾歲的年輕世代
[00:04:14.600 --> 00:04:17.700]  祂才為耶穌的來道預備道路
[00:04:17.700 --> 00:04:18.900]  不是的
[00:04:18.900 --> 00:04:20.900]  One generation 的意思就是
[00:04:20.900 --> 00:04:22.100]  我們生在
[00:04:22.100 --> 00:04:24.300]  如果用二零二五年
[00:04:24.300 --> 00:04:25.600]  如果幾年之後
[00:04:25.600 --> 00:04:26.300]  哇!
[00:04:26.300 --> 00:04:28.300]  耶穌回來了
[00:04:28.300 --> 00:04:31.900]  原來我們這一群未回天家的人
[00:04:31.900 --> 00:04:34.300]  我們活在地上的這一代
[00:04:34.300 --> 00:04:36.200]  One generation 的人
