
[00:00:00.000 --> 00:00:04.000]  有多少人同意自己眼裡有良目呢?
[00:00:04.000 --> 00:00:06.000]  舉手看看
[00:00:06.000 --> 00:00:09.000]  你承認眼裡有良目
[00:00:09.000 --> 00:00:11.000]  可以舉手
[00:00:11.000 --> 00:00:13.000]  舉高一點 定一點
[00:00:13.000 --> 00:00:16.000]  很久沒見人舉手了
[00:00:16.000 --> 00:00:19.000]  噢 感謝主啊
[00:00:19.000 --> 00:00:23.000]  還有些人還不覺得自己眼裡有良目
[00:00:23.000 --> 00:00:26.000]  那你要祈禱 求神
[00:00:26.000 --> 00:00:32.000]  看神幫助你發現眼裡的良目
[00:00:32.000 --> 00:00:34.000]  我深信
[00:00:34.000 --> 00:00:36.000]  到我死那天
[00:00:36.000 --> 00:00:38.000]  我眼裡仍然有良目
[00:00:38.000 --> 00:00:41.000]  不過我希望良目已經變成一間
[00:00:41.000 --> 00:00:43.000]  九屋那麼小的屋的良目
[00:00:43.000 --> 00:00:47.000]  就不是像這個殿堂那麼大的樓的良目
[00:00:47.000 --> 00:00:50.000]  所以在這個成性的過程裡
[00:00:50.000 --> 00:00:53.000]  我相信神會幫我不斷將
[00:00:53.000 --> 00:00:57.000]  我眼裡的良目修逝
[00:00:57.000 --> 00:01:02.000]  人生命總有黑暗
[00:01:02.000 --> 00:01:06.000]  我們沒有人能夠完全地
[00:01:06.000 --> 00:01:08.000]  在神的光照底下
[00:01:08.000 --> 00:01:10.000]  一丁點黑暗都沒有
[00:01:10.000 --> 00:01:12.000]  不過我們肯不肯面對
[00:01:12.000 --> 00:01:17.000]  能不能夠去承認 明白
[00:01:17.000 --> 00:01:22.000]  我們的黑暗是另一回事
[00:01:22.000 --> 00:01:28.000]  謙卑是神給我們一個很重要的生命態度
[00:01:28.000 --> 00:01:31.000]  而這個良目的教導
[00:01:31.000 --> 00:01:33.000]  也是告訴我們
[00:01:33.000 --> 00:01:37.000]  我們必須要持續保持這份謙卑
[00:01:37.000 --> 00:01:40.000]  這個星期很多事情發生了
[00:01:40.000 --> 00:01:42.000]  有部分電視節目接到我的WhatsApp
[00:01:42.000 --> 00:01:44.000]  都為我祈禱
[00:01:44.000 --> 00:01:46.000]  為我們的服侍去祈禱
[00:01:46.000 --> 00:01:47.000]  年初的時候都說過
[00:01:47.000 --> 00:01:52.000]  撒旦在柴鎮的手很沉重
[00:01:52.000 --> 00:01:54.000]  今天再發現
[00:01:54.000 --> 00:01:57.000]  撒旦開始主動攻擊
[00:01:57.000 --> 00:01:59.000]  挑戰 可能是我
[00:01:59.000 --> 00:02:01.000]  未必是教會也好
[00:02:01.000 --> 00:02:06.000]  不過我難免跟著一定要想教會
[00:02:06.000 --> 00:02:08.000]  這星期的服侍當中
[00:02:08.000 --> 00:02:09.000]  我們出現了一個
[00:02:09.000 --> 00:02:13.000]  我們十年來可能都沒有做的服侍
[00:02:13.000 --> 00:02:21.000]  這個服侍是表達了一個訊息
[00:02:21.000 --> 00:02:23.000]  今天早上我們有機會在門訓小組裏
[00:02:23.000 --> 00:02:25.000]  去判別一下
