
[00:00:00.000 --> 00:00:02.880]  剛才大家讀的是提摩泰後書第四章
[00:00:02.880 --> 00:00:06.140]  亦是提摩泰後書最後一章
[00:00:06.140 --> 00:00:10.280]  其實如果大家知道提摩泰後書這四卷書
[00:00:10.280 --> 00:00:11.600]  即是這一個書信
[00:00:11.600 --> 00:00:15.080]  是保羅,仕途保羅臨終的時候
[00:00:15.080 --> 00:00:16.440]  他寫的書信
[00:00:16.440 --> 00:00:20.960]  因為沒多久,他就離世,與主一齊了
[00:00:20.960 --> 00:00:23.560]  而寫信的對象是誰呢?
[00:00:23.560 --> 00:00:25.280]  當然就是提摩泰
[00:00:25.280 --> 00:00:30.920]  提摩泰不單止是保羅的徒弟
[00:00:30.920 --> 00:00:36.840]  更加是保羅稱他為屬靈的兒子
[00:00:36.840 --> 00:00:41.440]  當然,雖然保羅所寫的時候
[00:00:41.440 --> 00:00:43.040]  他是寫給提摩泰
[00:00:43.040 --> 00:00:48.200]  但是聖經的話語是給我們每一位的
[00:00:48.200 --> 00:00:50.800]  所以他寫給提摩泰的同時
[00:00:50.800 --> 00:00:57.640]  今天上帝也透過這段話與我們說
[00:00:57.640 --> 00:01:00.440]  說得上是最後一卷的書卷
[00:01:00.440 --> 00:01:02.880]  即是保羅所寫的最後一封信
[00:01:02.880 --> 00:01:06.320]  最後的話一定是很重要的
[00:01:06.320 --> 00:01:13.400]  不過,保羅他沒有用自己這個長輩的身份
[00:01:13.400 --> 00:01:18.000]  來提醒提摩泰,去勸戒提摩泰
[00:01:18.000 --> 00:01:22.760]  他一開始在第一節
[00:01:22.760 --> 00:01:30.600]  用了一個他所尊敬的上帝去勸戒
[00:01:30.600 --> 00:01:32.520]  第一節他說
[00:01:32.520 --> 00:01:34.400]  我在上帝面前
[00:01:34.400 --> 00:01:38.600]  並在將來審判會人死人的基督耶穌面前
[00:01:38.600 --> 00:01:41.760]  憑著祂的顯現和祂的國度
[00:01:41.760 --> 00:01:44.160]  鄭重地勸戒你
[00:01:44.160 --> 00:01:50.160]  這就是保羅他勸戒的權柄
[00:01:50.160 --> 00:01:53.840]  就是來自上帝和基督耶穌
[00:01:53.840 --> 00:01:55.720]  新一屆的立法會
[00:01:55.720 --> 00:02:01.800]  在10月11日剛過了星期二就開始了
[00:02:01.800 --> 00:02:05.320]  議員也紛紛宣誓
[00:02:05.320 --> 00:02:10.000]  他們宣誓的內容或者方法
[00:02:10.000 --> 00:02:12.200]  我當然不作個別評論
[00:02:12.200 --> 00:02:14.800]  不過不知道大家有沒有留意
[00:02:14.800 --> 00:02:17.080]  有一些候任的議員
[00:02:17.080 --> 00:02:19.440]  當他們宣誓的時候
[00:02:19.440 --> 00:02:21.320]  他們拿著一本聖經
[00:02:21.320 --> 00:02:25.200]  就好像螢光幕的陶謹生那樣
[00:02:25.200 --> 00:02:26.800]  他拿著一本聖經
[00:02:26.800 --> 00:02:30.520]  然後他鄭重地說出來
[00:02:30.520 --> 00:02:32.560]  本人陶謹生
[00:02:32.560 --> 00:02:36.120]  謹對全能上帝宣誓
[00:02:36.120 --> 00:02:40.400]  然後就說本人就任中華人民共和國
[00:02:40.400 --> 00:02:43.360]  為什麼要這樣拿著一本聖經
[00:02:43.360 --> 00:02:47.720]  還要謹對全能上帝宣誓呢
[00:02:47.720 --> 00:02:49.520]  明明在他旁邊
[00:02:49.520 --> 00:02:52.000]  秘書長陳維安已經站在那裡
[00:02:52.000 --> 00:02:53.440]  他是監誓的
[00:02:53.440 --> 00:02:56.200]  在他面前宣誓
[00:02:56.200 --> 00:02:59.120]  如果陳維安說OK的話
[00:02:59.120 --> 00:03:00.480]  那就行了
[00:03:00.480 --> 00:03:02.600]  但是為什麼他也要這樣呢
[00:03:02.600 --> 00:03:05.440]  就是因為他很重視宣誓的內容
[00:03:05.440 --> 00:03:08.240]  並且他要在全能上帝的面前
[00:03:08.240 --> 00:03:10.000]  作出這番宣誓
[00:03:10.000 --> 00:03:13.280]  所以宣誓的內容是很重要的
[00:03:13.280 --> 00:03:15.520]  也要表達他很鄭重的樣子
[00:03:15.520 --> 00:03:19.200]  同樣,保羅也是
[00:03:19.200 --> 00:03:25.680]  當保羅來勸戒提摩泰的時候
[00:03:25.680 --> 00:03:29.120]  他是憑著上帝所賜的權柄
[00:03:29.120 --> 00:03:31.280]  來勸戒提摩泰
[00:03:31.280 --> 00:03:33.200]  他沒有用自己屬靈的長輩
[00:03:33.200 --> 00:03:36.480]  現在我是屬靈的父親
[00:03:36.480 --> 00:03:37.600]  你要聽我的話
[00:03:37.600 --> 00:03:40.480]  不是,他是憑著上帝的權柄
[00:03:40.480 --> 00:03:43.120]  也表達他自己在上帝面前負責
[00:03:43.120 --> 00:03:45.160]  是一個很嚴肅
[00:03:45.160 --> 00:03:47.720]  也很鄭重的勸戒
[00:03:47.720 --> 00:03:50.160]  勸戒的內容是什麼呢
[00:03:50.160 --> 00:03:52.480]  就是第二節了
[00:03:52.480 --> 00:03:53.320]  勸戒的內容是
[00:03:53.320 --> 00:03:55.200]  務要全道
[00:03:55.200 --> 00:03:57.320]  無論得時不得時
[00:03:57.320 --> 00:03:59.040]  總要專心
[00:03:59.040 --> 00:04:00.800]  並以百般的忍耐
[00:04:00.800 --> 00:04:02.640]  和各樣的教導
[00:04:02.640 --> 00:04:03.840]  責備人
[00:04:03.840 --> 00:04:05.240]  警戒人
[00:04:05.240 --> 00:04:07.000]  勸勉人
[00:04:07.000 --> 00:04:12.360]  這就是保羅勸戒的內容
[00:04:12.360 --> 00:04:14.120]  務要全道
[00:04:14.120 --> 00:04:16.480]  很明白,大家都要全道
[00:04:16.480 --> 00:04:20.840]  究竟無論得時不得時是什麼意思呢
[00:04:20.840 --> 00:04:23.400]  原來無論得時不得時的意思就是
[00:04:23.400 --> 00:04:24.960]  無論是好的時機
[00:04:24.960 --> 00:04:26.800]  或者是不好的時機
[00:04:26.800 --> 00:04:30.840]  你都要去傳福音
[00:04:30.840 --> 00:04:34.920]  不知道大家有沒有試過派單張呢
