
[00:00:00.000 --> 00:00:02.480]  歡迎大家來到我們的周六重拜
[00:00:02.480 --> 00:00:06.680]  兩個星期前我們開始了一個新的講道系列
[00:00:06.680 --> 00:00:11.240]  我們要宣講的是《新約聖經》當中的約翰福音
[00:00:11.240 --> 00:00:15.240]  我們宣講的題目是《榮耀君王》
[00:00:15.240 --> 00:00:18.240]  是一個全新的講道系列
[00:00:18.240 --> 00:00:21.240]  但是從舊因歷史來看
[00:00:21.240 --> 00:00:29.240]  這個系列也可以說是之前《丹爾里書》講道系列的延續
[00:00:29.240 --> 00:00:35.240]  當先知丹爾里只能遙遠張望等待君王
[00:00:35.240 --> 00:00:37.240]  這是我們系列的名稱
[00:00:37.240 --> 00:00:41.240]  在巴比倫等待君王的時候
[00:00:41.240 --> 00:00:46.240]  司徒約翰寫信的時候已經是五百多年之後
[00:00:46.240 --> 00:00:49.240]  他親眼看見耶穌
[00:00:49.240 --> 00:00:53.240]  他說他看見耶穌的榮望
[00:00:53.240 --> 00:00:59.240]  一個是等待君王 另一個是親眼看見榮耀的君王
[00:00:59.240 --> 00:01:05.240]  耶穌是上帝所認許所揀選的君王
[00:01:05.240 --> 00:01:09.240]  然而他在十字架上面成為君王
[00:01:09.240 --> 00:01:13.240]  在十字架上面彰顯上帝的榮耀
[00:01:13.240 --> 00:01:21.240]  這個是我們要講的約翰福音《榮耀君王十架》的救主
[00:01:21.240 --> 00:01:26.240]  約翰福音是一本怎樣的福音書呢
[00:01:26.240 --> 00:01:32.240]  我們可以說他是一本非常清晰流暢容易明白的福音書
[00:01:32.240 --> 00:01:34.240]  你有機會讀過約翰福音
[00:01:34.240 --> 00:01:37.240]  你也會覺得很簡單 牧師你不用在我旁邊
[00:01:37.240 --> 00:01:38.240]  我也看得明白
[00:01:38.240 --> 00:01:44.240]  因此約翰福音常常被人視為是傳福音的好工具
[00:01:44.240 --> 00:01:49.240]  也是初信徒的好伴侶
[00:01:49.240 --> 00:01:52.240]  不過這個理解只符合了一半
[00:01:52.240 --> 00:02:00.240]  學者常常會告訴我們約翰福音是一個高深莫測的福音書
[00:02:00.240 --> 00:02:02.240]  這裡有一個說法 是Leon Morris
[00:02:02.240 --> 00:02:04.240]  Leon Morris這樣說
[00:02:04.240 --> 00:02:08.240]  他說約翰福音好像一個神奇的游泳池
[00:02:08.240 --> 00:02:12.240]  他淺到小朋友可以在一旁玩水
[00:02:12.240 --> 00:02:20.240]  但他也深到一個地步一個大象大象都可以在當中游泳
[00:02:20.240 --> 00:02:26.240]  你又記得我兩個星期前和你分享約翰加爾文John Calvin
[00:02:26.240 --> 00:02:32.240]  這樣對比和讚嘆約翰福音的宏大和深廣
[00:02:32.240 --> 00:02:37.240]  他說The synoptic gospel allows us to see the body of Jesus
[00:02:37.240 --> 00:02:41.240]  The gospel of John reveals the soul of Jesus
[00:02:41.240 --> 00:02:47.240]  他說父類福音就是馬太馬可和路加
[00:02:47.240 --> 00:02:50.240]  他讓我們看見耶穌的身體
[00:02:50.240 --> 00:02:57.240]  然而約翰福音要啟示的是耶穌的靈魂
[00:02:57.240 --> 00:03:02.240]  是一個很深度的福音書
[00:03:02.240 --> 00:03:08.240]  對於使徒約翰自己而言歸根到底
[00:03:08.240 --> 00:03:15.240]  他所寫的福音書是一本關於榮耀的作品
[00:03:15.240 --> 00:03:18.240]  如果你問約翰究竟要寫什麼
[00:03:18.240 --> 00:03:20.240]  他寫得這麼深
[00:03:20.240 --> 00:03:23.240]  約翰告訴你我只是想寫一件事
[00:03:23.240 --> 00:03:26.240]  那件事叫做榮耀
[00:03:26.240 --> 00:03:29.240]  約翰福音可以分為兩半
[00:03:29.240 --> 00:03:33.240]  上半部我們叫做神蹟之書
[00:03:33.240 --> 00:03:35.240]  也叫做記號之書
[00:03:35.240 --> 00:03:39.240]  下半部聖經學者說叫做榮耀之書
[00:03:39.240 --> 00:03:41.240]  也是受難之書
[00:03:41.240 --> 00:03:46.240]  上半部寫的表面上是神蹟歧視
[00:03:46.240 --> 00:03:50.240]  但實際上每個神蹟歧視只是一個包裝裏面
[00:03:50.240 --> 00:03:53.240]  包括了一個天國的記號
[00:03:53.240 --> 00:03:56.240]  於是上半部說的是天國的記號
[00:03:56.240 --> 00:03:59.240]  而最終所有的天國記號
[00:03:59.240 --> 00:04:04.240]  都是指向下半部裏面的榮耀
[00:04:04.240 --> 00:04:06.240]  榮耀在哪裏
[00:04:06.240 --> 00:04:08.240]  榮耀在十字架上
[00:04:08.240 --> 00:04:10.240]  君王的受難
[00:04:10.240 --> 00:04:13.240]  耶穌基督的十字架
[00:04:13.240 --> 00:04:16.240]  才是整本書的高潮
[00:04:16.240 --> 00:04:18.240]  整本書的終點
[00:04:18.240 --> 00:04:22.240]  於是所有的東西流向十字架
[00:04:22.240 --> 00:04:24.240]  所有的神蹟
[00:04:24.240 --> 00:04:25.240]  所有的記號
[00:04:25.240 --> 00:04:27.240]  所有的榮耀
[00:04:27.240 --> 00:04:29.240]  都在耶穌的受難裏面
[00:04:29.240 --> 00:04:31.240]  彰顯給我們看
[00:04:31.240 --> 00:04:34.240]  曾幾何時
[00:04:34.240 --> 00:04:37.240]  當約翰還未悔改
[00:04:37.240 --> 00:04:40.240]  還未相信耶穌的時候
[00:04:40.240 --> 00:04:43.240]  他曾經偷偷問耶穌
[00:04:43.240 --> 00:04:45.240]  你榮耀作王的時候
[00:04:45.240 --> 00:04:47.240]  我可不可以坐在你的左右邊
[00:04:47.240 --> 00:04:52.240]  他所嚮往的榮耀是地上的神蹟歧視
[00:04:52.240 --> 00:04:55.240]  他所嚮往的是榮華富貴
[00:04:55.240 --> 00:04:59.240]  但後來他蒙因迴轉
[00:04:59.240 --> 00:05:03.240]  他從黑暗裏面走進光明
[00:05:03.240 --> 00:05:07.240]  所有在約翰普林裏面寫的這些說話
[00:05:07.240 --> 00:05:08.240]  黑暗走到光明
[00:05:08.240 --> 00:05:09.240]  他都是在洗自己的
[00:05:09.240 --> 00:05:11.240]  好像在洗自己的一個見證
[00:05:11.240 --> 00:05:12.240]  曾幾何時
[00:05:12.240 --> 00:05:14.240]  他就在黑暗裏面
[00:05:14.240 --> 00:05:15.240]  黑暗在哪裏
[00:05:15.240 --> 00:05:16.240]  他貪愛世界
[00:05:16.240 --> 00:05:17.240]  黑暗在哪裏
[00:05:17.240 --> 00:05:19.240]  他追求地上的名利
[00:05:19.240 --> 00:05:21.240]  他看不見上帝的榮光
[00:05:21.240 --> 00:05:24.240]  現在他走向光明
[00:05:24.240 --> 00:05:26.240]  他意識到
[00:05:26.240 --> 00:05:27.240]  真正的榮耀
[00:05:27.240 --> 00:05:29.240]  是十字架上的救主
[00:05:29.240 --> 00:05:32.240]  是受難的君王
[00:05:32.240 --> 00:05:40.240]  耶穌的十字架是上帝賜給黑暗世界的榮耀救贖
[00:05:40.240 --> 00:05:43.240]  但這只是圖畫的一部份
[00:05:43.240 --> 00:05:45.240]  耶穌的榮耀是十字架
[00:05:45.240 --> 00:05:47.240]  那我們的榮耀在哪裏呢
[00:05:47.240 --> 00:05:49.240]  於是接下來
