
[00:00:00.000 --> 00:00:03.000]  在《提摩太后書》
[00:00:03.000 --> 00:00:06.000]  使徒保羅是用了好幾個比喻
[00:00:06.000 --> 00:00:10.000]  來講到跟隨耶穌基督的跟隨者
[00:00:10.000 --> 00:00:12.000]  是應該有什麼特質的
[00:00:12.000 --> 00:00:13.000]  大家記不記得上個星期
[00:00:13.000 --> 00:00:16.000]  我們討論過哪幾個的比喻
[00:00:16.000 --> 00:00:20.000]  我們講到做基督的精兵
[00:00:20.000 --> 00:00:22.000]  運動場上的運動員
[00:00:22.000 --> 00:00:27.000]  以及在農地上的農夫
[00:00:27.000 --> 00:00:28.000]  大家記得的話
[00:00:28.000 --> 00:00:31.000]  而今天我們看另外三個的比喻
[00:00:31.000 --> 00:00:33.000]  第一個比喻
[00:00:33.000 --> 00:00:38.000]  保羅講到無愧的工人
[00:00:38.000 --> 00:00:39.000]  大家要留意
[00:00:39.000 --> 00:00:44.000]  使徒保羅是把一個福音的棒交給提摩太
[00:00:44.000 --> 00:00:46.000]  所以這裡的工人
[00:00:46.000 --> 00:00:51.000]  應該是指到在教會裡面的領袖
[00:00:51.000 --> 00:00:54.000]  作為神話語的管家
[00:00:54.000 --> 00:00:56.000]  所以如果大家看經文的話
[00:00:56.000 --> 00:00:59.000]  保羅是很強調提醒提摩太
[00:00:59.000 --> 00:01:03.000]  在信徒的面前
[00:01:03.000 --> 00:01:06.000]  他會將那些事
[00:01:06.000 --> 00:01:11.000]  告訴信徒這個責任的重要性
[00:01:11.000 --> 00:01:13.000]  究竟保羅這裡所講的
[00:01:13.000 --> 00:01:16.000]  這些事是什麼事情呢
[00:01:16.000 --> 00:01:18.000]  很明顯就是
[00:01:18.000 --> 00:01:21.000]  是指剛才這段經文
[00:01:21.000 --> 00:01:23.000]  之前所講的事情
[00:01:23.000 --> 00:01:26.000]  就是說我們上個星期所傳講的信息
[00:01:26.000 --> 00:01:28.000]  大家記不記得是什麼
[00:01:28.000 --> 00:01:33.000]  不要以福音為恥
[00:01:33.000 --> 00:01:36.000]  當我們做運動員的時候
[00:01:36.000 --> 00:01:37.000]  我們需要有紀律
[00:01:37.000 --> 00:01:39.000]  我們需要守規矩
[00:01:39.000 --> 00:01:41.000]  我們需要像一個農夫那樣
