
[00:00:00.000 --> 00:00:10.000]  鼎姊妹,午安,好似呢,過完年啦,今日係農曆年幾多,有冇人講得出呀?
[00:00:10.000 --> 00:00:20.000]  十二呀,咁都係正值正月啦,都恭祝大家馬年進步,身體健康
[00:00:20.000 --> 00:00:28.000]  如果大家每一年,係年初嘅時候有留意新聞呢
[00:00:28.000 --> 00:00:39.000]  年初,當你打開電視,你總係會見到有一位藝人,九十幾歲,年年都俾人訪問佢
[00:00:39.000 --> 00:00:50.000]  點解呢?佢就會扮成唔同形象去黃大仙,即係裝頭炷香,你一定見到佢
[00:00:50.000 --> 00:01:03.000]  如果你有留意下新聞嘅鏡頭,唔止年紀大,其實都有相當多年輕嘅面孔
[00:01:03.000 --> 00:01:13.000]  爭住去做同一件事,今年我就見到新聞訪問一位00後
[00:01:13.000 --> 00:01:29.000]  00後嘅年輕人,佢就話早一晚三點幾就已經走去排隊,為著要去裝頭炷香
[00:01:29.000 --> 00:01:38.000]  究竟我地嘅信仰,基督信仰,同信黃大仙有啲咩分別呢?
[00:01:38.000 --> 00:01:48.000]  德國神學家馬丁路德,佢就曾經咁樣講,佢個說話,英文係咁樣翻譯
[00:01:48.000 --> 00:01:56.000]  Religion that does nothing, gives nothing, costs nothing, suffers nothing, is worth nothing
[00:01:56.000 --> 00:02:07.000]  翻譯出嚟就係話,一個咩都唔使做,乜嘢都唔使付出,唔使成本,唔需要承受痛苦嘅宗教信仰
[00:02:07.000 --> 00:02:17.000]  係無價值,佢咁樣講,我今日要同大家分享以賽亞書44章
[00:02:17.000 --> 00:02:31.000]  前文43章就講到以色列民要面對逆境,但係神嘅子民仍然將會蒙救贖
[00:02:31.000 --> 00:02:38.000]  所以就叫佢哋唔使驚,因為神一定會保護佢嘅子民
[00:02:38.000 --> 00:02:51.000]  問題就係呢班上帝嘅子民究竟有冇睇得清楚佢哋所信嘅耶和華上帝究竟係點樣嘅呢?
[00:02:51.000 --> 00:03:07.000]  我哋先睇一睇頭五節經文,如果你有機會查經翻查下其他中文嘅譯本
[00:03:07.000 --> 00:03:26.000]  呂鎮忠譯本同詩高譯本都分別將第一節「我的僕人雅各」呢句翻譯嘅前面就多咗一個「但」或者「但是」呢個連接詞
[00:03:26.000 --> 00:03:34.000]  意思即係點呢?其實華本無譯到出嚟,但係如果我哋有呢個連接詞嘅話
[00:03:34.000 --> 00:03:44.000]  我哋就知道44章第一節同前面43章其實係有關連緊接住43章
[00:03:44.000 --> 00:03:54.000]  寫開古卷話畀我哋聽原來44章一節係緊接連於43章28節
[00:03:54.000 --> 00:04:09.000]  雖然神係43章28節咁責備佢嘅子民,所以我要辱沒聖所嘅首領使雅各成為咒咒,使以色列成為辱罵
[00:04:09.000 --> 00:04:19.000]  不過鏡頭一轉去到44章第一節,上帝仍然堅持佢嗰個不變嘅應許
[00:04:19.000 --> 00:04:29.000]  佢話唔會因為百姓嘅活逆,然後我將你哋整個猶大都毀滅咗佢
