
[00:00:00.000 --> 00:00:05.000]  可能在座有小部份的弟兄姊妹都知道
[00:00:05.000 --> 00:00:09.000]  我在外面有一個機構
[00:00:09.000 --> 00:00:11.000]  叫做維護家庭基金
[00:00:11.000 --> 00:00:15.000]  有少少義務性質的服務
[00:00:15.000 --> 00:00:18.000]  如果大家上個月
[00:00:18.000 --> 00:00:22.000]  有拿到一個雜誌叫做宣訊
[00:00:22.000 --> 00:00:25.000]  我不知道大家有沒有平時拿開來看
[00:00:25.000 --> 00:00:27.000]  就是區聯會的一個雜誌
[00:00:27.000 --> 00:00:30.000]  它的封面有個主題叫做
[00:00:30.000 --> 00:00:32.000]  「爸爸的主場」
[00:00:32.000 --> 00:00:34.000]  當中的作者
[00:00:34.000 --> 00:00:39.000]  其實就是維護家庭基金的總幹事
[00:00:39.000 --> 00:00:43.000]  而這個機構在大概三年前
[00:00:43.000 --> 00:00:47.000]  成立了一個好爸爸中心
[00:00:47.000 --> 00:00:49.000]  這個好爸爸中心
[00:00:49.000 --> 00:00:54.000]  都是希望推展父親的事工
[00:00:54.000 --> 00:00:57.000]  對於我們上一代的父親
[00:00:57.000 --> 00:00:59.000]  即是我上一代的父親
[00:00:59.000 --> 00:01:02.000]  我相信大家都會有一個這樣的體會
[00:01:02.000 --> 00:01:07.000]  就是他們很努力去工作
[00:01:07.000 --> 00:01:10.000]  維持家庭的生計
[00:01:10.000 --> 00:01:12.000]  我們叫他做好顧家
[00:01:12.000 --> 00:01:16.000]  這樣就是好的爸爸
[00:01:16.000 --> 00:01:18.000]  但是時至今日
[00:01:18.000 --> 00:01:23.000]  我相信就不只是謀生這麼簡單
[00:01:23.000 --> 00:01:26.000]  還有其他的期望
[00:01:26.000 --> 00:01:29.000]  而這個機構
[00:01:29.000 --> 00:01:33.000]  最近就推出了一個項目
[00:01:33.000 --> 00:01:36.000]  名字叫做「學毛紙警」
[00:01:36.000 --> 00:01:39.000]  「父職體驗與挑戰工作坊」
[00:01:39.000 --> 00:01:43.000]  留意「毛」字不是「有」和「無」的「毛」
[00:01:43.000 --> 00:01:45.000]  是模範的「毛」
[00:01:45.000 --> 00:01:49.000]  然後「紙」字不是「停止」的「紙」
[00:01:49.000 --> 00:01:52.000]  而是「兒子」、「孩子」的「紙」
[00:01:52.000 --> 00:01:54.000]  就是說很希望
[00:01:54.000 --> 00:01:59.000]  作為我們的兒女、兒子的模範
[00:01:59.000 --> 00:02:02.000]  這件事其實是需要學的
[00:02:02.000 --> 00:02:04.000]  其實不只是學
[00:02:04.000 --> 00:02:08.000]  這個工作坊同時也是一個研究
[00:02:08.000 --> 00:02:11.000]  是由香港城市大學應用社會科學系
[00:02:11.000 --> 00:02:14.000]  聖雅各福群會灣仔綜合家庭服務中心
[00:02:14.000 --> 00:02:18.000]  和維護家庭基金底下的好爸爸中心
[00:02:18.000 --> 00:02:21.000]  幾個機構集合在一起
[00:02:21.000 --> 00:02:27.000]  要做一個有研究實證為本的父職課程
[00:02:27.000 --> 00:02:29.000]  即是有empirical finding
[00:02:29.000 --> 00:02:31.000]  即是真的做研究
[00:02:31.000 --> 00:02:37.000]  去看看究竟什麼叫做好爸爸呢?
[00:02:37.000 --> 00:02:41.000]  可能大家心裏有不同的想法
[00:02:41.000 --> 00:02:47.000]  怎樣可以幫助兒女成長呢?
[00:02:47.000 --> 00:02:50.000]  這個工作坊的內容包括什麼呢?
[00:02:50.000 --> 00:02:53.000]  上一代父親對我們的影響
[00:02:53.000 --> 00:02:55.000]  這個很重要
[00:02:55.000 --> 00:02:57.000]  爸爸的角色大檢閱
[00:02:57.000 --> 00:03:01.000]  認識孩子的暴力行為和情緒
[00:03:01.000 --> 00:03:04.000]  怎樣去處理他們的暴力行為
[00:03:04.000 --> 00:03:10.000]  和檢視父親角色怎樣去實踐
[00:03:10.000 --> 00:03:13.000]  這些全部都是現在需要面對的
[00:03:13.000 --> 00:03:15.000]  現在的小朋友很厲害的
[00:03:15.000 --> 00:03:18.000]  不是容易去處理的
[00:03:18.000 --> 00:03:21.000]  這個工作坊的目的
[00:03:21.000 --> 00:03:27.000]  是希望提升作為爸爸的管教效能
[00:03:27.000 --> 00:03:32.000]  和給父親們一些自信心
[00:03:32.000 --> 00:03:38.000]  希望增進父親和子女之間的關係
[00:03:38.000 --> 00:03:40.000]  減少預防
[00:03:40.000 --> 00:03:44.000]  他們那種非常操控性
[00:03:44.000 --> 00:03:48.000]  是皇帝來的
[00:03:48.000 --> 00:03:51.000]  和一些欺凌的行為
[00:03:51.000 --> 00:03:56.000]  讓爸爸可以重新成為孩子的模範
[00:03:56.000 --> 00:04:00.000]  今天我選了兩段舊約聖經和大家分享
[00:04:00.000 --> 00:04:02.000]  一段在詩篇
[00:04:02.000 --> 00:04:05.000]  另一段來自《瑪麗基書》
[00:04:05.000 --> 00:04:09.000]  我先會和大家講詩篇這一段
[00:04:09.000 --> 00:04:14.000]  一起讀讀第127篇3-5節
[00:04:14.000 --> 00:04:17.000]  兒女是耶和華所賜的產業
[00:04:17.000 --> 00:04:20.000]  所懷的胎是他所給的賞賜
[00:04:20.000 --> 00:04:22.000]  少年時所生的兒女
[00:04:22.000 --> 00:04:24.000]  好像勇士手中的箭
[00:04:24.000 --> 00:04:27.000]  箭袋充滿的人便為有福
[00:04:27.000 --> 00:04:31.000]  他們在城門口和受敵說話的時候
[00:04:31.000 --> 00:04:34.000]  必不至於羞愧
[00:04:34.000 --> 00:04:39.000]  聖經學者經常將127和128篇放在一起
[00:04:39.000 --> 00:04:44.000]  因為裏面講到很多關於家庭的課題
[00:04:44.000 --> 00:04:47.000]  不過今天為了聚焦一點
[00:04:47.000 --> 00:04:51.000]  我只講127篇3-5節
[00:04:51.000 --> 00:04:55.000]  作者在第3節提到
[00:04:55.000 --> 00:04:57.000]  兒女是耶和華所賜的產業
[00:04:57.000 --> 00:05:00.000]  所懷的胎是他所給的賞賜
[00:05:00.000 --> 00:05:02.000]  他這樣形容
[00:05:02.000 --> 00:05:05.000]  兒女是耶和華所賜的產業
[00:05:05.000 --> 00:05:08.000]  所懷的胎是他所給的賞賜
[00:05:08.000 --> 00:05:13.000]  如果大家有機會去參考其他聖經的譯本
[00:05:13.000 --> 00:05:16.000]  詩高譯本的譯法
[00:05:16.000 --> 00:05:19.000]  上半節的「耶和華所賜的產業」
[00:05:19.000 --> 00:05:21.000]  其實沒有那麼多字
[00:05:21.000 --> 00:05:23.000]  只有兩個名詞
[00:05:23.000 --> 00:05:25.000]  「上主」、「賜與」
[00:05:25.000 --> 00:05:27.000]  就這麼多了
[00:05:27.000 --> 00:05:30.000]  這裏給了我們兩個提醒
[00:05:30.000 --> 00:05:33.000]  第一,甚麼是賜與?
[00:05:33.000 --> 00:05:35.000]  賜與就是我原本沒有的
[00:05:35.000 --> 00:05:37.000]  給你的就是賜與
[00:05:37.000 --> 00:05:41.000]  我更喜歡英文NRSV的翻譯
[00:05:41.000 --> 00:05:44.000]  翻譯成HERITAGE
[00:05:44.000 --> 00:05:46.000]  這個英文字是怎樣解釋呢?
[00:05:46.000 --> 00:05:52.000]  就是那些東西是上一代帶給我的
[00:05:52.000 --> 00:05:54.000]  不只是這樣
[00:05:54.000 --> 00:06:00.000]  告訴我們我們還需要將這些東西承傳下去
[00:06:00.000 --> 00:06:03.000]  這就叫做HERITAGE
[00:06:03.000 --> 00:06:05.000]  所以這裏提醒我們
[00:06:05.000 --> 00:06:10.000]  除了那些東西是我們原本沒有之外
[00:06:10.000 --> 00:06:12.000]  現在給了你
[00:06:12.000 --> 00:06:14.000]  但給了你之後請你留意
[00:06:14.000 --> 00:06:17.000]  這些東西不是長久的
[00:06:17.000 --> 00:06:21.000]  因為要你繼續交下去
[00:06:21.000 --> 00:06:26.000]  所以我們的兒女是屬於上帝的
[00:06:26.000 --> 00:06:28.000]  不是屬於我們
[00:06:28.000 --> 00:06:33.000]  父母的角色只不過是一個托管者
[00:06:33.000 --> 00:06:37.000]  第二,這節經文的下半節
[00:06:37.000 --> 00:06:40.000]  「是他所給的賞賜」
[00:06:40.000 --> 00:06:44.000]  就是在人生階段裏賞賜給你
[00:06:44.000 --> 00:06:47.000]  賞賜當然是賞賜些好東西給你
[00:06:47.000 --> 00:06:49.000]  既然這些是好東西
[00:06:49.000 --> 00:06:51.000]  請我們不要忽視
[00:06:51.000 --> 00:06:55.000]  我們需要好好去照管
[00:06:55.000 --> 00:06:58.000]  不要當我們的兒女無道
[00:06:58.000 --> 00:07:04.000]  這樣我們才能夠最終在上帝面前交帳
[00:07:04.000 --> 00:07:06.000]  所以這裏說的是兩個極端
[00:07:06.000 --> 00:07:09.000]  一個極端就是抱在身上以為是自己的
[00:07:09.000 --> 00:07:12.000]  另一個極端就是當他無道
[00:07:12.000 --> 00:07:14.000]  不理他
[00:07:14.000 --> 00:07:16.000]  兩邊都不對
[00:07:16.000 --> 00:07:18.000]  我們逐邊看
[00:07:18.000 --> 00:07:21.000]  以前我都沒有這樣覺得
[00:07:21.000 --> 00:07:23.000]  不過最近幾年
[00:07:23.000 --> 00:07:27.000]  我經常在報章雜誌,網上看到一個字
