
[00:00:00.000 --> 00:00:02.000]  各位親愛的兄弟姐妹,你們好
[00:00:02.000 --> 00:00:06.000]  我很感謝天父讓我有機會跟大家一起來分享神的說話
[00:00:06.000 --> 00:00:08.000]  今天特別感受心的
[00:00:08.000 --> 00:00:09.000]  因為為什麼呢?
[00:00:09.000 --> 00:00:12.000]  是我們的教堂搬到一個新的地方
[00:00:12.000 --> 00:00:16.000]  今天我們第一次在新的地方裡面去聚會
[00:00:16.000 --> 00:00:21.000]  我能夠有幸在第一次的新的地方裡面跟大家分享
[00:00:21.000 --> 00:00:23.000]  這是一個很大的祝福
[00:00:23.000 --> 00:00:25.000]  正如牧師剛才也說了
[00:00:25.000 --> 00:00:29.000]  我是兩年前被約定今天來跟大家分享的
[00:00:29.000 --> 00:00:31.000]  但想不到在這個時候
[00:00:31.000 --> 00:00:33.000]  可以跟大家在一起的時候
[00:00:33.000 --> 00:00:36.000]  這是神給我的莫大的恩典
[00:00:36.000 --> 00:00:39.000]  如果我們有在上個星期
[00:00:39.000 --> 00:00:42.000]  繼續或者以前在舊的教堂裡面聚會的時候
[00:00:42.000 --> 00:00:45.000]  你不得不承認這個地方
[00:00:45.000 --> 00:00:46.000]  這個堂址
[00:00:46.000 --> 00:00:48.000]  是更加的寬敞
[00:00:48.000 --> 00:00:50.000]  更加的美麗
[00:00:50.000 --> 00:00:54.000]  但是我們是不是只講求一個新的地方就足夠呢?
[00:00:54.000 --> 00:01:00.000]  我們期望一間教堂是怎樣合乎神的心意呢?
[00:01:00.000 --> 00:01:04.000]  又或者我們的教會應該怎樣來發展
[00:01:04.000 --> 00:01:07.000]  才能夠蒙神的祝福呢?
[00:01:07.000 --> 00:01:09.000]  這個是我們要去探索的
[00:01:09.000 --> 00:01:12.000]  所以今天我會跟大家來帶去看一段經文
[00:01:12.000 --> 00:01:15.000]  就是所羅門建了聖殿的時候
[00:01:15.000 --> 00:01:17.000]  後來又獻堂
[00:01:17.000 --> 00:01:22.000]  所羅門和一幫子民在聖殿開始第一次的時候
[00:01:22.000 --> 00:01:24.000]  去有一個祈禱
