
[00:00:00.000 --> 00:00:06.000]  今天要分享的經文是在《馬拉基書》第三章十三至四章六節
[00:00:06.000 --> 00:00:10.080]  經文的講題叫做《黑暗中的爭辯》
[00:00:10.080 --> 00:00:13.960]  是講述上帝與他的子民,即是以色列人吵架
[00:00:13.960 --> 00:00:17.080]  或者應該這麼說,是一個法律的場景
[00:00:17.080 --> 00:00:20.280]  上帝要控告這群以色列人
[00:00:20.280 --> 00:00:26.400]  今天在一個網上平台看到有一篇文章
[00:00:26.400 --> 00:00:30.320]  寫的人叫加豪,我想很多人都收過
[00:00:30.320 --> 00:00:36.200]  這個話題很吸引眼球,就是《禱告還有用嗎?》
[00:00:36.200 --> 00:00:41.920]  他這樣說,他說在這一百多天裡面
[00:00:41.920 --> 00:00:44.200]  你有沒有問過這個問題呢?
[00:00:44.200 --> 00:00:46.600]  你有沒有聽過這個問題
[00:00:46.600 --> 00:00:50.240]  一次、兩次還是已經是數之不盡
[00:00:50.240 --> 00:00:54.880]  面對這個另類的合法暴力來止暴制亂
[00:00:54.880 --> 00:00:57.040]  作者是這樣寫的
[00:00:57.040 --> 00:01:03.320]  把一些活人視為死物,將謊言當作真相的堅尼地城
[00:01:03.320 --> 00:01:09.680]  雙手合十,雙手沉默低頭,祈禱是否被動
[00:01:09.680 --> 00:01:14.840]  是否有些不切實際,是否還有用呢?
[00:01:14.840 --> 00:01:20.440]  我在想,其實在聖經裡面,我今天講的那段經文
[00:01:20.440 --> 00:01:24.120]  是小仙之《馬拉基書》
[00:01:24.120 --> 00:01:29.400]  其實《馬拉基書》當時那群以色列人都在問同一個問題
[00:01:29.400 --> 00:01:31.960]  《馬拉基書》第二章十七節這樣說
[00:01:31.960 --> 00:01:35.840]  耶和華說,你們用言語使耶和華厭煩
[00:01:35.840 --> 00:01:42.120]  卻說我們在哪些事上令上帝厭煩呢?
[00:01:42.120 --> 00:01:44.760]  因為那群人,那群以色列人說
[00:01:44.760 --> 00:01:49.000]  「凡行惡的,耶和華看為善,並且喜愛他們」
[00:01:49.000 --> 00:01:54.320]  以色列人又說,公平的上帝去了哪裡?
[00:01:54.320 --> 00:01:57.280]  我想這是今天我們很多人都在問的問題
[00:01:57.280 --> 00:01:59.880]  公平的上帝去了哪裡?
[00:01:59.880 --> 00:02:03.920]  我們不如看一下《馬拉基書》的一些背景
[00:02:03.920 --> 00:02:07.280]  接著我們讀一段經文,有一些反省
[00:02:07.280 --> 00:02:11.200]  《馬拉基書》剛才講了一個背景,或者它的格式
[00:02:11.200 --> 00:02:16.920]  其實好像一些法律的用語,控辯雙方在爭辯一樣
[00:02:16.920 --> 00:02:22.360]  不過控方是上帝,辯方是以色列人
[00:02:22.360 --> 00:02:28.880]  上帝就是法官,所以其實都是很大石砸死蟹
[00:02:28.880 --> 00:02:30.920]  不過聖經真的這樣說
[00:02:30.920 --> 00:02:35.840]  上帝對於什麼,因為什麼要告以色列人呢?
[00:02:35.840 --> 00:02:37.080]  我想和你分享幾樣
[00:02:37.080 --> 00:02:41.400]  第一就是上帝斥責那些百姓娶外邦女子
[00:02:41.400 --> 00:02:45.000]  不單是娶外邦女子,他們還幼妻
[00:02:45.000 --> 00:02:48.560]  上帝罵他們不單止和外邦結盟
[00:02:48.560 --> 00:02:53.560]  或者和外邦的人有一些接觸
[00:02:53.560 --> 00:02:58.160]  更加強調的是這一班人背弱
[00:02:58.160 --> 00:03:05.280]  經文這樣說,耶和華在你和你年輕時所娶的妻子之間作證
[00:03:05.280 --> 00:03:10.320]  她是你的配偶,是你誓約的妻子,你卻背棄她
[00:03:10.320 --> 00:03:15.240]  他說如果一個人剩下一點靈性,他也不會這樣做
[00:03:15.240 --> 00:03:19.280]  上帝罵得很厲害,罵那班人離婚
[00:03:19.280 --> 00:03:23.680]  罵那班人不單止離婚,離婚背後說的是他們背弱
[00:03:23.680 --> 00:03:28.760]  第二件事上帝斥責的就是那班百姓有很多不公義的事
[00:03:28.760 --> 00:03:31.720]  他們起假誓,剝削故宮的工錢
[00:03:31.720 --> 00:03:38.280]  欺壓孤兒寡婦,屈枉寄居者的人是很多很多
[00:03:38.280 --> 00:03:41.400]  上帝說這一班人都是他不喜歡的
[00:03:41.400 --> 00:03:46.040]  除了罵完那些百姓之外,有沒有罵其他人呢?
[00:03:46.040 --> 00:03:47.800]  他罵的是祭司
[00:03:47.800 --> 00:03:51.240]  他說祭司將神的談天烏
[00:03:51.240 --> 00:03:58.440]  在律法上他們看人的臉色而作出不公平的判斷
[00:03:58.440 --> 00:04:01.280]  聖經說得很嚴重,聖經有一段他說
[00:04:01.280 --> 00:04:06.840]  你們這班祭司這樣做,我就會將糞便抹在你的臉上
[00:04:06.840 --> 00:04:10.560]  將你和那些濟生一起拿出去扔掉
[00:04:10.560 --> 00:04:14.160]  最後上帝罵的就是那班百姓
[00:04:14.160 --> 00:04:19.760]  他說那班百姓在當立的十分一的奉獻上
[00:04:19.760 --> 00:04:23.160]  規決了上帝,搶奪了上帝
[00:04:23.160 --> 00:04:26.240]  也在供物上搶奪上帝
[00:04:26.240 --> 00:04:28.240]  他在說那班人,聖經說得很清楚
[00:04:28.240 --> 00:04:31.480]  我們如果要獻祭,要獻一些沒有殘疾的
[00:04:31.480 --> 00:04:32.880]  要獻一些好的
[00:04:32.880 --> 00:04:35.680]  他說那班人有的,不過他獻一些不好的
[00:04:35.680 --> 00:04:37.080]  獻一些有殘疾的
[00:04:37.080 --> 00:04:41.120]  將用盡快要爛掉的東西拿來給上帝
[00:04:41.120 --> 00:04:47.280]  在這樣的背景下,其實可能和我們今日現今的香港也有點相似
[00:04:47.280 --> 00:04:52.720]  離婚,社會的不公義,隨隨便便的教會
[00:04:52.720 --> 00:04:55.520]  我不是說我們是,又或者我們不是
[00:04:55.520 --> 00:04:59.840]  你自己去評論,一班隨隨便便的信徒
[00:04:59.840 --> 00:05:04.720]  只要請一個奉獻袋傳過來,看看我有多少零錢,扔一些下去
[00:05:04.720 --> 00:05:07.440]  就是了,我不在裡面拿已經算好了
