
[00:00:00.000 --> 00:00:02.000]  粉絲們大家平安
[00:00:02.000 --> 00:00:03.600]  又和大家讀聖經了
[00:00:03.600 --> 00:00:06.400]  生命樹預備了聖經人、聖經時
[00:00:06.400 --> 00:00:08.800]  最重要看到聖經後面
[00:00:08.800 --> 00:00:10.600]  上帝做些什麼
[00:00:10.600 --> 00:00:12.600]  那時以色列沒有王
[00:00:12.600 --> 00:00:14.600]  各人任意而行
[00:00:14.600 --> 00:00:17.400]  減少了以色列的字
[00:00:17.400 --> 00:00:19.600]  因為不夠位置
[00:00:19.600 --> 00:00:22.200]  這個沒有王、沒有王管
[00:00:22.200 --> 00:00:23.600]  沒有王、沒有王管
[00:00:23.600 --> 00:00:26.000]  各人任意而行
[00:00:26.000 --> 00:00:29.000]  這個任意而行的第二輯
[00:00:29.000 --> 00:00:30.600]  哇 做什麼呢
[00:00:30.600 --> 00:00:32.000]  就是彈人
[00:00:32.000 --> 00:00:34.000]  彈這個支派
[00:00:34.000 --> 00:00:35.600]  彈這個支派
[00:00:35.600 --> 00:00:37.200]  彈支派的人
[00:00:37.200 --> 00:00:39.200]  不是全部 部分
[00:00:39.200 --> 00:00:41.200]  以神之名
[00:00:41.200 --> 00:00:43.200]  以神之名即是大殺
[00:00:43.200 --> 00:00:45.000]  對殺、啱殺
[00:00:45.000 --> 00:00:47.400]  站在道德的高位
[00:00:47.400 --> 00:00:50.800]  去謀劃殺人奪地
[00:00:50.800 --> 00:00:52.400]  上帝派我來的
[00:00:52.400 --> 00:00:54.600]  我應該要拿你的地方
[00:00:54.600 --> 00:00:56.000]  殺死你
[00:00:56.000 --> 00:00:57.600]  很可怕
[00:00:57.600 --> 00:00:59.800]  就是沒有王管
[00:00:59.800 --> 00:01:01.400]  各人任意而行
[00:01:01.400 --> 00:01:02.600]  而出現的事
[00:01:02.600 --> 00:01:04.600]  好 看看經文
[00:01:04.600 --> 00:01:07.600]  未看經文先看地圖
[00:01:07.600 --> 00:01:09.600]  猶大支派
[00:01:09.600 --> 00:01:11.600]  彈支派就在這附近
[00:01:11.600 --> 00:01:13.600]  然後只是字遮了
[00:01:13.600 --> 00:01:16.000]  以法連
[00:01:16.000 --> 00:01:18.200]  猶大支派、以法連支派
[00:01:18.200 --> 00:01:23.200]  馬來西在約旦河的河西
[00:01:23.200 --> 00:01:24.200]  有馬來西
[00:01:24.200 --> 00:01:26.200]  約旦河的河東有馬來西
[00:01:26.200 --> 00:01:28.400]  然後有迦德留邊
[00:01:28.400 --> 00:01:30.400]  即是馬來西、迦德留邊
[00:01:30.400 --> 00:01:31.400]  三個支派
[00:01:31.400 --> 00:01:34.800]  都在約旦河的東邊
[00:01:34.800 --> 00:01:38.800]  西邊有猶大、以法連、彈馬來西
[00:01:38.800 --> 00:01:42.400]  以撒加、西布倫、阿徹、拿夫塔利等等
[00:01:42.400 --> 00:01:46.400]  在約旦河的西岸
[00:01:46.400 --> 00:01:49.000]  這個海岸線就是地中海
[00:01:49.000 --> 00:01:51.600]  地中海在北邊
[00:01:51.600 --> 00:01:55.200]  今天屬於黎巴嫩
[00:01:55.200 --> 00:01:57.400]  有西頓和推羅
[00:01:57.400 --> 00:02:00.400]  推羅、西頓
[00:02:00.400 --> 00:02:03.400]  兩個都是靠地中海邊的城市
