
[00:00:00.000 --> 00:00:03.280]  我們時常在母親節就表揚母親
[00:00:03.280 --> 00:00:04.760]  今天是父親節
[00:00:04.760 --> 00:00:07.380]  所以在這裡跟你說一聲
[00:00:07.380 --> 00:00:10.660]  什麼啊?
[00:00:10.660 --> 00:00:13.260]  父親你很重要啊
[00:00:13.260 --> 00:00:15.020]  跟你旁邊的父親說一聲
[00:00:15.020 --> 00:00:16.400]  父親你很重要 好嗎?
[00:00:16.400 --> 00:00:31.800]  (笑聲)
[00:00:31.800 --> 00:00:33.840]  有一首歌叫《橋》
[00:00:33.840 --> 00:00:35.600]  你有唱過嗎?
[00:00:35.600 --> 00:00:38.640]  父母親 延伸 什麼啊?
[00:00:38.640 --> 00:00:40.640]  (父母親:延伸天父愛)
[00:00:40.640 --> 00:00:43.300]  (父母親:延伸天父愛)
[00:00:43.300 --> 00:00:45.800]  如果父母親說延伸天父愛
[00:00:45.800 --> 00:00:49.760]  我想更能夠表達天父愛的
[00:00:49.760 --> 00:00:52.160]  應該就是父親
[00:00:52.160 --> 00:00:56.120]  因為我們稱我們的神為天父
[00:00:56.120 --> 00:01:00.880]  所以原來天父真的賜給我們地上的父親
[00:01:00.880 --> 00:01:05.160]  去延伸天父的愛
[00:01:05.160 --> 00:01:08.400]  在家庭當中發揮天父所使用的
[00:01:08.400 --> 00:01:11.240]  給我們作為父親的角色
[00:01:11.240 --> 00:01:12.680]  去祝福我們的家人
[00:01:12.680 --> 00:01:14.800]  實在是很重要
[00:01:14.800 --> 00:01:17.480]  所以我們作為父親
[00:01:17.480 --> 00:01:19.000]  我們給予鼓勵
[00:01:19.000 --> 00:01:21.360]  我們知道我們有一個很重要的角色
[00:01:21.360 --> 00:01:22.840]  在我們的家庭當中
[00:01:22.840 --> 00:01:25.040]  Amen
[00:01:25.040 --> 00:01:32.440]  好像只聽到姊妹說Amen(笑聲)
[00:01:32.440 --> 00:01:35.440]  我們在說《仕途行傳》
[00:01:35.440 --> 00:01:38.440]  我想父親節也要說《仕途行傳》
[00:01:38.440 --> 00:01:41.160]  我就研究一下《仕途行傳》
[00:01:41.160 --> 00:01:45.080]  在第十章至二十八章
[00:01:45.080 --> 00:01:50.800]  裡面也有提到不同關乎父親的記載
[00:01:50.800 --> 00:01:53.920]  我發現這些在我自己思想的時候
[00:01:53.920 --> 00:01:55.360]  也很有幫助
[00:01:55.360 --> 00:01:58.360]  跟大家在父親節分享最好
[00:01:58.360 --> 00:02:02.840]  所以今天我們來看看《仕途行傳》
[00:02:02.840 --> 00:02:07.520]  裡面其中提到關乎父親的記載
[00:02:07.520 --> 00:02:10.360]  第一我們看到父親
[00:02:10.360 --> 00:02:13.440]  影響全家的信仰
[00:02:13.440 --> 00:02:14.760]  《仕途行傳》有沒有
[00:02:14.760 --> 00:02:19.200]  有沒有一些父親影響全家的信仰
[00:02:19.200 --> 00:02:21.160]  講了這麼久《仕途行傳》
[00:02:21.160 --> 00:02:23.560]  有沒有一些印象
[00:02:23.560 --> 00:02:25.920]  第一個我們講過的
[00:02:25.920 --> 00:02:28.800]  就是好像《歌利樓》那樣
[00:02:28.800 --> 00:02:32.560]  《歌利樓》帶領全家追求神
[00:02:32.560 --> 00:02:34.200]  是不是
[00:02:34.200 --> 00:02:36.040]  《歌利樓》帶領全家追求神
[00:02:36.040 --> 00:02:38.280]  讀回我們曾經讀過的經文
[00:02:38.280 --> 00:02:39.480]  《仕途行傳》第十章
[00:02:39.480 --> 00:02:41.080]  我們一起讀一讀這幾節經文
[00:02:41.080 --> 00:02:42.160]  好嗎 請讀
[00:02:42.160 --> 00:02:44.120]  在凱撒利亞
[00:02:44.120 --> 00:02:46.960]  有一個人 名叫《歌利樓》
[00:02:46.960 --> 00:02:49.920]  是意大利營的百夫長
[00:02:49.920 --> 00:02:52.400]  他是個虔誠人
[00:02:52.400 --> 00:02:56.240]  他和全家都敬畏上帝
[00:02:56.240 --> 00:02:58.640]  多多周濟百姓
[00:02:58.640 --> 00:03:01.360]  常常禱告上帝
[00:03:01.360 --> 00:03:04.920]  他 這個用第三人的格式
[00:03:04.920 --> 00:03:06.000]  他
[00:03:06.000 --> 00:03:08.640]  他和全家敬畏上帝
[00:03:08.640 --> 00:03:10.160]  多多周濟百姓
[00:03:10.160 --> 00:03:11.000]  還有呢
[00:03:11.000 --> 00:03:13.640]  常常禱告上帝
[00:03:13.640 --> 00:03:15.360]  第三節 繼續讀
[00:03:15.360 --> 00:03:18.040]  有一天 若在新初
[00:03:18.040 --> 00:03:19.280]  他在異象中
[00:03:19.280 --> 00:03:22.920]  明明看見上帝的一個使者
[00:03:22.920 --> 00:03:23.760]  進去
[00:03:23.760 --> 00:03:25.120]  到他那裏
[00:03:25.120 --> 00:03:27.280]  說 《歌利樓》
[00:03:27.280 --> 00:03:29.760]  《歌利樓》定睛看他
[00:03:29.760 --> 00:03:31.000]  驚怕說
[00:03:31.000 --> 00:03:33.000]  主啊 什麼事呢
[00:03:33.000 --> 00:03:35.800]  天使說 你的禱告
[00:03:35.800 --> 00:03:40.040]  和你的周濟 達到上帝面前
[00:03:40.040 --> 00:03:41.840]  已蒙記念了
[00:03:41.840 --> 00:03:45.320]  所以當天使向《歌利樓》
[00:03:45.320 --> 00:03:46.520]  顯現的時候
[00:03:46.520 --> 00:03:47.240]  跟他講
[00:03:47.240 --> 00:03:48.360]  他說
[00:03:48.360 --> 00:03:50.200]  你的禱告
[00:03:50.200 --> 00:03:52.960]  所以這裏是講到「你」
[00:03:52.960 --> 00:03:54.800]  你的周濟
[00:03:54.800 --> 00:03:56.720]  請問究竟你和你一家
[00:03:56.720 --> 00:03:59.080]  是哪一個先行的
[00:03:59.080 --> 00:04:00.560]  是你先行的 是吧
[00:04:00.560 --> 00:04:02.440]  所以我看到
[00:04:02.440 --> 00:04:04.360]  天使跟他說
[00:04:04.360 --> 00:04:08.200]  你和你的禱告
[00:04:08.200 --> 00:04:09.800]  你和你的周濟
[00:04:09.800 --> 00:04:11.200]  達到神面前
[00:04:11.200 --> 00:04:12.920]  所以剛才聖經形容
[00:04:12.920 --> 00:04:14.360]  他和他全家
