
[00:00:00.000 --> 00:00:05.000]  請我們低頭同心仰望神
[00:00:05.000 --> 00:00:08.000]  親愛的天父
[00:00:08.000 --> 00:00:10.000]  我們真的很感謝你
[00:00:10.000 --> 00:00:14.000]  因為你就是那位信實、施恩的主
[00:00:14.000 --> 00:00:17.000]  在我們人生的每一步上
[00:00:17.000 --> 00:00:19.000]  你都拖大我們
[00:00:19.000 --> 00:00:23.000]  雖然我們的人生並不是一帆風順
[00:00:23.000 --> 00:00:26.000]  難免有時我們會遇到難處
[00:00:26.000 --> 00:00:28.000]  會遇到挫折
[00:00:28.000 --> 00:00:32.000]  但你的恩仍然夠我們用
[00:00:32.000 --> 00:00:35.000]  你用你最愛的手來看顧我們
[00:00:35.000 --> 00:00:38.000]  我們感謝你過去一個星期的看顧
[00:00:38.000 --> 00:00:41.000]  讓我們今天在你所定的日子
[00:00:41.000 --> 00:00:44.000]  我們能夠放下其他的東西
[00:00:44.000 --> 00:00:47.000]  讓我們專心來到你的面前
[00:00:47.000 --> 00:00:50.000]  我們為著要靠近你
[00:00:50.000 --> 00:00:53.000]  讓我們的心可以投靠你
[00:00:53.000 --> 00:00:56.000]  求你起的時候安靜我們
[00:00:56.000 --> 00:01:00.000]  又當我們打開你的話去讀的時候
[00:01:00.000 --> 00:01:05.000]  求你讓我們能夠真的將你的話藏在心裡
[00:01:05.000 --> 00:01:08.000]  又求你叫我們不是單單的聽
[00:01:08.000 --> 00:01:14.000]  而是將你的道應用在我們每天的生活裡
[00:01:14.000 --> 00:01:18.000]  求聖靈在我們當中親自作供
[00:01:18.000 --> 00:01:21.000]  我們這樣仰望、祈禱
[00:01:21.000 --> 00:01:24.000]  是奉耶穌基督的名求
[00:01:24.000 --> 00:01:26.000]  阿門
[00:01:26.000 --> 00:01:31.000]  很想問各位弟兄姊妹一個問題
[00:01:31.000 --> 00:01:35.000]  不知道在你人生裡
[00:01:35.000 --> 00:01:41.000]  你遇到哪一個是最大的難關呢?
[00:01:41.000 --> 00:01:49.000]  會不會是你自己身體患了一些病
[00:01:49.000 --> 00:01:53.000]  或者是你一位很親愛的家人
[00:01:53.000 --> 00:01:57.000]  他突然之間患了重病
[00:01:57.000 --> 00:01:59.000]  或者是不知道為什麼
[00:01:59.000 --> 00:02:04.000]  你工作上要有一個重整的部門
[00:02:04.000 --> 00:02:09.000]  要調配你面對工作的一些危機
[00:02:09.000 --> 00:02:12.000]  也有人試過他住的房子
[00:02:12.000 --> 00:02:14.000]  突然之間業主要收樓
[00:02:14.000 --> 00:02:16.000]  他被迫遷
[00:02:16.000 --> 00:02:18.000]  兒女都在附近上學
[00:02:18.000 --> 00:02:20.000]  這麼短時間
[00:02:20.000 --> 00:02:22.000]  他去哪裡找地方住呢?
[00:02:22.000 --> 00:02:26.000]  我們人生都會出現一些危機
[00:02:26.000 --> 00:02:29.000]  一些我們覺得很難應付的東西
[00:02:29.000 --> 00:02:32.000]  這些好像一個巨人一樣
[00:02:32.000 --> 00:02:34.000]  擋在我們面前
[00:02:34.000 --> 00:02:37.000]  我們怎樣去應付呢?
[00:02:37.000 --> 00:02:41.000]  有人說其實我們每一個人的心裡面
[00:02:41.000 --> 00:02:45.000]  都有一座大山
[00:02:45.000 --> 00:02:50.000]  有時我們所遇到的山會小一點
[00:02:50.000 --> 00:02:54.000]  我們覺得我們還有能力去應付
[00:02:54.000 --> 00:02:56.000]  但有時有些山
[00:02:56.000 --> 00:02:59.000]  真的好像擋在我們面前
[00:02:59.000 --> 00:03:03.000]  我們沒有辦法去越過
[00:03:03.000 --> 00:03:05.000]  想給大家看一張照片
[00:03:05.000 --> 00:03:09.000]  這座山是不是很壯觀
[00:03:09.000 --> 00:03:13.000]  如果你遇到一座這樣的山
[00:03:13.000 --> 00:03:17.000]  你會不會想我可以爬上去呢?
[00:03:17.000 --> 00:03:20.000]  或者我可以戰勝它呢?
[00:03:20.000 --> 00:03:26.000]  有很多時候我們會在這座山面前退卻
[00:03:26.000 --> 00:03:30.000]  我們覺得我們自己真的很沒有能力
[00:03:30.000 --> 00:03:34.000]  我不知道今天你面對生命裡面一些難處的時候
[00:03:34.000 --> 00:03:38.000]  你怎樣去面對呢?
[00:03:38.000 --> 00:03:42.000]  但在香港也有一位很勇敢的女士
[00:03:42.000 --> 00:03:46.000]  她向大山挑戰
[00:03:46.000 --> 00:03:49.000]  可能大家都聽過這個新聞
[00:03:49.000 --> 00:03:54.000]  在去年香港有一位女士
[00:03:54.000 --> 00:04:03.000]  終於成功登上世界最高的珠穆朗瑪峰
[00:04:03.000 --> 00:04:08.000]  成為香港第一位女性登峰的人
[00:04:08.000 --> 00:04:11.000]  這位女士其實是一位教師
[00:04:11.000 --> 00:04:14.000]  她的名字叫曾燕紅
[00:04:14.000 --> 00:04:16.000]  大概在七年前
[00:04:16.000 --> 00:04:19.000]  她為了鼓勵她一班學生
[00:04:19.000 --> 00:04:22.000]  她說你們人生要有目標
[00:04:22.000 --> 00:04:24.000]  要有理想
[00:04:24.000 --> 00:04:28.000]  你要達到你的理想來努力
[00:04:28.000 --> 00:04:29.000]  你要有夢想
[00:04:29.000 --> 00:04:32.000]  她說我也有一個夢
[00:04:32.000 --> 00:04:38.000]  就是有一天我要登上珠穆朗瑪峰
