
[00:00:00.000 --> 00:00:05.000]  這個說法是孟子所講,這是他心目中理想的社會應該有的愛
[00:00:05.000 --> 00:00:08.400]  是他心目中的理想社會該有的狀況
[00:00:08.400 --> 00:00:15.200]  除了敬愛自己的長輩以外,照顧自己的晚輩之外
[00:00:15.200 --> 00:00:21.300]  他說應該有一種大愛是為其他的人,還有一種大愛是為其他的人
[00:00:21.300 --> 00:00:28.900]  所以中國的儒家的思想都是尊重敬愛長者,照顧年幼
[00:00:28.900 --> 00:00:35.400]  儒家的思想都是敬愛老者和照顧年幼
[00:00:35.400 --> 00:00:39.500]  以其人老有所終
[00:00:39.500 --> 00:00:45.600]  所以今天早上我們會在奉獻裏面多收一次的奉獻
[00:00:45.600 --> 00:00:50.900]  基督教聯會屬下兩間的護老院
[00:00:50.900 --> 00:00:56.100]  這些金錢會奉獻給基督教聯會屬下兩家的護老院
[00:00:56.100 --> 00:00:59.000]  作為一種愛心的表達
[00:00:59.000 --> 00:01:02.900]  作為我們對長者的一個愛的表達
[00:01:02.900 --> 00:01:05.500]  人生是一個過程
[00:01:05.500 --> 00:01:10.300]  由出生到成長,由成長到年長
[00:01:10.300 --> 00:01:18.300]  由我們小朋友啞啞學語,一字一句地去學
[00:01:18.300 --> 00:01:22.700]  到了某一個年紀就長篇大論
[00:01:22.700 --> 00:01:29.500]  可能到了晚年之後,剛剛講完就忘記了
[00:01:29.500 --> 00:01:34.300]  有人將人生分成三個階段
[00:01:34.300 --> 00:01:40.500]  一到二十歲,你只可以做別人要你做的事
[00:01:40.500 --> 00:01:44.000]  二到六十歲,你就必須做你要做的事
[00:01:44.000 --> 00:01:47.300]  二十到六十歲,你就必須做你自己的事
[00:01:47.300 --> 00:01:49.900]  六十歲以後,你可以做你想做的事
[00:01:49.900 --> 00:01:52.700]  六十歲以後,你就可以做自己喜歡的事
[00:01:52.700 --> 00:01:55.300]  如果你有健康又懂得管理時間的話
[00:01:55.300 --> 00:01:58.700]  如果你有健康又懂得如何安排時間
[00:01:58.700 --> 00:02:01.600]  我們當中很多的長者仍然是非常之健康
[00:02:01.600 --> 00:02:05.100]  當中我們的長者都仍然很健康
[00:02:05.100 --> 00:02:09.000]  有人也這樣形容人可以享受生命三個階段
[00:02:09.000 --> 00:02:13.300]  有人形容人生可以享受生命分成三個階段
[00:02:13.300 --> 00:02:15.700]  一到二十歲,你就沒有條件去享受
[00:02:15.700 --> 00:02:18.300]  一到二十歲,你就沒有條件去享受
[00:02:18.300 --> 00:02:20.900]  二十到六十歲,你就沒有時間去享受
[00:02:20.900 --> 00:02:23.600]  二十到六十歲,你就沒有時間去享受
[00:02:23.600 --> 00:02:25.700]  因為要拼搏
[00:02:25.700 --> 00:02:29.900]  六十歲以後,你不把握就沒有機會去享受
[00:02:29.900 --> 00:02:32.500]  如果你不把握的話,你就沒有機會去享受
[00:02:32.500 --> 00:02:35.300]  所以我都鼓勵長者多出去看看
[00:02:35.300 --> 00:02:37.400]  我就鼓勵我們的長者多到外面看一下
[00:02:37.400 --> 00:02:38.700]  不要整天困在家裏
[00:02:38.700 --> 00:02:40.300]  不要單是留在家裏
[00:02:40.300 --> 00:02:42.900]  生活在香港的長者是非常之幸福
[00:02:42.900 --> 00:02:45.300]  生活在香港的長者是非常幸福的
[00:02:45.300 --> 00:02:50.900]  二零一零年香港的人均壽命是升到全世界最高
[00:02:50.900 --> 00:02:55.100]  二零一零年香港人的平均壽命已經升到全世界最高
[00:02:55.100 --> 00:02:58.300]  已經是八十三點四百歲
[00:02:58.300 --> 00:03:00.900]  已經到了八十三點四百歲
[00:03:00.900 --> 00:03:03.600]  即是說平均是八十三歲半的
[00:03:03.600 --> 00:03:05.500]  平均是八十三歲半
[00:03:05.500 --> 00:03:06.600]  我們超過日本
[00:03:06.600 --> 00:03:08.000]  我們已經超過日本
[00:03:08.000 --> 00:03:10.600]  背後的原因是因為生活安定
[00:03:10.600 --> 00:03:13.100]  背後的原因是因為生活安定
[00:03:13.100 --> 00:03:14.500]  醫療福利不錯
[00:03:14.500 --> 00:03:16.300]  醫療福利也不錯
[00:03:16.300 --> 00:03:20.500]  政府和很多的民間團體投入資源去照顧這些老人家
[00:03:20.500 --> 00:03:24.500]  政府和民間的團體都投放很多資源在長者的施工上
[00:03:24.500 --> 00:03:27.300]  教會的長者是更加幸福的
[00:03:27.300 --> 00:03:29.600]  回到教會的長者更加的幸福
[00:03:29.600 --> 00:03:30.700]  又有神的恩典
[00:03:30.700 --> 00:03:31.800]  又有神的恩典
[00:03:31.800 --> 00:03:33.800]  又有牧師的關愛
[00:03:33.800 --> 00:03:35.400]  又有牧師的關愛
[00:03:35.400 --> 00:03:37.600]  又有弟兄姊妹的照顧
[00:03:37.600 --> 00:03:39.600]  又有弟兄姊妹的照顧
[00:03:39.600 --> 00:03:41.400]  加上醫療和食物
[00:03:41.400 --> 00:03:43.000]  還有醫療和食物
[00:03:43.000 --> 00:03:45.600]  所以現在的人的壽命越來越長
[00:03:45.600 --> 00:03:47.500]  所以人的壽命越來越長
[00:03:47.500 --> 00:03:50.200]  七八十歲的長者仍然見步如飛
[00:03:50.200 --> 00:03:52.900]  七八十歲的長者仍然見步如飛
[00:03:52.900 --> 00:03:55.900]  大家都知道美國很喜歡什麼都要做調查
[00:03:55.900 --> 00:03:58.200]  大家都知道美國什麼都要調查
[00:03:58.200 --> 00:04:01.000]  有一個研究顯示
[00:04:01.000 --> 00:04:04.200]  返教會的美國人的平均壽命
[00:04:04.200 --> 00:04:07.200]  比不返教會的人長6.7年
[00:04:07.200 --> 00:04:09.400]  回到教會的美國人平均的壽命
[00:04:09.400 --> 00:04:13.200]  比不返教會的人長6.7年
[00:04:13.200 --> 00:04:15.800]  返教會的人平均壽命長
[00:04:15.800 --> 00:04:18.300]  返教會聚會的人平均壽命比較長
[00:04:18.300 --> 00:04:20.600]  其實不難理解
[00:04:20.600 --> 00:04:22.200]  返到教會有心靈的寄託
[00:04:22.200 --> 00:04:23.800]  返到教會有心靈的寄託
[00:04:23.800 --> 00:04:25.800]  有困難可以祈禱交託給神
[00:04:25.800 --> 00:04:27.600]  有困難可以交託給神
[00:04:27.600 --> 00:04:29.400]  有需要弟兄姊妹也可以幫忙
[00:04:29.400 --> 00:04:31.500]  有需要弟兄姊妹也可以幫忙
