
[00:00:00.000 --> 00:00:04.300]  「長壽秘訣」
[00:00:04.300 --> 00:00:06.200]  各位弟兄姊妹平安
[00:00:06.200 --> 00:00:08.200]  世界衛生組織
[00:00:08.200 --> 00:00:12.600]  每一年都會公佈長壽的秘訣
[00:00:12.600 --> 00:00:14.900]  就是如果你想長壽的話
[00:00:14.900 --> 00:00:17.200]  有二十項行為
[00:00:17.200 --> 00:00:19.200]  是你時時去做的
[00:00:19.200 --> 00:00:21.100]  當然大家都知道
[00:00:21.100 --> 00:00:24.000]  要運動、要吃蔬菜
[00:00:24.000 --> 00:00:27.900]  要保持喜樂的心、開心
[00:00:27.900 --> 00:00:32.700]  步行、運動、睡眠充足
[00:00:32.700 --> 00:00:35.500]  時時都在這個名單裡面
[00:00:35.500 --> 00:00:37.900]  但是往往出人意外的
[00:00:37.900 --> 00:00:41.300]  就是排頭三位到底是什麼
[00:00:41.300 --> 00:00:43.500]  2021年的時候
[00:00:43.500 --> 00:00:45.200]  就很出人意外了
[00:00:45.200 --> 00:00:48.800]  原來排第一的就是喝少量的酒
[00:00:48.800 --> 00:00:51.000]  到了2022年
[00:00:51.000 --> 00:00:53.300]  到底排第一的是什麼呢?
[00:00:53.300 --> 00:00:56.600]  竟然間是唱歌
[00:00:56.600 --> 00:01:00.800]  原來唱歌可以令你的血液循環增加
[00:01:00.800 --> 00:01:04.800]  唱歌可以叫你的肺活量更大
[00:01:04.800 --> 00:01:08.400]  而且他們研究有很多的歌唱家
[00:01:08.400 --> 00:01:11.400]  為什麼他們的心臟更加健康呢?
[00:01:11.400 --> 00:01:14.900]  原來就是因為當他運用他的丹田
[00:01:14.900 --> 00:01:16.600]  來唱歌的時候
[00:01:16.600 --> 00:01:19.900]  他整個人的血液循環
[00:01:19.900 --> 00:01:22.700]  肺活量不斷的增加
[00:01:22.700 --> 00:01:26.400]  就叫他更加健壯
[00:01:26.400 --> 00:01:28.600]  當我聽到這個消息的時候
[00:01:28.600 --> 00:01:30.400]  我心裡面很感恩
[00:01:30.400 --> 00:01:32.400]  因為全捲聖經
[00:01:32.400 --> 00:01:37.200]  就叫我們時時要歌唱讚美我們的神
[00:01:37.200 --> 00:01:38.700]  我們的神是一位
[00:01:38.700 --> 00:01:43.000]  陪當我們去讚美、去稱頌祂
[00:01:43.000 --> 00:01:46.800]  揚聲高歌讚美的神
[00:01:46.800 --> 00:01:48.300]  所以在聖經裡面
[00:01:48.300 --> 00:01:54.000]  充滿了讚美、歌唱這些字眼
[00:01:54.000 --> 00:01:56.000]  特別在舊約的時候
[00:01:56.000 --> 00:01:59.400]  他們要設立這個會幕
[00:01:59.400 --> 00:02:03.300]  雖然會幕是在他們抗野漂流的時候
[00:02:03.300 --> 00:02:06.000]  但是摩西和亞倫
[00:02:06.000 --> 00:02:09.400]  他們一樣設立在利美人裡面
[00:02:09.400 --> 00:02:11.800]  有些人是負責歌唱的
[00:02:11.800 --> 00:02:16.500]  更加到了大衛和所羅門王的年代
[00:02:16.500 --> 00:02:22.300]  大衛他是一個很喜歡歌頌神的詩人
[00:02:22.300 --> 00:02:26.100]  所以他要籌備建聖殿的時候
[00:02:26.100 --> 00:02:29.900]  他就設立了歌唱的隊伍
[00:02:29.900 --> 00:02:31.700]  在利美人裡面
[00:02:31.700 --> 00:02:37.400]  有三個宗族是特別負責歌唱的
[00:02:37.400 --> 00:02:39.500]  所以在詩篇裡面
[00:02:39.500 --> 00:02:44.300]  又充滿了讚美歌頌神的詩篇
[00:02:44.300 --> 00:02:46.700]  所以當我看到這個消息的時候
[00:02:46.700 --> 00:02:47.900]  就讓我想起
[00:02:47.900 --> 00:02:54.100]  我很喜歡的一篇詩篇就是詩篇第100篇
[00:02:54.100 --> 00:02:57.900]  詩篇第95篇一直到100篇
[00:02:57.900 --> 00:03:01.600]  這五篇詩是讚頌我們的神
[00:03:01.600 --> 00:03:03.300]  要作王
[00:03:03.300 --> 00:03:06.900]  所以這五篇詩分別呼籲我們
[00:03:06.900 --> 00:03:09.700]  我們時時都要歌唱讚美
[00:03:09.700 --> 00:03:13.200]  因為我們的神是王
[00:03:13.200 --> 00:03:18.000]  所以當我們紀念有一天主耶穌基督要回來
[00:03:18.000 --> 00:03:20.200]  當耶穌基督再回來的時候
[00:03:20.200 --> 00:03:23.700]  祂要被稱為萬王之王
[00:03:23.700 --> 00:03:25.800]  萬主之主
[00:03:25.800 --> 00:03:27.400]  所以各位弟兄姊妹
[00:03:27.400 --> 00:03:31.200]  我想鼓勵你讓我們多讀詩篇
[00:03:31.200 --> 00:03:33.100]  讓我們心靈裡面
[00:03:33.100 --> 00:03:36.300]  常常都充滿讚美歌頌
[00:03:36.300 --> 00:03:39.600]  詩篇第100篇一開始怎麼說呢
[00:03:39.600 --> 00:03:44.200]  他說當讚美進入他的院
[00:03:44.200 --> 00:03:49.200]  當感謝進入他的院裡面
[00:03:49.200 --> 00:03:51.300]  我們要稱頌他
[00:03:51.300 --> 00:03:53.600]  要歌頌他
[00:03:53.600 --> 00:03:58.200]  所以原來好像是一個旅途一樣
[00:03:58.200 --> 00:04:01.100]  當你去到聖殿裡面的時候
[00:04:01.100 --> 00:04:05.200]  第一個走進去的是進入那個門
[00:04:05.200 --> 00:04:09.300]  所以當稱謝進入他的門
[00:04:09.300 --> 00:04:12.700]  然後就進入他的院子
[00:04:12.700 --> 00:04:15.200]  好像是從外面
[00:04:15.200 --> 00:04:18.100]  我們現在要走進去
[00:04:18.100 --> 00:04:20.200]  首先經過門
[00:04:20.200 --> 00:04:22.800]  然後就進入院子裡面
[00:04:22.800 --> 00:04:24.400]  然後再進去
[00:04:24.400 --> 00:04:27.900]  就會看到聖所和至聖所
[00:04:27.900 --> 00:04:29.800]  所以是一個旅程
[00:04:29.800 --> 00:04:31.500]  是一個朝見神
[00:04:31.500 --> 00:04:34.800]  是一個走向神的一個旅程
[00:04:34.800 --> 00:04:37.400]  我不知道會不會我們都形容
[00:04:37.400 --> 00:04:40.200]  當我自從我接受耶穌基督
