
[00:00:00.000 --> 00:00:02.000]  耶穌我們今天來到祢的面前
[00:00:02.000 --> 00:00:03.340]  我們尊崇祢
[00:00:03.340 --> 00:00:05.340]  我們願意躺開我們的心
[00:00:05.340 --> 00:00:07.340]  讓我們的心
[00:00:07.340 --> 00:00:09.340]  是被祢自己親自的
[00:00:09.340 --> 00:00:12.340]  來去佔有
[00:00:12.340 --> 00:00:14.340]  讓我們這個渴慕的心
[00:00:14.340 --> 00:00:16.340]  滿足主自己的心
[00:00:16.340 --> 00:00:18.340]  聖靈啊求祢
[00:00:18.340 --> 00:00:21.340]  親自的來作教導
[00:00:21.340 --> 00:00:23.340]  釋放祢自己的話
[00:00:23.340 --> 00:00:26.340]  願聽的 講的 是同感一靈的
[00:00:26.340 --> 00:00:28.340]  我們這樣禱告 奉主耶穌命救
[00:00:28.340 --> 00:00:30.340]  阿門 各位請坐
[00:00:30.340 --> 00:00:34.340]  我們知道整個
[00:00:34.340 --> 00:00:36.340]  以賽亞書裡面反覆提了
[00:00:36.340 --> 00:00:38.340]  兩個主題
[00:00:38.340 --> 00:00:40.340]  就是審判和拯救
[00:00:40.340 --> 00:00:42.340]  今天我們
[00:00:42.340 --> 00:00:44.340]  講的題目
[00:00:44.340 --> 00:00:46.340]  就是
[00:00:46.340 --> 00:00:48.340]  我們的經文是以賽亞書42章
[00:00:48.340 --> 00:00:50.340]  1至9節
[00:00:50.340 --> 00:00:54.340]  這一段經文告訴我們
[00:00:54.340 --> 00:00:56.340]  在主前的八世紀
[00:00:56.340 --> 00:00:58.340]  神已經藉著
[00:00:58.340 --> 00:01:00.340]  先知以賽亞
[00:01:00.340 --> 00:01:02.340]  來預言
[00:01:02.340 --> 00:01:04.340]  他要藉著他的僕人
[00:01:04.340 --> 00:01:06.340]  來完成救贖
[00:01:06.340 --> 00:01:08.340]  人類的使命
[00:01:08.340 --> 00:01:10.340]  是主前
[00:01:10.340 --> 00:01:12.340]  八世紀
[00:01:12.340 --> 00:01:14.340]  相距現在有差不多2800年
[00:01:14.340 --> 00:01:16.340]  的時間
[00:01:16.340 --> 00:01:18.340]  我們要問
[00:01:18.340 --> 00:01:20.340]  這個僕人是誰呢?
[00:01:20.340 --> 00:01:22.340]  這僕人是誰呢?
[00:01:24.340 --> 00:01:26.340]  當我們參考
[00:01:26.340 --> 00:01:28.340]  馬太方第十二章的時候
[00:01:28.340 --> 00:01:32.340]  我們很快就可以明白
[00:01:32.340 --> 00:01:34.340]  原來這個僕人
[00:01:34.340 --> 00:01:36.340]  在主前
[00:01:36.340 --> 00:01:38.340]  八百年
[00:01:38.340 --> 00:01:40.340]  相距現在2800年
[00:01:40.340 --> 00:01:42.340]  已經預言了
[00:01:42.340 --> 00:01:44.340]  他就是耶穌基督自己
