
[00:00:00.000 --> 00:00:02.500]  今天我會跟大家分享
[00:00:02.500 --> 00:00:05.580]  以賽亞書的五十章第四到第九節
[00:00:05.580 --> 00:00:08.320]  我們去年很強調
[00:00:08.320 --> 00:00:11.320]  叫大家要著緊的來祈禱
[00:00:11.320 --> 00:00:12.940]  但是今年
[00:00:12.940 --> 00:00:15.700]  我們仍然是很著緊的叫大家禱告
[00:00:15.700 --> 00:00:17.100]  但是我們會加多一件事
[00:00:17.100 --> 00:00:19.220]  就是要好好的言讀神的說話
[00:00:19.220 --> 00:00:21.520]  因為禱告我們向神來傾訴
[00:00:21.520 --> 00:00:24.160]  但是溝通是雙方面的
[00:00:24.160 --> 00:00:25.900]  不只是我說就夠
[00:00:25.900 --> 00:00:27.980]  我也要去聆聽神的說話
[00:00:27.980 --> 00:00:29.360]  所以今天
[00:00:29.360 --> 00:00:31.560]  會藉著「獨人之歌」
[00:00:31.560 --> 00:00:32.920]  跟大家來分享
[00:00:32.920 --> 00:00:34.880]  怎麼好地領受神的教導
[00:00:34.880 --> 00:00:37.760]  在以賽亞書裡面有幾首「獨人之歌」
[00:00:37.760 --> 00:00:41.880]  基督徒我們較為熟悉的就是以賽亞書五十三章
[00:00:41.880 --> 00:00:44.640]  他無皆迎,美容也無美貌
[00:00:44.640 --> 00:00:46.200]  可以讓我們來羨慕
[00:00:46.200 --> 00:00:48.320]  就是今天他沒有犯錯
[00:00:48.320 --> 00:00:50.520]  但是神卻將罪歸於他身上
[00:00:50.520 --> 00:00:52.880]  原來他是代替我們來受這個刑罰
[00:00:52.880 --> 00:00:55.360]  他雖然沒有犯錯
[00:00:55.360 --> 00:00:59.040]  但是他是與惡人一起被釘
[00:00:59.040 --> 00:01:01.320]  但是他是埋葬在財主的墳墓裡面
[00:01:01.320 --> 00:01:04.120]  以賽亞書五十三章我們大家很熟悉了
[00:01:04.120 --> 00:01:06.040]  但原來之前還有
[00:01:06.040 --> 00:01:08.240]  「獨人之歌」的第四首歌
[00:01:08.240 --> 00:01:11.440]  就是以賽亞書五十章第四到第九節
[00:01:11.440 --> 00:01:12.880]  很短的經文
[00:01:12.880 --> 00:01:15.400]  裡面分開四個小段
[00:01:15.400 --> 00:01:18.320]  每一段都是以耶和華作為開頭
[00:01:18.320 --> 00:01:21.360]  這四個小段裡面又分兩個大段
[00:01:21.360 --> 00:01:23.840]  第一段是說到作為神的僕人
[00:01:23.840 --> 00:01:26.560]  他要先在神裡面有領受
[00:01:26.560 --> 00:01:28.680]  第二個段落是說到
[00:01:28.680 --> 00:01:31.280]  當他要堅守神給他的使命
[00:01:31.280 --> 00:01:34.240]  他要面對的就是挑戰和凌辱
[00:01:34.240 --> 00:01:36.680]  但是他得到最終的勝利
[00:01:36.680 --> 00:01:38.040]  我們有一個概念
[00:01:38.040 --> 00:01:40.080]  我們先讀這一段經文
[00:01:40.080 --> 00:01:43.040]  我們先讀以賽亞書五十章第四到第九節
[00:01:43.040 --> 00:01:44.640]  第四到第六節
