
[00:00:00.000 --> 00:00:03.300]  好,我們非常好,我們很感恩
[00:00:03.300 --> 00:00:06.600]  我們可以一齊來言讀神的話語
[00:00:06.600 --> 00:00:11.140]  我先和大家分享Powerpoint
[00:00:11.140 --> 00:00:17.200]  今天我們會看聖靈果子的第三個
[00:00:17.200 --> 00:00:19.900]  人愛喜樂和平
[00:00:19.900 --> 00:00:23.600]  我已經講過聖靈果子只有一個
[00:00:23.600 --> 00:00:26.000]  裡面有很多的特質
[00:00:26.000 --> 00:00:29.800]  特質是不能夠分割的
[00:00:29.800 --> 00:00:33.100]  正如說一個蘋果或者一個橙
[00:00:33.100 --> 00:00:35.700]  裡面有很多不同的維他命
[00:00:35.700 --> 00:00:38.900]  可能有維他命C,有維他命X
[00:00:38.900 --> 00:00:43.300]  但不能夠抽走一種維他命出來
[00:00:43.300 --> 00:00:46.300]  雖然可以提煉出來
[00:00:46.300 --> 00:00:48.300]  但不得不承認
[00:00:48.300 --> 00:00:51.900]  其實彼此之間是子彼相連的
[00:00:51.900 --> 00:00:54.100]  很簡單舉一個例子
[00:00:54.100 --> 00:00:58.200]  和平,喜樂,人愛如何有關連呢?
[00:00:58.200 --> 00:01:02.400]  譬如你去到一個公園
[00:01:02.400 --> 00:01:05.200]  我自己很多時候都有這樣的感受
[00:01:05.200 --> 00:01:09.500]  看到父母帶著小朋友在公園玩
[00:01:09.500 --> 00:01:12.400]  你看到什麼叫人愛喜樂和平
[00:01:12.400 --> 00:01:14.700]  父母很疼愛小朋友
[00:01:14.700 --> 00:01:16.300]  會帶著小朋友
[00:01:16.300 --> 00:01:19.900]  小朋友在父母的愛裡面很有安全感
[00:01:19.900 --> 00:01:25.500]  而且地方的花園和公園綠草如茵
[00:01:25.500 --> 00:01:29.700]  他們可以鋪張紙在地上一邊吃東西一邊聊天
[00:01:29.700 --> 00:01:31.700]  小朋友就很開心
[00:01:31.700 --> 00:01:33.700]  你想想在戰亂的地方裡面
[00:01:33.700 --> 00:01:34.900]  譬如烏克蘭
[00:01:34.900 --> 00:01:36.900]  水壩又爆炸了
[00:01:36.900 --> 00:01:40.300]  水不斷地淹沒了很多地方
[00:01:40.300 --> 00:01:45.900]  還可不可以有這一份和平和喜樂在當中呢?
[00:01:45.900 --> 00:01:46.900]  是沒有的
[00:01:46.900 --> 00:01:50.200]  所以三者之間是有密切的關連的
[00:01:50.200 --> 00:01:54.400]  而且更加和平或者平安
[00:01:54.400 --> 00:01:58.300]  是每一個人的內心深處裡面所渴求的
[00:01:58.300 --> 00:02:03.200]  為什麼這兩年突然間走了這麼多人離開了香港呢?
[00:02:03.200 --> 00:02:04.900]  不僅僅來英國
[00:02:04.900 --> 00:02:06.100]  去到加拿大
[00:02:06.100 --> 00:02:07.900]  去到澳洲
[00:02:07.900 --> 00:02:09.700]  他們原來渴求的是什麼?
[00:02:09.700 --> 00:02:12.200]  就是內心裡面一個平安
[00:02:12.200 --> 00:02:14.600]  表面可能那個地方裡面
[00:02:14.600 --> 00:02:17.100]  當一個地方戒嚴
[00:02:17.100 --> 00:02:19.600]  在街上是完全沒有人的
[00:02:19.600 --> 00:02:22.400]  這個時候表面就好像很平安
[00:02:22.400 --> 00:02:26.300]  但是是不是真正的和平呢?
[00:02:26.300 --> 00:02:29.700]  所以平安或者和平
[00:02:29.700 --> 00:02:31.200]  Peace這個字
[00:02:31.200 --> 00:02:34.400]  是可以譯為安息和平安的
[00:02:34.400 --> 00:02:37.200]  從人際關係來講
[00:02:37.200 --> 00:02:39.500]  如果人與人之間的相處
[00:02:39.500 --> 00:02:42.100]  能夠有好的關係
[00:02:42.100 --> 00:02:43.700]  大家互相的關心
[00:02:43.700 --> 00:02:46.200]  互相的利大去扶持的時候
[00:02:46.200 --> 00:02:48.500]  那我們能夠和平共處
[00:02:48.500 --> 00:02:51.000]  那就是外在的平安
[00:02:51.000 --> 00:02:54.300]  還有最重要就是內心裡面的平安
[00:02:54.300 --> 00:02:55.700]  下一次都會看
[00:02:55.700 --> 00:02:57.600]  就算保羅去坐牢
[00:02:57.600 --> 00:02:59.300]  環境很惡劣
[00:02:59.300 --> 00:03:01.700]  但是內心裡面竟然充滿了喜樂
[00:03:01.700 --> 00:03:03.200]  和平安
[00:03:03.200 --> 00:03:05.600]  從政治來講
[00:03:05.600 --> 00:03:07.500]  什麼叫做平安呢?
[00:03:07.500 --> 00:03:11.100]  就是國家不會被人侵略
[00:03:11.100 --> 00:03:14.600]  或者不會受到這些侵略的威脅
[00:03:14.600 --> 00:03:17.000]  可能那些戰機
[00:03:17.000 --> 00:03:18.500]  可能那些戰艦
[00:03:18.500 --> 00:03:21.300]  在你國家的領土外面
[00:03:21.300 --> 00:03:23.000]  不斷的遊役
[00:03:23.000 --> 00:03:25.100]  這時候給你一個威脅
[00:03:25.100 --> 00:03:27.300]  你是不會有平安的
[00:03:27.300 --> 00:03:30.000]  我們叫做國泰民安
[00:03:30.000 --> 00:03:32.600]  能夠化干窩為玉白
[00:03:32.600 --> 00:03:34.800]  這就是政治上的平安
[00:03:34.800 --> 00:03:36.300]  《聖經》裡面
[00:03:36.300 --> 00:03:37.200]  和平這個字
[00:03:37.200 --> 00:03:39.000]  希伯來文大家都很熟悉了
[00:03:39.000 --> 00:03:40.700]  就是去到以色列
[00:03:40.700 --> 00:03:41.800]  我們去旅行
[00:03:41.800 --> 00:03:43.600]  不是講早晨的
[00:03:43.600 --> 00:03:45.500]  我們看到面就是saloon
