
[00:00:00.000 --> 00:00:01.000]  鄧炳志妹:鄧炳志妹,平安!
[00:00:01.000 --> 00:00:07.000]  鄧炳志妹:我想問一問大家,應該不是問一問
[00:00:07.000 --> 00:00:13.500]  鄧炳志妹:相信大家都有一些約人,或者被人約的經驗,對不對?
[00:00:13.500 --> 00:00:15.000]  鄧炳志妹:應該都會有,對不對?
[00:00:15.000 --> 00:00:19.500]  鄧炳志妹:我想大部份人,或者是我們每一位鄧炳志妹都有試過
[00:00:19.500 --> 00:00:25.000]  鄧炳志妹:約個人去吃飯,或者約人出街,見個面,聊聊電話
[00:00:25.000 --> 00:00:32.000]  鄧炳志妹:譬如如果年輕一點的,可能會是約人在某一個時間上網打機,對不對?
[00:00:32.000 --> 00:00:34.500]  鄧炳志妹:都會有這些經驗的
[00:00:34.500 --> 00:00:42.000]  鄧炳志妹:我不知道每當大家去約其他人的時候,是會抱持著一個怎樣的心態
[00:00:42.000 --> 00:00:49.500]  鄧炳志妹:譬如,如果你說約人,你就會在某一個時間,某一個地點,在那裡等
[00:00:49.500 --> 00:00:56.000]  鄧炳志妹:譬如我約明天兩點半鐘,在觀塘A出口等
[00:00:56.000 --> 00:01:07.000]  鄧炳志妹:大家理論上都會按時去到那個地方,譬如兩點半到A出口
[00:01:07.000 --> 00:01:09.000]  鄧炳志妹:都會抱持著這樣的心態
[00:01:09.000 --> 00:01:19.000]  鄧炳志妹:兼且都會期望你所約的那個人,都會按時兩點半到觀塘地鐵站A出口
[00:01:19.000 --> 00:01:21.500]  鄧炳志妹:我們都會抱持著這樣的心態
[00:01:21.500 --> 00:01:25.500]  鄧炳志妹:如果是年輕人打機,即是上網打機的
[00:01:25.500 --> 00:01:29.000]  鄧炳志妹:可能就會預期,約了那個人的時候
[00:01:29.000 --> 00:01:37.500]  鄧炳志妹:就會在夠中上網,online,或者是叫做login那個account
[00:01:37.500 --> 00:01:42.500]  鄧炳志妹:可能有些有玩online game的年輕人就會明白
[00:01:42.500 --> 00:01:45.500]  鄧炳志妹:我們約了人之後
