
[00:00:00.000 --> 00:00:05.260]  (主席)各位同學晚安,請我繼續打開今天我們思想經文《路交方向》第十二章
[00:00:05.260 --> 00:00:11.500]  第七節是我們今天的金句,我們一起來讀了第七節,好嗎?
[00:00:11.500 --> 00:00:13.500]  很寶貴的一個金句
[00:00:13.500 --> 00:00:21.360]  「就使你們的頭髮也都數過了,不要懼怕,你們比許多的麻雀還貴重」
[00:00:21.360 --> 00:00:24.360]  請我再一次同心,我們一同祈禱
[00:00:24.360 --> 00:00:30.600]  天皇我們再一次感謝祢給我們這麼寶貴的話語去安慰、提醒、勸勉、教導我們
[00:00:30.600 --> 00:00:33.800]  借著祢的話語去改變我們的生命
[00:00:33.800 --> 00:00:40.800]  叫我們明白我們今天需要怕的是應該怕誰
[00:00:40.800 --> 00:00:44.800]  祢用祢的說話去提醒我們
[00:00:44.800 --> 00:00:48.800]  挑戰我們,改變我們
[00:00:48.800 --> 00:00:51.800]  祈禱奉耶穌基督命求,阿們
[00:00:52.800 --> 00:00:56.800]  我想起很多年前,我剛剛結婚的時候
[00:00:56.800 --> 00:01:02.800]  有一晚突然間聽見太太在房間裡大聲的驚叫,好像在叫救命一樣
[00:01:02.800 --> 00:01:04.800]  當時嚇得我膽子都怕了
[00:01:04.800 --> 00:01:09.800]  馬上就走過去看看,究竟發生了什麼事
[00:01:09.800 --> 00:01:14.800]  見到她真的面無人色,害怕得樣子很緊張
[00:01:14.800 --> 00:01:17.800]  然後指著她的角落說:「曱甴啊!曱甴啊!」
[00:01:19.800 --> 00:01:22.800]  在我心裡想,有沒有搞錯啊?這麼大個人
[00:01:22.800 --> 00:01:26.800]  那隻曱甴這麼小,用不著這麼緊張這麼驚怕嗎?
[00:01:26.800 --> 00:01:30.800]  但回心想想,那隻曱甴只是嚇到我太太而已
[00:01:30.800 --> 00:01:33.800]  但我太太的叫聲就嚇得我膽子都破了
[00:01:33.800 --> 00:01:36.800]  我想起馬克吐訓說的一句話都說得很真
[00:01:36.800 --> 00:01:39.800]  他說:「我就不信有鬼的,但我就怕鬼的。」
[00:01:39.800 --> 00:01:42.800]  既然你不信又怎會怕呢?
[00:01:42.800 --> 00:01:45.800]  怕這件事是不可理喻的
[00:01:46.800 --> 00:01:49.800]  我就想到自己的驚怕
[00:01:49.800 --> 00:01:53.800]  有一個星期日,我開完執事會回家
[00:01:53.800 --> 00:01:59.800]  他說:「七點鐘都還沒到,就不見太太和子女在家裡」
[00:01:59.800 --> 00:02:01.800]  當時那些小孩還很小
[00:02:01.800 --> 00:02:03.800]  我想:沒理由這麼晚才出門的
[00:02:03.800 --> 00:02:07.800]  他又沒有打電話給我,又沒有留下任何的音訊
[00:02:07.800 --> 00:02:11.800]  我在那裡等,我以為他出去買一點東西而已
[00:02:11.800 --> 00:02:15.800]  等到七點半都不見人,電話都沒有一個
[00:02:15.800 --> 00:02:18.800]  我就開始害怕,想到最壞的情況
[00:02:18.800 --> 00:02:22.800]  是不是交通意外呢?是不是腦劫呢?
[00:02:22.800 --> 00:02:27.800]  於是我就打電話去找那個查詢
[00:02:27.800 --> 00:02:29.800]  正在最害怕的時候
[00:02:29.800 --> 00:02:32.800]  太太和帶著那些小孩就回來了
[00:02:32.800 --> 00:02:34.800]  我就向他埋怨
[00:02:34.800 --> 00:02:38.800]  「你看看手錶,七點半了,用不著這麼緊張」
[00:02:38.800 --> 00:02:40.800]  「不過出去買點東西而已」
[00:02:40.800 --> 00:02:42.800]  他說得一點都沒有錯
[00:02:42.800 --> 00:02:46.800]  為什麼太太遲一點回來我就害怕呢?
[00:02:46.800 --> 00:02:49.800]  我就想起我的家庭背景
[00:02:49.800 --> 00:02:52.800]  因為我四歲,大約四五歲的時候
[00:02:52.800 --> 00:02:55.800]  我起床就發覺不見了媽媽
[00:02:55.800 --> 00:02:57.800]  不見了弟弟,不見了妹妹
[00:02:57.800 --> 00:03:00.800]  因為原來我爸爸媽媽就商量
[00:03:00.800 --> 00:03:03.800]  我媽媽應該帶我弟弟妹妹回大陸
[00:03:03.800 --> 00:03:05.800]  看看情況怎麼樣
[00:03:05.800 --> 00:03:09.800]  她的火車就一早,所以她又不叫醒我
[00:03:09.800 --> 00:03:15.800]  我一起床的時候,弟弟、妹妹、媽媽就不見了
[00:03:15.800 --> 00:03:18.800]  自此之後,我一直都沒有見我媽媽
[00:03:18.800 --> 00:03:20.800]  因為媽媽回到大陸的時候
[00:03:20.800 --> 00:03:23.800]  就被我公安抓住,就公審
[00:03:23.800 --> 00:03:26.800]  她捱不住,就吊頸死了
[00:03:26.800 --> 00:03:29.800]  可能就因為這些背景
[00:03:29.800 --> 00:03:32.800]  我很怕在家裡突然間沒了那些人
[00:03:32.800 --> 00:03:38.800]  所以一有什麼事,心裡就很緊張很緊張
[00:03:38.800 --> 00:03:40.800]  有一種莫名的恐懼
[00:03:40.800 --> 00:03:43.800]  事實上在心裡湧了出來
[00:03:43.800 --> 00:03:47.800]  其實我想我們這一代的中國人心裡
[00:03:47.800 --> 00:03:49.800]  往往好像我有這種背景
[00:03:49.800 --> 00:03:52.800]  或者有這種恐懼,一點都不奇怪
[00:03:52.800 --> 00:03:55.800]  有一本很有趣的書,我推介大家看
[00:03:55.800 --> 00:03:57.800]  就是張蓉寫的,叫《紅》
[00:03:57.800 --> 00:03:59.800]  有兩本書很值得看
[00:03:59.800 --> 00:04:01.800]  一本是張紅寫的
[00:04:01.800 --> 00:04:03.800]  張紅是一個大陸人
