
[00:00:00.000 --> 00:00:03.000]  來談談更新的誓言
[00:00:03.000 --> 00:00:08.000]  其實這段經文是非常震驚的
[00:00:08.000 --> 00:00:10.000]  對當時的以色列人
[00:00:10.000 --> 00:00:14.000]  我希望今天這段經文對我有很大的反省
[00:00:14.000 --> 00:00:16.000]  很大的震驚
[00:00:16.000 --> 00:00:20.000]  我們在主面前重新立這個誓言
[00:00:20.000 --> 00:00:21.000]  來跟從著
[00:00:21.000 --> 00:00:22.000]  我們很需要
[00:00:22.000 --> 00:00:25.000]  我們講到的是得著者地
[00:00:25.000 --> 00:00:27.000]  得著者地包括一個意思
[00:00:27.000 --> 00:00:29.000]  就是一個爭戰的意思
[00:00:29.000 --> 00:00:31.000]  我們得著這個地方
[00:00:31.000 --> 00:00:34.000]  就是說得著這裡的人的心
[00:00:34.000 --> 00:00:36.000]  讓他們能夠信主
[00:00:36.000 --> 00:00:39.000]  等於我們不要滿足現狀
[00:00:39.000 --> 00:00:41.000]  我們其實教會裡面
[00:00:41.000 --> 00:00:42.000]  我們有多少人數呢
[00:00:42.000 --> 00:00:45.000]  我們影響到多少的社區呢
[00:00:45.000 --> 00:00:47.000]  我們有沒有得著這裡的人呢
[00:00:47.000 --> 00:00:52.000]  我們只顧著我們自己得夠就算了
[00:00:52.000 --> 00:00:55.000]  我希望這段經文給我們一個很大的提醒
[00:00:55.000 --> 00:00:58.000]  神的心意是要我們得著者地
[00:00:58.000 --> 00:01:00.000]  上面三谷的地方
[00:01:00.000 --> 00:01:03.000]  我們希望主使用教會
[00:01:03.000 --> 00:01:06.000]  得著那裡的地方的人的心
[00:01:06.000 --> 00:01:07.000]  我們這裡Mt.Peters
[00:01:07.000 --> 00:01:10.000]  大家都看到我們周圍都建了很多房子
[00:01:10.000 --> 00:01:14.000]  建了很多微信主人在我們身邊
[00:01:14.000 --> 00:01:16.000]  我們要求主給我們有勇氣
[00:01:16.000 --> 00:01:18.000]  給我們有聖潔
[00:01:18.000 --> 00:01:22.000]  給我們有膽量將神的話語說出去
[00:01:22.000 --> 00:01:25.000]  我想請大家先讀這段經文
[00:01:25.000 --> 00:01:29.000]  今天我先選了九節的經文
[00:01:29.000 --> 00:01:30.000]  好不好呢
[00:01:30.000 --> 00:01:33.000]  我們有1,2,3,4,5,有沒有
[00:01:33.000 --> 00:01:34.000]  沒有
[00:01:34.000 --> 00:01:36.000]  我們不如一起讀好不好
[00:01:36.000 --> 00:01:38.000]  我們很少一起讀經
[00:01:38.000 --> 00:01:43.000]  我們慢慢讀出這段聖經
[00:01:43.000 --> 00:01:45.000]  這個我用和諧本跟大家分享
[00:01:45.000 --> 00:01:47.000]  大家應該都很熟的了
[00:01:47.000 --> 00:01:50.000]  我們一起讀這段經文
[00:01:50.000 --> 00:01:53.000]  約旦河西亞摩里人的諸王
[00:01:53.000 --> 00:01:56.000]  和教海迦南人的諸王
[00:01:56.000 --> 00:01:58.000]  聽見耶和華在以色列人面前
[00:01:58.000 --> 00:02:01.000]  使約旦河的水乾了
[00:02:01.000 --> 00:02:02.000]  等到我們過去
[00:02:02.000 --> 00:02:05.000]  他們的心因以色列人的緣故
[00:02:05.000 --> 00:02:06.000]  就消化了
[00:02:06.000 --> 00:02:07.000]  不再有膽量
[00:02:07.000 --> 00:02:08.000]  第二節
[00:02:08.000 --> 00:02:11.000]  那時耶和華吩咐約書亞說
[00:02:11.000 --> 00:02:13.000]  你製造火石刀
[00:02:13.000 --> 00:02:15.000]  第二次給以色列人行割禮
[00:02:15.000 --> 00:02:18.000]  約書亞就製造了火石刀
[00:02:18.000 --> 00:02:22.000]  在除皮山那裡給以色列人行割禮
[00:02:22.000 --> 00:02:24.000]  約書亞行割禮的緣故
[00:02:24.000 --> 00:02:26.000]  是因為從埃及出來的眾民
[00:02:26.000 --> 00:02:29.000]  就是一切能打仗的男丁
[00:02:29.000 --> 00:02:30.000]  出了埃及以後
[00:02:30.000 --> 00:02:33.000]  都死在抗野的路上
[00:02:33.000 --> 00:02:36.000]  因為出來的眾民都受過割禮
[00:02:36.000 --> 00:02:37.000]  唯獨在埃及以後
[00:02:37.000 --> 00:02:40.000]  在抗野的路上所生的眾民
[00:02:40.000 --> 00:02:42.000]  都沒有受過割禮
[00:02:42.000 --> 00:02:44.000]  以色列人在抗野走了四十年
[00:02:44.000 --> 00:02:47.000]  等到國民就是出埃及的兵丁
[00:02:47.000 --> 00:02:48.000]  都消滅了
[00:02:48.000 --> 00:02:51.000]  因為他們沒有聽從耶和華的話
[00:02:51.000 --> 00:02:53.000]  耶和華曾向他們起誓
[00:02:53.000 --> 00:02:55.000]  必不容他們看見耶和華
[00:02:55.000 --> 00:02:57.000]  向他們列祖起誓
[00:02:57.000 --> 00:02:59.000]  應許賜給他們的地
[00:02:59.000 --> 00:03:01.000]  就是留乃與物之地
[00:03:01.000 --> 00:03:03.000]  他們的子孫
[00:03:03.000 --> 00:03:05.000]  就是耶和華所興起來
[00:03:05.000 --> 00:03:06.000]  接續他們的
[00:03:06.000 --> 00:03:08.000]  都沒有受過割禮
[00:03:08.000 --> 00:03:11.000]  因為在路上沒有給他們行割禮
[00:03:11.000 --> 00:03:13.000]  約書亞才給他們行了
[00:03:13.000 --> 00:03:15.000]  國民都受完了割禮
