
[00:00:00.000 --> 00:00:02.000]  各位兄弟姐妹,主日平安
[00:00:02.000 --> 00:00:07.000]  今天是2023年的最後一天哦
[00:00:07.000 --> 00:00:12.000]  也是最後一個主日
[00:00:12.000 --> 00:00:16.000]  我們竟然可以全家大小聚在一起
[00:00:16.000 --> 00:00:22.000]  不知道你這一年是平穩的降落
[00:00:22.000 --> 00:00:25.000]  還是緊急的迫降
[00:00:28.000 --> 00:00:32.000]  不論如何,恭喜你,你達到了
[00:00:32.000 --> 00:00:36.000]  好不好,光看旁邊的人,給個high five
[00:00:36.000 --> 00:00:38.000]  說you made it
[00:00:38.000 --> 00:00:48.000]  哇,其實今天能夠在這邊是很寶貴的
[00:00:48.000 --> 00:00:56.000]  我們特別是人在這個灣區,非常忙碌
[00:00:58.000 --> 00:01:01.000]  每天都是沖沖衝,跑跑跑
[00:01:01.000 --> 00:01:05.000]  但我們今天是今年的最後一天
[00:01:05.000 --> 00:01:10.000]  我們先稍微relax一下
[00:01:10.000 --> 00:01:16.000]  然後感受一下,哦,原來你旁邊是個人
[00:01:16.000 --> 00:01:24.000]  能夠在一起聚集,一起敬拜,其實是很寶貴的
[00:01:27.000 --> 00:01:29.000]  好不好,稍微relax一下
[00:01:29.000 --> 00:01:32.000]  看一下你旁邊這個人
[00:01:32.000 --> 00:01:37.000]  不用講太多話,不用講什麼
[00:01:37.000 --> 00:01:40.000]  就享受一下在一起的時間
[00:01:40.000 --> 00:01:45.000]  我知道有些人開始有點不自在了
[00:01:45.000 --> 00:01:51.000]  再push一下,給旁邊一個hug
[00:01:54.000 --> 00:01:57.000]  然後跟他說,能夠跟你一起敬拜神真好
[00:01:57.000 --> 00:02:04.000]  讓我們一起來讀一下今天的主題經文
[00:02:04.000 --> 00:02:11.000]  這很有意思,因爲年底的時候我們都要倒數計時嘛
[00:02:11.000 --> 00:02:15.000]  三二一新年快樂
[00:02:15.000 --> 00:02:20.000]  剛好今天的經文就是《以佛所書》三章二十一集
[00:02:22.000 --> 00:02:26.000]  我們看一下三二一上帝要告訴我們什麼好不好
[00:02:26.000 --> 00:02:30.000]  我們先用中文一起來唸,來
[00:02:30.000 --> 00:02:36.000]  但願他在教會中,並在基督耶穌裏得着榮耀
[00:02:36.000 --> 00:02:40.000]  直到世世代代,永永遠遠
[00:02:49.000 --> 00:02:53.000]  所以我們三二一建造神榮耀的教會
[00:02:53.000 --> 00:03:01.000]  事實上2023年的確是一個充滿動盪與不安的一年
[00:03:01.000 --> 00:03:08.000]  但是感謝神在這個充滿改變的世代
[00:03:08.000 --> 00:03:10.000]  我們有一位永不改變的上帝
[00:03:10.000 --> 00:03:16.000]  而這位掌權的主
[00:03:16.000 --> 00:03:20.000]  他也給世世代代的信徒一個清楚的使命
[00:03:20.000 --> 00:03:28.000]  就是要世世代代的教會,一同在基督耶穌裏
[00:03:28.000 --> 00:03:31.000]  使神得着榮耀
[00:03:31.000 --> 00:03:39.000]  這邊講到與世世代代的教會
[00:03:39.000 --> 00:03:43.000]  一同在基督裏
[00:03:45.000 --> 00:03:47.000]  使神得着榮耀
[00:03:47.000 --> 00:03:50.000]  這讓我想到一句話
[00:03:50.000 --> 00:03:54.000]  英文是這樣說的
[00:03:54.000 --> 00:04:03.000]  單獨走的話,你可能會走得很快
[00:04:03.000 --> 00:04:05.000]  一起走的話,你會走得更遠
[00:04:05.000 --> 00:04:07.000]  掌聲鼓勵一下
[00:04:07.000 --> 00:04:09.000]  金牌翻譯
[00:04:09.000 --> 00:04:14.000]  所以上帝的心意我相信是要讓我們一起來向前走
[00:04:15.000 --> 00:04:19.000]  所以要不要讓我們跟旁邊的人再說
[00:04:19.000 --> 00:04:22.000]  讓我們2024年一起向前走
[00:04:22.000 --> 00:04:29.000]  當我們一起向前走的時候
[00:04:29.000 --> 00:04:31.000]  首先我們要與耶穌基督一起走
[00:04:31.000 --> 00:04:37.000]  爲什麼與耶穌基督一起走很重要呢
[00:04:37.000 --> 00:04:42.000]  因爲祂知道你的價值
[00:04:46.000 --> 00:04:48.000]  有很多人告訴我們我們是誰
[00:04:48.000 --> 00:04:53.000]  也給我們在我們的生活當中
[00:04:53.000 --> 00:04:56.000]  或是在工作上面給我們評分
[00:04:56.000 --> 00:05:03.000]  但是我相信這個世界上
[00:05:03.000 --> 00:05:06.000]  只有上帝真正的知道我們的價值
[00:05:06.000 --> 00:05:13.000]  迪歐姐妹,你知道嗎?你非常的獨特
[00:05:16.000 --> 00:05:18.000]  你是非常的有價值的
[00:05:18.000 --> 00:05:22.000]  大衛王很清楚知道這件事情
[00:05:22.000 --> 00:05:26.000]  事實上從人的角度,大衛王是很平凡的
[00:05:26.000 --> 00:05:31.000]  他出生在一個平凡的家庭
[00:05:31.000 --> 00:05:35.000]  而且他在家排行老八
[00:05:35.000 --> 00:05:38.000]  我就想幸好他不姓王
[00:05:38.000 --> 00:05:44.000]  事實上他的父母親都常常忽略了他的存在
[00:05:46.000 --> 00:05:48.000]  他自己很清楚知道這個事實
[00:05:48.000 --> 00:05:52.000]  所以他常常在描述自己
[00:05:52.000 --> 00:05:55.000]  我是從泥堆中被提拔出來的
[00:05:55.000 --> 00:06:01.000]  可是當他從上帝的眼光
[00:06:01.000 --> 00:06:04.000]  來看他的生命的時候
[00:06:04.000 --> 00:06:08.000]  他發現他的生命是極有價值的
[00:06:08.000 --> 00:06:12.000]  在詩篇他竟然這樣子說
[00:06:13.000 --> 00:06:15.000]  神啊我感謝你
[00:06:15.000 --> 00:06:18.000]  因爲我受造奇妙可畏
[00:06:18.000 --> 00:06:23.000]  大衛王他說他自己
[00:06:23.000 --> 00:06:27.000]  受造奇妙可畏
[00:06:27.000 --> 00:06:32.000]  我看這個世界上很難找到比大衛王更自戀的人
[00:06:32.000 --> 00:06:37.000]  其實他不是自戀
[00:06:37.000 --> 00:06:41.000]  因爲從人的角度他也知道他很平凡
[00:06:43.000 --> 00:06:45.000]  可是當他從神的角度來看自己的時候
[00:06:45.000 --> 00:06:49.000]  原來在神的眼中
[00:06:49.000 --> 00:06:53.000]  他是如此的奇妙可畏的被神創造
[00:06:53.000 --> 00:06:58.000]  所以當他與神同行的時候
[00:06:58.000 --> 00:07:01.000]  他能夠活出神的榮美
[00:07:01.000 --> 00:07:05.000]  丁永姐妹我要問你一個問題
[00:07:05.000 --> 00:07:09.000]  回想一下你2023年
[00:07:09.000 --> 00:07:12.000]  你要與哪些人同行呢
[00:07:14.000 --> 00:07:16.000]  想一下
[00:07:16.000 --> 00:07:20.000]  我相信你有與很多人同行
[00:07:20.000 --> 00:07:24.000]  這些人都很重要很寶貴
[00:07:24.000 --> 00:07:28.000]  但是當你閉上眼睛在想的時候
[00:07:28.000 --> 00:07:33.000]  你有沒有看見你與耶穌同行呢
[00:07:33.000 --> 00:07:39.000]  但願我們在2024年
[00:07:41.000 --> 00:07:43.000]  我們真是每天都與耶穌同行
[00:07:43.000 --> 00:07:47.000]  這位欣賞你的神
[00:07:47.000 --> 00:07:50.000]  創造你的神
