
[00:00:00.000 --> 00:00:04.500]  上一次和大家開始了一個新的系列
[00:00:04.500 --> 00:00:07.100]  就是天地揭秘
[00:00:07.100 --> 00:00:10.860]  上一次講了天堂究竟在哪裏
[00:00:10.860 --> 00:00:13.460]  今天要和大家講的就是
[00:00:13.460 --> 00:00:16.500]  這個新天新地這個天堂
[00:00:16.500 --> 00:00:18.920]  究竟的樣貌是怎樣
[00:00:18.920 --> 00:00:21.520]  這個天堂是怎樣的
[00:00:21.520 --> 00:00:24.840]  其實在樹伊甸園的時候
[00:00:24.840 --> 00:00:27.140]  就好像在天堂
[00:00:27.140 --> 00:00:32.160]  亞當夏娃與神同在
[00:00:32.160 --> 00:00:36.960]  在那裏他們是過著非常快活的生活
[00:00:36.960 --> 00:00:39.160]  他們是沒有罪的
[00:00:39.160 --> 00:00:42.060]  是與神同在
[00:00:42.060 --> 00:00:45.700]  但很可惜亞當夏娃犯了罪
[00:00:45.700 --> 00:00:49.040]  他們是被神趕出伊甸園
[00:00:49.040 --> 00:00:52.660]  在這裏上一次我也和大家分享過
[00:00:52.660 --> 00:00:58.140]  有一節經文是全道書的三章十一節
[00:00:58.140 --> 00:01:00.340]  是說神做萬物
[00:01:00.340 --> 00:01:03.360]  各安其事成為美好
[00:01:03.360 --> 00:01:07.960]  又將永生安置在世人的心裏
[00:01:07.960 --> 00:01:12.060]  神是將永生放在每個人的心裏
[00:01:12.060 --> 00:01:15.780]  所以其實每個人都應該是向往有天堂的心
[00:01:15.780 --> 00:01:21.260]  每個人都希望能夠回到那個完美無瑕的世界
[00:01:21.260 --> 00:01:23.040]  就是天堂
[00:01:23.040 --> 00:01:27.660]  但當我們不去追求神為我們所預備的天堂
[00:01:27.660 --> 00:01:29.460]  問題就出現了
[00:01:29.460 --> 00:01:32.340]  很多時候我們就會用自己的辦法
[00:01:32.340 --> 00:01:36.040]  來填滿內心的空虛
[00:01:36.040 --> 00:01:38.600]  巴別塔就是一個好的例子
[00:01:38.600 --> 00:01:42.200]  人就是靠自己的能力、自己的智慧
[00:01:42.200 --> 00:01:43.800]  想建造一座塔
[00:01:43.800 --> 00:01:46.140]  能夠是塔頂通天
[00:01:46.140 --> 00:01:50.940]  能夠靠自己的能力進入天堂
[00:01:50.940 --> 00:01:54.060]  世界上還有很多疑端
[00:01:54.060 --> 00:01:56.800]  例如在1997年
[00:01:56.800 --> 00:01:59.140]  在聖地牙哥
[00:01:59.140 --> 00:02:03.600]  是有天堂之門的疑端
[00:02:03.600 --> 00:02:07.260]  當時有衛星很近會經過地球
[00:02:07.260 --> 00:02:08.700]  他們認為
[00:02:08.700 --> 00:02:11.960]  如果他們在那個時候集體自殺的話
[00:02:11.960 --> 00:02:15.060]  他們就能夠透過衛星
[00:02:15.060 --> 00:02:17.360]  帶他們進入天堂
[00:02:17.360 --> 00:02:19.260]  這個是疑端
[00:02:19.260 --> 00:02:22.360]  靠自己的辦法想進入天堂
[00:02:22.360 --> 00:02:24.460]  世界上也有很多人
[00:02:24.460 --> 00:02:29.260]  希望在人間建造天堂
[00:02:29.260 --> 00:02:32.400]  前俄羅斯的領袖列寧
[00:02:32.400 --> 00:02:37.660]  他說共產主義就是人間的天堂
[00:02:37.660 --> 00:02:40.360]  我們看到俗世的人和疑端
[00:02:40.360 --> 00:02:42.700]  都是追求天堂
[00:02:42.700 --> 00:02:44.400]  基督徒呢?
[00:02:44.400 --> 00:02:47.840]  基督徒反而很少說到天堂
[00:02:47.840 --> 00:02:50.260]  很少說到地獄
[00:02:50.260 --> 00:02:52.860]  一般基督徒在他們的心裡
