
[00:00:00.000 --> 00:00:01.000]  戴燕姐妹 早晨
[00:00:01.000 --> 00:00:07.000]  很感恩今天有機會和大家一同去思想上帝的話語
[00:00:07.000 --> 00:00:10.500]  不知道大家會不會同我一樣覺得
[00:00:10.500 --> 00:00:13.500]  人慢慢越來越長大
[00:00:13.500 --> 00:00:17.500]  越來越不想接受新的事物
[00:00:17.500 --> 00:00:21.000]  有時我自己習慣了一種生活
[00:00:21.000 --> 00:00:24.000]  或者一種工作的模式
[00:00:24.000 --> 00:00:29.500]  越來越不想跳出原有的那種狀態
[00:00:30.000 --> 00:00:35.000]  因為可能接受變化是難過保持現狀
[00:00:35.000 --> 00:00:38.000]  去到一個未知的領域的時候
[00:00:38.000 --> 00:00:40.000]  面對那些人和事物
[00:00:40.000 --> 00:00:44.000]  有時我都會感到不安和恐懼
[00:00:44.000 --> 00:00:46.000]  這個可能就是為什麼
[00:00:46.000 --> 00:00:51.000]  我們很多人 人性本身就是很不願意接受改變
[00:00:51.000 --> 00:00:55.000]  但原來我們的信仰的生活
[00:00:55.000 --> 00:00:58.000]  我們跟隨耶穌的生命
[00:00:58.500 --> 00:01:02.000]  都可能會這樣 我們不想改變
[00:01:02.000 --> 00:01:06.000]  以前的日子有多麼好
[00:01:06.000 --> 00:01:10.000]  想當年神怎樣去改變我
[00:01:10.000 --> 00:01:13.000]  可能一說見證的時候
[00:01:13.000 --> 00:01:18.000]  就要數回十年前 二十年前當時的一些情況
[00:01:18.000 --> 00:01:21.000]  以前的教會生活有多麼多姿多彩
[00:01:21.000 --> 00:01:24.000]  以前的事物總是好像好一點
[00:01:25.000 --> 00:01:28.500]  大家知道 今年過了一半
[00:01:28.500 --> 00:01:34.000]  今年的教會全年的主題叫做 新酒新皮袋
[00:01:34.000 --> 00:01:37.000]  五個字的主題 有兩個新字
[00:01:37.000 --> 00:01:40.000]  對於我這些已經不太想變的人
[00:01:40.000 --> 00:01:44.000]  喜歡喝舊酒的人 好像有點壓力
[00:01:44.000 --> 00:01:47.000]  記得去年 羅牧師叫我
[00:01:47.000 --> 00:01:50.000]  你去搞一些新的小組吧
[00:01:50.000 --> 00:01:54.000]  我說 不是吧 你先教給我看看
[00:01:54.500 --> 00:02:01.000]  不知道大家 今年我們過了半年
[00:02:01.000 --> 00:02:05.000]  大家的生活 大家的侍奉 大家的工作
[00:02:05.000 --> 00:02:08.000]  跟神 跟人 跟自己的關係
[00:02:08.000 --> 00:02:11.000]  我們有沒有經歷過任何的更新
[00:02:11.000 --> 00:02:15.000]  今天容許我跟大家從《路加福音》這段經文
[00:02:15.000 --> 00:02:19.000]  我們再次思考耶穌所說的這個比喻
[00:02:19.500 --> 00:02:25.000]  盼望我們彼此再次在這一年中間的部分 一同去鼓勵
[00:02:25.000 --> 00:02:29.000]  一同去勇敢走主耶穌帶領我們前面要走的路程
[00:02:29.000 --> 00:02:34.000]  一同成為真正葬在耶穌新酒的一個群體
[00:02:34.000 --> 00:02:39.000]  如果你有細心去讀過福音書的話
[00:02:39.000 --> 00:02:42.000]  你會發現耶穌所說的這個比喻
[00:02:42.000 --> 00:02:47.000]  其實是耶穌在地上傳道所說的第一個比喻
[00:02:47.500 --> 00:02:50.000]  就好像耶穌所做的第一個神蹟一樣
[00:02:50.000 --> 00:02:53.000]  耶穌第一個的比喻
[00:02:53.000 --> 00:02:56.000]  其實也是為祂之後的侍功
[00:02:56.000 --> 00:03:00.000]  奠證了一個基礎 掀開了一個序幕
[00:03:00.000 --> 00:03:04.000]  如果大家有印象 耶穌行的第一個神蹟是什麼
[00:03:04.000 --> 00:03:09.000]  是在加拿大的一個婚禮上
[00:03:09.000 --> 00:03:13.000]  耶穌將一些水變成酒
[00:03:13.500 --> 00:03:18.000]  耶穌說第一個比喻 剛剛又是說酒
[00:03:18.000 --> 00:03:22.000]  說新酒必須裝在新皮袋
[00:03:22.000 --> 00:03:26.000]  耶穌做的新酒變成水變成酒的神蹟
[00:03:26.000 --> 00:03:30.000]  祂表明祂是讓一切去更新
[00:03:30.000 --> 00:03:33.000]  耶穌說第一個比喻
[00:03:33.000 --> 00:03:36.000]  祂說祂帶來的更新
[00:03:36.000 --> 00:03:42.000]  不能夠在我們人類所設計任何的制度形式裡面
[00:03:42.500 --> 00:03:44.000]  去保留
[00:03:44.000 --> 00:03:48.000]  這個是由於耶穌的新酒
[00:03:48.000 --> 00:03:52.000]  祂內在那種膨脹伸張的能量
[00:03:52.000 --> 00:03:56.000]  祂的新酒根本不能夠適合在祂來之前
[00:03:56.000 --> 00:04:01.000]  任何的思想模式生活的模式裡面
[00:04:01.000 --> 00:04:05.000]  所以剛剛我們聽到第38節說
[00:04:05.000 --> 00:04:09.000]  新酒必須裝在新皮囊裡
[00:04:09.000 --> 00:04:11.000]  為什麼呢
[00:04:11.500 --> 00:04:15.000]  因為祂可以將耶穌和祂帶來一切的新事物
[00:04:15.000 --> 00:04:20.000]  塞進去舊有的思維 感覺和生活的模式裡面
[00:04:20.000 --> 00:04:23.000]  為什麼耶穌用必須這兩個字呢
[00:04:23.000 --> 00:04:28.000]  祂說人必須將新酒裝在新皮囊裡
[00:04:28.000 --> 00:04:33.000]  沒錯 這個比喻在《老家封印》5章3-3-19節
[00:04:33.000 --> 00:04:38.000]  但是如果我們要完全去明白整個比喻的時候
[00:04:38.000 --> 00:04:40.000]  我們需要好像看其他經文一樣
[00:04:40.500 --> 00:04:42.000]  我們可以看上下文
[00:04:42.000 --> 00:04:44.000]  其實當時發生什麼事
[00:04:44.000 --> 00:04:47.000]  耶穌在什麼處境裡面要講這個比喻呢
[00:04:47.000 --> 00:04:52.000]  容若我現在跟大家從5章17節開始看一看
[00:04:52.000 --> 00:04:55.000]  這個比喻當時耶穌的處境是什麼
[00:04:55.000 --> 00:04:59.000]  老家說發生在某一天
[00:04:59.000 --> 00:05:02.000]  某一天耶穌正在教導人的時候
[00:05:02.000 --> 00:05:06.000]  法利塞人 律法教師都坐在那裡
[00:05:06.000 --> 00:05:08.000]  他們是坐在加利利
[00:05:08.500 --> 00:05:11.000]  在各村莊 猶太 耶路撒冷來的
[00:05:11.000 --> 00:05:13.000]  有著能力在耶穌身上
[00:05:13.000 --> 00:05:15.000]  使祂能醫好病人
[00:05:15.000 --> 00:05:18.000]  看來有些人用床塔抬了一個癱瘓的人
[00:05:18.000 --> 00:05:21.000]  想把他抬進屋裡
[00:05:21.000 --> 00:05:23.000]  放在耶穌面前
[00:05:23.000 --> 00:05:25.000]  由於人多
[00:05:25.000 --> 00:05:27.000]  他們沒有辦法抬進去
[00:05:27.000 --> 00:05:29.000]  於是爬上屋頂
[00:05:29.000 --> 00:05:31.000]  把他連同床塔一起穿過屋頂
[00:05:31.000 --> 00:05:33.000]  墜到屋子中間
[00:05:33.000 --> 00:05:35.000]  靜好落在耶穌面前
[00:05:35.000 --> 00:05:37.000]  耶穌看見他們的信心就說
