
[00:00:00.000 --> 00:00:02.000]  主耶穌,我們感謝祢,贊美祢
[00:00:02.000 --> 00:00:06.380]  是祢一份給高山、給山高、給海深的愛
[00:00:06.380 --> 00:00:07.500]  去激勵我們
[00:00:07.500 --> 00:00:11.040]  繼續要放開生命,去祝福我們身邊不同的人
[00:00:11.040 --> 00:00:12.560]  求神去幫助我們
[00:00:12.560 --> 00:00:15.740]  願祢的百姓、祢的兒女、祢的子民
[00:00:15.740 --> 00:00:18.240]  能夠成為一個真正愛的群體
[00:00:18.240 --> 00:00:21.780]  特別在這個很紛亂、很黑暗的世界裏面
[00:00:21.780 --> 00:00:23.980]  我們成為炎、成為光
[00:00:23.980 --> 00:00:25.300]  活出基督的愛
[00:00:25.300 --> 00:00:27.100]  多謝主,贊美祢
[00:00:27.100 --> 00:00:29.020]  帶領我們,與我們同在
[00:00:29.020 --> 00:00:30.440]  聖靈恩高我們每一個
[00:00:30.440 --> 00:00:32.580]  讓我們在祢裏面,傳謙卑的心
[00:00:32.580 --> 00:00:34.700]  一同領受神的懷念
[00:00:34.700 --> 00:00:36.120]  我們感謝祢,贊美祢
[00:00:36.120 --> 00:00:37.360]  聽我們的祈禱
[00:00:37.360 --> 00:00:39.520]  奉耶穌基督的名祈求
[00:00:39.520 --> 00:00:41.520]  Amen
[00:00:41.520 --> 00:00:45.020]  麻煩見拜隊
[00:00:45.020 --> 00:00:49.560]  剛才提過今天的講題叫做「吸吞一杯涼水」
[00:00:49.560 --> 00:00:55.080]  用的經文是在《馬太福音》25章31-46節
[00:00:55.080 --> 00:00:57.680]  為何我會選擇這段經文呢?
[00:00:57.680 --> 00:01:01.640]  我想,在疫症的時候
[00:01:01.640 --> 00:01:05.160]  COVID-19,即是2019年年底
[00:01:05.160 --> 00:01:10.480]  大概我們開始發現有疫症
[00:01:10.480 --> 00:01:12.220]  開始一直發生
[00:01:12.220 --> 00:01:14.880]  然後呢,回顧過去的時候
[00:01:14.880 --> 00:01:16.560]  大家可能都留意疫症
[00:01:16.560 --> 00:01:17.240]  不知道大家有沒有留意
[00:01:17.240 --> 00:01:18.740]  其實在我們身邊裏面
[00:01:18.740 --> 00:01:19.920]  還有很多情況
[00:01:19.920 --> 00:01:23.360]  譬如中國近一個月的水災其實是很嚴重的
[00:01:23.360 --> 00:01:27.220]  受影響的災民是以千萬甚至是以億計的
[00:01:27.220 --> 00:01:31.440]  當然,過去社會的一些狀況
[00:01:31.440 --> 00:01:34.260]  然後甚至是國際緊張的關係
