
[00:00:00.000 --> 00:00:03.800]  讓我們今早一起來思想神的說話
[00:00:03.800 --> 00:00:07.360]  過去幾次我們都有機會思想到
[00:00:07.360 --> 00:00:10.840]  啟示錄裏面有七間教會
[00:00:10.840 --> 00:00:14.000]  他們都是代表了今天我們時代裏面
[00:00:14.000 --> 00:00:18.560]  每一間教會都需要在七間教會身上學習一些事
[00:00:18.560 --> 00:00:20.080]  求主幫助我們
[00:00:20.080 --> 00:00:23.440]  看到撒地教會是一間需要復興的教會
[00:00:23.440 --> 00:00:26.240]  讓我們先讀出今天的經文
[00:00:26.240 --> 00:00:29.840]  就是啟示錄第三章一至六節
[00:00:29.840 --> 00:00:30.920]  這兩版字
[00:00:30.920 --> 00:00:34.760]  讓我們一起同聲讀出和合本的啟示錄
[00:00:34.760 --> 00:00:36.760]  三章一至六節
[00:00:59.840 --> 00:01:01.920]  一切都是完全的
[00:01:01.920 --> 00:01:05.320]  所以要回想你是怎樣領受
[00:01:05.320 --> 00:01:07.000]  怎樣聽見的
[00:01:07.000 --> 00:01:08.440]  又要遵守
[00:01:08.440 --> 00:01:10.000]  並要悔改
[00:01:10.000 --> 00:01:11.400]  若不警醒
[00:01:11.400 --> 00:01:13.600]  我必不臨到你門去
[00:01:13.600 --> 00:01:15.200]  如同賊一樣
[00:01:15.200 --> 00:01:16.720]  我幾時臨到
[00:01:16.720 --> 00:01:19.160]  你也決不能知道
[00:01:19.160 --> 00:01:20.840]  然而在撒地
[00:01:20.840 --> 00:01:25.240]  你還有幾名是未曾屋慰自己衣服的
[00:01:25.240 --> 00:01:28.440]  他們要穿白衣與我同行
[00:01:28.440 --> 00:01:31.120]  因為他們是配得過的
[00:01:31.120 --> 00:01:34.320]  或得食的必這樣穿白衣
[00:01:34.320 --> 00:01:38.520]  我也必不從撒地上淘沒他的名字
[00:01:38.520 --> 00:01:40.760]  且要在我父面前
[00:01:40.760 --> 00:01:43.320]  和我父重視者面前
[00:01:43.320 --> 00:01:44.840]  認他的名
[00:01:44.840 --> 00:01:47.840]  聖靈向宗教會所說的
[00:01:47.840 --> 00:01:49.040]  凡有疑的
[00:01:49.040 --> 00:01:51.360]  就應當聽
[00:01:51.360 --> 00:01:56.120]  讓我們一起禱告
[00:01:56.120 --> 00:01:59.760]  天天背負我們重擔的主
[00:01:59.760 --> 00:02:03.280]  你亦是那位搜拿七星
[00:02:03.280 --> 00:02:06.960]  在七個金台當中行走
[00:02:06.960 --> 00:02:11.440]  而且今天已經坐在寶座上的神
[00:02:11.440 --> 00:02:12.440]  今天這個早上
[00:02:12.440 --> 00:02:14.680]  我們來到你的面前
[00:02:14.680 --> 00:02:17.200]  以謙卑降服的心
[00:02:17.200 --> 00:02:21.080]  再次求聖靈引導我們進入真理
[00:02:21.080 --> 00:02:25.040]  藉著神的話開導我們的心
[00:02:25.040 --> 00:02:27.960]  叫我們看見祢
[00:02:27.960 --> 00:02:30.920]  也看見我們自己
[00:02:30.920 --> 00:02:33.240]  使聽的和說的
[00:02:33.240 --> 00:02:35.360]  能夠在祢面前蒙恩
[00:02:35.360 --> 00:02:37.440]  得以淺信於行
[00:02:37.440 --> 00:02:39.440]  將祢的道活出
[00:02:39.440 --> 00:02:41.600]  我們這樣的禱告
[00:02:41.600 --> 00:02:43.760]  是藉群陽大目者
[00:02:43.760 --> 00:02:46.040]  我們主耶穌基督的明求
[00:02:46.040 --> 00:02:48.320]  阿門
[00:02:48.320 --> 00:02:52.960]  需要復興的撒地教會
[00:02:52.960 --> 00:02:54.160]  在過去的日子
[00:02:54.160 --> 00:02:55.560]  我和大家一樣
[00:02:55.560 --> 00:02:59.480]  都有機會用手機或者電腦
