
[00:00:00.000 --> 00:00:03.560]  在宋朝時期有位文人叫蘇徹
[00:00:03.560 --> 00:00:06.920]  他寫了一篇文章叫《六國論》
[00:00:06.920 --> 00:00:13.200]  是探討在戰國時代六國亡於秦國的原因
[00:00:13.200 --> 00:00:18.800]  戰國時代大家知道有齊楚、燕、韓、趙、魏這六國
[00:00:18.800 --> 00:00:22.880]  他們加起來的兵力是十倍於秦國
[00:00:22.880 --> 00:00:27.120]  但為何最後亡於秦國之手呢?
[00:00:27.120 --> 00:00:36.320]  蘇徹的分析是因為六國不懂得齊心保住韓、魏這兩國
[00:00:36.320 --> 00:00:42.400]  韓魏位於秦國的東邊,是秦國的心腹大環
[00:00:42.400 --> 00:00:45.880]  但是山東諸國的屏障
[00:00:45.880 --> 00:00:50.480]  如果六國團結,堅持這個合縱的政策
[00:00:50.480 --> 00:00:54.440]  當秦國要攻打山東諸國時
[00:00:54.440 --> 00:01:03.000]  會造成一個「燕、趙拒之於前,而韓、魏成之於後」兩邊夾擊的局面
[00:01:03.000 --> 00:01:05.480]  這樣秦國就很勢危
[00:01:05.480 --> 00:01:07.480]  所以蘇徹怎樣說呢?
[00:01:07.480 --> 00:01:12.360]  他說「辜負天下之所重者,莫如韓、魏也」
[00:01:12.360 --> 00:01:15.120]  即是原來六國的滅亡
[00:01:15.120 --> 00:01:19.840]  是不懂得團結、合一去保住韓、魏兩國
[00:01:19.840 --> 00:01:23.040]  反而互相猜忌、互相攻擊
[00:01:23.040 --> 00:01:26.160]  結果被秦國有機可乘
[00:01:26.160 --> 00:01:29.160]  引至逐一擊破
[00:01:29.160 --> 00:01:32.720]  蘇徹的父親叫蘇洵
[00:01:32.720 --> 00:01:35.240]  他寫了一篇《六國論》
[00:01:35.240 --> 00:01:36.600]  名字是一樣的
[00:01:36.600 --> 00:01:38.400]  他一開始就這樣寫
[00:01:38.400 --> 00:01:42.440]  他說「六國破滅,非兵不利,戰不善
[00:01:42.440 --> 00:01:47.640]  敝在路秦,路秦而力虧,破滅之道也」
[00:01:47.640 --> 00:01:51.640]  原來蘇洵的分析是什麼呢?
[00:01:51.640 --> 00:01:53.640]  六國不是不夠人打
[00:01:53.640 --> 00:01:55.640]  不是我們兵力不夠
[00:01:55.640 --> 00:01:57.640]  是虧在我們賄賂秦國
[00:01:57.640 --> 00:01:59.640]  我們買它怕
[00:01:59.640 --> 00:02:02.640]  六國自己不齊心抗敵
[00:02:02.640 --> 00:02:04.640]  反而向敵人進貢
[00:02:04.640 --> 00:02:06.640]  此消彼長
[00:02:06.640 --> 00:02:09.640]  最終為秦國所滅」
[00:02:09.640 --> 00:02:13.640]  蘇洵、蘇徹兩父子解釋六國滅亡
[00:02:13.640 --> 00:02:16.640]  原因並非一模一樣
[00:02:16.640 --> 00:02:20.640]  但背後最深的原因有點相似
[00:02:20.640 --> 00:02:23.640]  就是不團結合一
[00:02:23.640 --> 00:02:25.640]  向敵人進貢
[00:02:25.640 --> 00:02:27.640]  我們買它怕
[00:02:27.640 --> 00:02:29.640]  注定失敗
[00:02:29.640 --> 00:02:32.640]  其實我們屬靈的征戰
[00:02:32.640 --> 00:02:34.640]  其實一模一樣
[00:02:34.640 --> 00:02:36.640]  如果信徒團結合一
[00:02:36.640 --> 00:02:39.640]  我們靠著主耶穌基督
[00:02:39.640 --> 00:02:42.640]  一定贏得我們最大的敵人
[00:02:42.640 --> 00:02:44.640]  魔鬼
[00:02:44.640 --> 00:02:48.640]  如果我們靠著神去抵擋魔鬼
[00:02:48.640 --> 00:02:50.640]  魔鬼一定會逃跑
[00:02:50.640 --> 00:02:53.640]  但如果我們信徒買它怕
[00:02:53.640 --> 00:02:55.640]  哄它
[00:02:55.640 --> 00:02:56.640]  賄賂它
[00:02:56.640 --> 00:02:57.640]  咒它
[00:02:57.640 --> 00:02:59.640]  我們注定會失敗
[00:02:59.640 --> 00:03:02.640]  我們有什麼心智
[00:03:02.640 --> 00:03:04.640]  有什麼立場
[00:03:04.640 --> 00:03:07.640]  去面對這場屬靈的戰爭
[00:03:07.640 --> 00:03:11.640]  其實全福音是一場屬靈的戰爭
[00:03:11.640 --> 00:03:13.640]  保羅在這段經文
[00:03:13.640 --> 00:03:17.640]  菲勒比書一章二十七到二章四節
[00:03:17.640 --> 00:03:19.640]  他勸勉菲勒比信徒
[00:03:19.640 --> 00:03:22.640]  在這場屬靈的征戰裡
[00:03:22.640 --> 00:03:24.640]  最重要是團結
[00:03:24.640 --> 00:03:25.640]  合一
[00:03:25.640 --> 00:03:26.640]  同心
[00:03:26.640 --> 00:03:27.640]  抗敵
[00:03:27.640 --> 00:03:29.640]  保羅是很著重
[00:03:29.640 --> 00:03:31.640]  很著重全福音
[00:03:31.640 --> 00:03:33.640]  如果大家有讀菲勒比書
[00:03:33.640 --> 00:03:36.640]  你看一章十二到十八節
[00:03:36.640 --> 00:03:37.640]  他會說
[00:03:37.640 --> 00:03:38.640]  保羅是什麼呢?
[00:03:38.640 --> 00:03:40.640]  只要福音被傳開
[00:03:40.640 --> 00:03:43.640]  無論你傳的動機是怎樣
[00:03:43.640 --> 00:03:45.640]  他都很歡喜
[00:03:45.640 --> 00:03:48.640]  菲勒比信徒在全福音這件事上
[00:03:48.640 --> 00:03:51.640]  他們現在面對什麼問題呢?
[00:03:51.640 --> 00:03:53.640]  有內憂
[00:03:53.640 --> 00:03:54.640]  有外患
[00:03:54.640 --> 00:03:57.640]  內憂就是有些人不同心
[00:03:57.640 --> 00:03:59.640]  他們不合一
[00:03:59.640 --> 00:04:00.640]  為什麼這樣說呢?
[00:04:00.640 --> 00:04:03.640]  在一章第二十七節
[00:04:03.640 --> 00:04:06.640]  保羅勸勉他們有同一個心智
[00:04:06.640 --> 00:04:08.640]  要齊心努力
[00:04:08.640 --> 00:04:10.640]  在二章十四節
[00:04:10.640 --> 00:04:12.640]  暗示這個群體裡
[00:04:12.640 --> 00:04:14.640]  有些人會發怨言
[00:04:14.640 --> 00:04:16.640]  起爭論
[00:04:16.640 --> 00:04:18.640]  到了四章第二節
[00:04:18.640 --> 00:04:19.640]  他點名
[00:04:19.640 --> 00:04:20.640]  尤雅蝶
[00:04:20.640 --> 00:04:22.640]  秦都基這兩位姐妹
[00:04:22.640 --> 00:04:24.640]  要在主裡同心
[00:04:24.640 --> 00:04:27.640]  想估計這個群體裡
[00:04:27.640 --> 00:04:28.640]  有些不同心
[00:04:28.640 --> 00:04:30.640]  不合一的情況
[00:04:30.640 --> 00:04:32.640]  除了內憂
[00:04:32.640 --> 00:04:33.640]  還有外患
[00:04:33.640 --> 00:04:35.640]  外患就是這個群體
[00:04:35.640 --> 00:04:36.640]  這間教會
[00:04:36.640 --> 00:04:38.640]  面對敵人的威脅
[00:04:38.640 --> 00:04:40.640]  面對敵人的逼迫
[00:04:40.640 --> 00:04:43.640]  所以保羅在這裡寫了這段經文
[00:04:43.640 --> 00:04:44.640]  這八節
[00:04:44.640 --> 00:04:47.640]  就是幫助這群菲律賓的信徒
[00:04:47.640 --> 00:04:49.640]  如何面對內憂外患
[00:04:49.640 --> 00:04:52.640]  然後能夠活出
[00:04:52.640 --> 00:04:54.640]  傳福音的使命
[00:04:54.640 --> 00:04:57.640]  我先講一講這八節的結構
[00:04:57.640 --> 00:05:00.640]  在程序裡我畫了一個圖
[00:05:00.640 --> 00:05:02.640]  表達了這個結構
[00:05:02.640 --> 00:05:04.640]  你可以參考這個圖
[00:05:04.640 --> 00:05:06.640]  在經文的大綱裡
[00:05:06.640 --> 00:05:08.640]  在這一段裡
[00:05:08.640 --> 00:05:10.640]  一章二十七節
[00:05:10.640 --> 00:05:11.640]  就是那個約節
[00:05:11.640 --> 00:05:13.640]  key verse
[00:05:13.640 --> 00:05:15.640]  是整段的火車頭
[00:05:15.640 --> 00:05:19.640]  是帶出保羅對菲律賓信徒的期望
[00:05:19.640 --> 00:05:21.640]  他們的行事為人
[00:05:21.640 --> 00:05:23.640]  是要與福音相稱
[00:05:23.640 --> 00:05:26.640]  以致他們能夠同心站穩
[00:05:26.640 --> 00:05:29.640]  同心站穩去做些什麼呢?
[00:05:29.640 --> 00:05:32.640]  如果從文法和句子結構
[00:05:32.640 --> 00:05:35.640]  我們知道同心站穩這個詞語
[00:05:35.640 --> 00:05:37.640]  是連於兩個分詞
[00:05:37.640 --> 00:05:39.640]  兩個participle
[00:05:39.640 --> 00:05:42.640]  一個是一章二十七節尾的分詞
[00:05:42.640 --> 00:05:44.640]  就是齊心努力
[00:05:44.640 --> 00:05:46.640]  或者亦做共同奮鬥
[00:05:46.640 --> 00:05:49.640]  第二個就是一章二十八節頭的分詞
[00:05:49.640 --> 00:05:51.640]  就是不被驚嚇
[00:05:51.640 --> 00:05:53.640]  我們同心站穩
[00:05:53.640 --> 00:05:55.640]  我們做什麼呢?
[00:05:55.640 --> 00:05:56.640]  做兩件事
