
[00:00:00.000 --> 00:00:08.000]  在這裡再祝大家新年快樂,身壯力健,還有這個世界很多變動,
[00:00:08.000 --> 00:00:14.000]  不過我們是處變不驚,有主賜給我們的勇氣和智慧。
[00:00:14.000 --> 00:00:20.000]  俗語說:相嗌唔好口,下一句知不知道是什麼?
[00:00:20.000 --> 00:00:27.000]  相嗌唔好口,下一句原來是再嗌就早先醜。
[00:00:27.000 --> 00:00:30.000]  有沒有聽過?
[00:00:30.000 --> 00:00:34.000]  我都是打相嗌唔好口,下一句是什麼?原來是再嗌就早先醜,
[00:00:34.000 --> 00:00:37.000]  想想又是,很收家嘛。
[00:00:37.000 --> 00:00:43.000]  你還要知道以前住村那些,你一個加嗌,其他所有都聽到。
[00:00:43.000 --> 00:00:51.000]  原來新式的,新潮的還有一句,相嗌唔好口,下一句新潮的,
[00:00:51.000 --> 00:01:00.000]  舊疆就隻秋,這些是扭打。
[00:01:00.000 --> 00:01:10.000]  年初三,傳統稱為赤口,原來原典應該是赤狗,
[00:01:10.000 --> 00:01:18.000]  諸事不利,不適宜出門,所以一般不會拜年,免得吵架收場或不吉利的事。
[00:01:18.000 --> 00:01:23.000]  今日在疫情底下大家都是少出門,我知道。
[00:01:23.000 --> 00:01:30.000]  我們今天不是因為所謂赤口的吵架而不出門,是因為疫症的緣故。
[00:01:30.000 --> 00:01:36.000]  不過又加上過去兩年社會的事件都在影響我們的關係,
[00:01:36.000 --> 00:01:46.000]  無論是家人,親戚,朋友,弟兄姊妹之間都很容易引起一些不開心的分享或吵架。
[00:01:46.000 --> 00:01:52.000]  加上在新年期間,疫情不要拜年,有個很好的藉口就不拜年。
[00:01:52.000 --> 00:02:02.000]  大家減少往來,其實有時在這樣的氣氛底下不見都是好的,都是有些智慧的。
[00:02:02.000 --> 00:02:07.000]  不過我們再想想,人與人之間,我們的親戚,我們的朋友,甚至我們教會的弟兄姊妹,
[00:02:07.000 --> 00:02:11.000]  不應該是這樣的,所以我們要有一種更高的智慧,
[00:02:11.000 --> 00:02:18.000]  克服這種無論在疫情或社會的事件,我們有不同的觀點,我們有不同的立場,
[00:02:18.000 --> 00:02:20.000]  是否真的完全不見呢?
[00:02:20.000 --> 00:02:26.000]  今日讀的經文,各人要快快地聽,慢慢地說,慢慢地動腦,
[00:02:26.000 --> 00:02:29.000]  我希望向大家傳遞一個訊息,
[00:02:29.000 --> 00:02:35.000]  勉勵我們在新的一年裏面,我們與家人,親戚,朋友,同事,弟兄姊妹,
[00:02:35.000 --> 00:02:42.000]  我們的鄰舍,我們靠著主所給我們的說話,我們能夠保持一團和氣。
[00:02:42.000 --> 00:02:44.000]  今日如果要一團和氣,是很大的挑戰。
[00:02:44.000 --> 00:02:48.000]  但我相信主給了我們智慧,我們可以來學習的。
[00:02:48.000 --> 00:02:57.000]  不單是基督徒學習,我也很想我們在家裏面,微信的親友,我們就一起來學習,
[00:02:57.000 --> 00:03:00.000]  繼續去聽聖經所說的話。
[00:03:00.000 --> 00:03:03.000]  聖經所說的話,我交代一下經文處境。
[00:03:03.000 --> 00:03:05.000]  什麼叫做經文處境呢?
[00:03:05.000 --> 00:03:07.000]  如果家裏有些微信的,有些人就說,
[00:03:07.000 --> 00:03:11.000]  其實你的牧師在教會做些什麼?傳達人在教會做些什麼?
[00:03:11.000 --> 00:03:15.000]  其中一樣,就是我們要講解聖經。
[00:03:15.000 --> 00:03:18.000]  講解聖經,不是就那三節抽出來說。
[00:03:18.000 --> 00:03:23.000]  我們要理解一下,聖經這三句之前說些什麼,之後說些什麼,
[00:03:23.000 --> 00:03:29.000]  當時的人發生了些什麼事,我們研究了之後,就告訴弟兄姊妹聽。
[00:03:29.000 --> 00:03:35.000]  當然,傳達人就不只是講解聖經,我們有很多探訪,關心,問候,
[00:03:35.000 --> 00:03:38.000]  和大家一起小組等等。
[00:03:38.000 --> 00:03:40.000]  這些是我們傳達人所做,我們牧師所做。
[00:03:40.000 --> 00:03:46.000]  交代一下經文處境,剛才我們不是只是由第十九節開始讀的,
[00:03:46.000 --> 00:03:49.000]  讀了三節,叫做十九二十二十一。
[00:03:49.000 --> 00:03:56.000]  我們就看上文,即是十八節,和下文,二十二節說些什麼。
[00:03:56.000 --> 00:04:00.000]  你就會發現,重複出現一些我們叫做道。
[00:04:00.000 --> 00:04:06.000]  在第十八節說,他按自己的旨意,用真道生了我們。
[00:04:06.000 --> 00:04:13.000]  接著二十二節又說,只是你們要行道,不要單單聽道,自己欺恐自己。
[00:04:13.000 --> 00:04:16.000]  二十一節接著又是有道出現。
[00:04:16.000 --> 00:04:21.000]  所以這幾節經文連續說,都是和道有關的。
[00:04:21.000 --> 00:04:25.000]  什麼道?教徒就知道,道就是在講上帝的說話。
[00:04:25.000 --> 00:04:27.000]  或者我們簡稱就是聖經。
[00:04:27.000 --> 00:04:31.000]  就算當時沒有整本聖經也好,就是在講上帝的道。
[00:04:31.000 --> 00:04:39.000]  所以剛才我們讀了三節經文,快快地聽,慢慢地說,慢慢地動腦,
[00:04:39.000 --> 00:04:43.000]  是和聽上帝的道有關的。
[00:04:43.000 --> 00:04:50.000]  怎樣聽上帝的道,都要快快聽,慢慢說,慢慢動腦。
[00:04:50.000 --> 00:04:55.000]  我又解釋一下,如果我們當中有未信的親友,
[00:04:55.000 --> 00:04:59.000]  你有沒有試過有些基督徒的家人,和基督徒的朋友,
