
[00:00:00.000 --> 00:00:02.000]  今次我們講的題目是
[00:00:02.000 --> 00:00:04.000]  活出單身生命的美好
[00:00:04.000 --> 00:00:06.000]  我們一起學習
[00:00:06.000 --> 00:00:08.000]  我們一起禱告
[00:00:08.000 --> 00:00:10.000]  天父多謝您給我們一段寶貴的經文
[00:00:10.000 --> 00:00:12.000]  讓我們好好學習
[00:00:12.000 --> 00:00:16.000]  一同更加知道您在我們生命裏的照明
[00:00:16.000 --> 00:00:18.000]  我們在婚姻上
[00:00:18.000 --> 00:00:20.000]  如何取悅您的喜悅
[00:00:20.000 --> 00:00:22.000]  並且被您所使用
[00:00:22.000 --> 00:00:24.000]  我們這樣祈禱
[00:00:24.000 --> 00:00:26.000]  奉主耶穌基督的名
[00:00:26.000 --> 00:00:28.000]  阿門
[00:00:28.000 --> 00:00:30.000]  吳聯梅姑娘
[00:00:30.000 --> 00:00:32.000]  播道總會
[00:00:32.000 --> 00:00:36.000]  她是一位很資深的同工
[00:00:36.000 --> 00:00:38.000]  吳聯梅姊妹
[00:00:38.000 --> 00:00:40.000]  她有一個很重要的工作
[00:00:40.000 --> 00:00:42.000]  她很體貼
[00:00:42.000 --> 00:00:44.000]  單身的肢體需要
[00:00:44.000 --> 00:00:46.000]  所以她的工作
[00:00:46.000 --> 00:00:48.000]  很多時候是做一些研究
[00:00:48.000 --> 00:00:50.000]  或者了解
[00:00:50.000 --> 00:00:52.000]  有時候她會聽取一些單身的肢體
[00:00:52.000 --> 00:00:54.000]  一些心聲的表達
[00:00:54.000 --> 00:00:56.000]  有一次
[00:00:56.000 --> 00:00:58.000]  有一位姊妹
[00:00:58.000 --> 00:01:00.000]  跟她說
[00:01:00.000 --> 00:01:02.000]  她覺得我們這些信徒
[00:01:02.000 --> 00:01:04.000]  特別是有經濟的基礎
[00:01:04.000 --> 00:01:06.000]  又能幹
[00:01:06.000 --> 00:01:08.000]  又年過三十歲之後
[00:01:08.000 --> 00:01:10.000]  我們擇偶
[00:01:10.000 --> 00:01:12.000]  的確是一個很大的挑戰
[00:01:12.000 --> 00:01:14.000]  她說
[00:01:14.000 --> 00:01:16.000]  環顧我周圍工作的時候
[00:01:16.000 --> 00:01:18.000]  或者生活的
[00:01:18.000 --> 00:01:20.000]  所遇到的一些人士
[00:01:20.000 --> 00:01:22.000]  其實都不是很多基督徒的對象
[00:01:22.000 --> 00:01:24.000]  她說
[00:01:24.000 --> 00:01:26.000]  遇到一些條件不錯的基督徒
[00:01:26.000 --> 00:01:28.000]  又或者不嫌棄
[00:01:28.000 --> 00:01:30.000]  我這個年紀
[00:01:30.000 --> 00:01:32.000]  還適合的時候
[00:01:32.000 --> 00:01:34.000]  如果他對我
[00:01:34.000 --> 00:01:36.000]  表示一些好感
[00:01:36.000 --> 00:01:38.000]  或者想追求我
[00:01:38.000 --> 00:01:40.000]  我很難拒絕他
[00:01:40.000 --> 00:01:42.000]  因為怕蘇州過後
[00:01:42.000 --> 00:01:44.000]  沒有艇搭
[00:01:44.000 --> 00:01:46.000]  這是一個很真實的經歷
[00:01:46.000 --> 00:01:48.000]  我相信單身
[00:01:48.000 --> 00:01:50.000]  都是一個很多的掙扎
[00:01:50.000 --> 00:01:52.000]  有時候覺得為什麼這麼多識分的人
[00:01:52.000 --> 00:01:54.000]  突然之間結了婚
[00:01:54.000 --> 00:01:56.000]  我好像還沒有找到對象
[00:01:56.000 --> 00:01:58.000]  是不是我有點不妥呢
[00:01:58.000 --> 00:02:00.000]  又或者家人的
[00:02:00.000 --> 00:02:02.000]  親友的壓力
[00:02:02.000 --> 00:02:04.000]  覺得結婚
[00:02:04.000 --> 00:02:06.000]  才是一個幸福的人生的階段
[00:02:06.000 --> 00:02:08.000]  如果沒有
[00:02:08.000 --> 00:02:10.000]  真的怎麼辦呢
[00:02:10.000 --> 00:02:12.000]  我記得以前在美國
[00:02:12.000 --> 00:02:14.000]  有一個姊妹
[00:02:14.000 --> 00:02:16.000]  年紀漸漸大
[00:02:16.000 --> 00:02:20.000]  家裡很大的壓力
[00:02:20.000 --> 00:02:22.000]  在這樣的情況下
[00:02:22.000 --> 00:02:24.000]  很快的結了婚
[00:02:24.000 --> 00:02:26.000]  但是很可惜
[00:02:26.000 --> 00:02:28.000]  在一個很不開心的經歷之下
[00:02:28.000 --> 00:02:30.000]  要很快的離婚
[00:02:30.000 --> 00:02:32.000]  究竟我們基督徒
[00:02:32.000 --> 00:02:34.000]  怎麼看婚姻
[00:02:34.000 --> 00:02:36.000]  婚姻這麼重要的課題
[00:02:36.000 --> 00:02:38.000]  這麼重要的事情
[00:02:38.000 --> 00:02:40.000]  在我們的生命裡面
[00:02:40.000 --> 00:02:42.000]  我們怎麼看呢
[00:02:42.000 --> 00:02:44.000]  如果還在單身的當中
[00:02:44.000 --> 00:02:46.000]  我們怎麼去自處呢
[00:02:46.000 --> 00:02:48.000]  我想第一個問題
[00:02:48.000 --> 00:02:50.000]  到底婚姻是哪一個
[00:02:50.000 --> 00:02:52.000]  這個很重要的
[00:02:52.000 --> 00:02:54.000]  因為決定了我們人生的方向
[00:02:54.000 --> 00:02:56.000]  以至於我們無論是事業
[00:02:56.000 --> 00:02:58.000]  工作或者學業等等
[00:02:58.000 --> 00:03:00.000]  甚至婚姻
[00:03:00.000 --> 00:03:02.000]  我們交給這位主的手上
[00:03:02.000 --> 00:03:04.000]  我們信得過他
[00:03:04.000 --> 00:03:06.000]  帶領我們走我們的人生
[00:03:06.000 --> 00:03:08.000]  Will Warren 說過一句話
[00:03:08.000 --> 00:03:10.000]  很有意思
[00:03:10.000 --> 00:03:12.000]  他說人生的目標
[00:03:12.000 --> 00:03:14.000]  不只是自我滿足快樂
[00:03:14.000 --> 00:03:16.000]  更加不是
[00:03:16.000 --> 00:03:18.000]  所謂婚姻
[00:03:18.000 --> 00:03:20.000]  或者事業
[00:03:20.000 --> 00:03:22.000]  甚至我們的夢想
[00:03:22.000 --> 00:03:24.000]  可以是相關的
[00:03:24.000 --> 00:03:26.000]  更重要的是
[00:03:26.000 --> 00:03:28.000]  認識我們這位創造主
[00:03:28.000 --> 00:03:30.000]  他帶領我們的人生
[00:03:30.000 --> 00:03:32.000]  這才是最重要的
[00:03:32.000 --> 00:03:34.000]  人生的目標如果沒有了主宰
[00:03:34.000 --> 00:03:36.000]  沒有了方位的時候
[00:03:36.000 --> 00:03:38.000]  我們很難無論婚姻
[00:03:38.000 --> 00:03:40.000]  無論工作
[00:03:40.000 --> 00:03:42.000]  很難找到定位
[00:03:42.000 --> 00:03:44.000]  就好像鋼琴
[00:03:44.000 --> 00:03:46.000]  做鋼琴的主人
[00:03:46.000 --> 00:03:48.000]  他告訴你
[00:03:48.000 --> 00:03:50.000]  這些琴鍵是什麼意思
[00:03:50.000 --> 00:03:52.000]  以至於我們怎樣去殘奏
[00:03:52.000 --> 00:03:54.000]  一段美麗的樂章
[00:03:54.000 --> 00:03:56.000]  同樣我們的生命一樣
[00:03:56.000 --> 00:03:58.000]  如果我們脫離了這位
[00:03:58.000 --> 00:04:00.000]  創造主在我們生命的主宰的時候
[00:04:00.000 --> 00:04:02.000]  我們一個這麼重大的決定
[00:04:02.000 --> 00:04:04.000]  很容易會
[00:04:04.000 --> 00:04:06.000]  自己做了一些錯誤的決定
[00:04:06.000 --> 00:04:08.000]  不在神的心意裡面
[00:04:08.000 --> 00:04:10.000]  所以一個人無論是
[00:04:10.000 --> 00:04:12.000]  單身的生活或者是
[00:04:12.000 --> 00:04:14.000]  結婚的生活
[00:04:14.000 --> 00:04:16.000]  若然在神的美意當中
[00:04:16.000 --> 00:04:18.000]  我們必定能夠活出
[00:04:18.000 --> 00:04:20.000]  一個美好的人生
[00:04:20.000 --> 00:04:22.000]  或者我們看一段經文
[00:04:22.000 --> 00:04:24.000]  我們可以看到
[00:04:24.000 --> 00:04:26.000]  寶萊講了一個很重要的課題
[00:04:26.000 --> 00:04:28.000]  哥倫多教會的信徒就問寶萊
[00:04:28.000 --> 00:04:30.000]  關於結婚婚姻的一些問題
[00:04:30.000 --> 00:04:32.000]  當然他們受到一些歪曲了的思想
