
[00:00:00.000 --> 00:00:02.740]  簡單交代一下這套劇的劇情
[00:00:02.740 --> 00:00:06.340]  這套劇裡面描述的社會是
[00:00:06.340 --> 00:00:09.620]  每一個人都有一個特殊的裝置
[00:00:09.620 --> 00:00:12.020]  眼球裡面有一個特殊的裝置
[00:00:12.020 --> 00:00:16.920]  還有每一個人都會拿著一個好像電話的裝備
[00:00:16.920 --> 00:00:18.240]  用來做什麼呢?
[00:00:18.240 --> 00:00:20.300]  他們眼球的特殊裝置就是
[00:00:20.300 --> 00:00:23.640]  看看身邊每一個人都有一個分數
[00:00:23.640 --> 00:00:26.980]  每一個人最高可以有五顆星
[00:00:26.980 --> 00:00:29.560]  五顆星代表什麼呢?
[00:00:29.560 --> 00:00:34.520]  就是代表你在社會地位裡面是很高級的
[00:00:34.520 --> 00:00:37.560]  在社會裡面是很受歡迎的
[00:00:37.560 --> 00:00:39.840]  反過來如果你的評分越低
[00:00:39.840 --> 00:00:44.520]  你在社會裡面應該是一個不太受歡迎的人
[00:00:44.520 --> 00:00:46.520]  這套劇裡面有這樣的背景
[00:00:46.520 --> 00:00:51.160]  其中一個劇裡面的女主角叫做Nancy
[00:00:51.160 --> 00:00:54.240]  她本身一開始也有4.2分的
[00:00:54.240 --> 00:00:57.760]  五分滿分有4.2分也是一個不錯的分數
[00:00:57.760 --> 00:01:01.600]  後來她看中了一個豪宅
[00:01:01.600 --> 00:01:03.600]  她想租這個豪宅去住
[00:01:03.600 --> 00:01:08.080]  但是她要拿到4.5分才能夠有折扣
[00:01:08.080 --> 00:01:11.000]  她很想有這個折扣但是她又不夠分數
[00:01:11.000 --> 00:01:14.200]  所以她就很努力賺取這個分數
[00:01:14.200 --> 00:01:16.000]  怎樣賺取這個分數呢?
[00:01:16.000 --> 00:01:18.280]  在劇裡面有幾個方法的
[00:01:18.280 --> 00:01:22.200]  就是你討好一些你高分過你的人
[00:01:22.200 --> 00:01:25.080]  你跟他做朋友,你跟他有社交
[00:01:25.080 --> 00:01:29.040]  自然你就會提高你的分數
[00:01:29.040 --> 00:01:32.200]  於是這個女主角就很努力在網上
[00:01:32.200 --> 00:01:34.360]  譬如拍很多照片,擺在網上
[00:01:34.360 --> 00:01:38.720]  讓別人讚她的照片,然後提高自己的分數
[00:01:38.720 --> 00:01:43.240]  甚至她明明不喜歡跟一些上流社會接觸
[00:01:43.240 --> 00:01:49.320]  去交朋友,她都勉為其難去嘗試去做這些事
[00:01:49.320 --> 00:01:53.440]  當她有一天擺一張照片,是一個毛公仔
[00:01:53.440 --> 00:01:57.760]  的時候有一個女生就讚了她這張照片
[00:01:57.760 --> 00:02:00.880]  這個女生原來是她小時候的朋友
[00:02:00.880 --> 00:02:02.400]  她叫做Naomi
[00:02:02.400 --> 00:02:05.960]  這個Naomi本身也是一個很高分的女生
[00:02:05.960 --> 00:02:09.280]  有4.6分剩7分,我不太記得了
[00:02:09.280 --> 00:02:12.760]  於是Lacey就說這個我的好朋友
[00:02:12.760 --> 00:02:16.640]  老朋友,也是一個很高分數的人
