
[00:00:00.000 --> 00:00:04.440]  完成了舊約約拿書的系列之後
[00:00:04.440 --> 00:00:10.500]  我經過祈禱和研讀想開始一個新的講道系列
[00:00:10.500 --> 00:00:15.500]  就是十誡
[00:00:15.500 --> 00:00:18.740]  有兩個原因
[00:00:18.740 --> 00:00:23.240]  第一個原因是我從來沒有講過十誡
[00:00:23.240 --> 00:00:26.620]  因為十誡是非常困難
[00:00:26.620 --> 00:00:33.500]  以往是根本不敢太過深入去研讀十誡
[00:00:33.500 --> 00:00:37.900]  以前是根本不敢去太過深入去研讀這個十誡
[00:00:37.900 --> 00:00:42.120]  當然另一個我們說十誡是一種信仰的傳承
[00:00:42.120 --> 00:00:44.960]  當然我們說十誡是一個信仰的傳承
[00:00:44.960 --> 00:00:49.080]  是會世世代代地延續下去
[00:00:49.080 --> 00:00:54.500]  舊約的時代上帝頒佈這個信仰的總綱十誡
[00:00:54.500 --> 00:00:59.620]  舊約的時代上帝頒佈這個十誡的總綱
[00:00:59.620 --> 00:01:03.200]  不是一些毫無感情或者一成不變的律法
[00:01:03.200 --> 00:01:05.780]  不是一些毫無感情一成不變的律法
[00:01:05.780 --> 00:01:10.480]  我們相信當日那個十誡的信息
[00:01:10.480 --> 00:01:12.980]  和我們今天仍然息息相關
[00:01:12.980 --> 00:01:15.700]  我們相信當時候的十誡的信息
[00:01:15.700 --> 00:01:17.880]  是跟我們現在息息相關
[00:01:17.880 --> 00:01:20.720]  上帝設立了很多的律例
[00:01:20.720 --> 00:01:22.520]  上帝設立了很多律例
[00:01:22.520 --> 00:01:26.800]  其實他是要為我們人類立一個界線和界限
[00:01:26.800 --> 00:01:30.360]  其實是要為我們人類立一個界線和底線
[00:01:30.360 --> 00:01:32.460]  或者是建立一個道德的底線
[00:01:32.460 --> 00:01:34.620]  或者是建立一個道德的底線
[00:01:34.620 --> 00:01:39.000]  十誡和其他的誡命的精髓也都在這裡
[00:01:39.000 --> 00:01:42.160]  而十誡的誡命和精髓也在這裡
[00:01:42.160 --> 00:01:43.960]  他不是要規範我們
[00:01:43.960 --> 00:01:44.960]  他不是要規範我們
[00:01:44.960 --> 00:01:47.800]  他要讓我們人類知道那條界線
[00:01:47.800 --> 00:01:49.440]  他是要讓我們人類知道這條界線
[00:01:49.440 --> 00:01:51.600]  當我們超越這條界線的時候
[00:01:51.600 --> 00:01:53.080]  當我們超越這條界線的時候
[00:01:53.080 --> 00:01:55.960]  就是我們陷入一個墮落或者失敗的裏面
[00:01:55.960 --> 00:01:58.640]  就是我們陷入一個墮落或者失敗的裏面
[00:01:58.640 --> 00:02:02.440]  美國的著名作家丹尼斯
[00:02:02.440 --> 00:02:04.840]  美國的著名作家丹尼斯
[00:02:04.840 --> 00:02:08.920]  他有一本很出名的書叫做《十誡最好的道德教訓》
[00:02:08.920 --> 00:02:13.880]  他有一本書叫做《十誡最好的道德準則》
[00:02:13.880 --> 00:02:18.360]  他裏面提到現代人非常追求的那種個人主義
[00:02:18.360 --> 00:02:22.720]  他裏面提到現代人非常追求的那種個人主義
[00:02:22.720 --> 00:02:26.080]  他不受任何所謂道德枷鎖的約束
[00:02:26.080 --> 00:02:28.960]  他不受任何道德枷鎖的約束
[00:02:28.960 --> 00:02:35.400]  所以作者重申十誡的精髓是我們的規範
[00:02:35.400 --> 00:02:41.720]  所以作者重申十誡的精髓是我們的規範
[00:02:41.720 --> 00:02:45.600]  可以應用在我們生活每個層面裏
[00:02:45.600 --> 00:02:47.680]  可以應用在我們生活每個層面
[00:02:47.680 --> 00:02:54.280]  十誡對信徒來說是一個熟悉又陌生的經文
[00:02:54.280 --> 00:02:58.920]  十誡對我們信徒來說是一些既熟悉又陌生的經文
[00:02:58.920 --> 00:03:03.600]  熟悉可能我們從小上主學都已經聽過十誡這個故事無數次
