
[00:00:00.000 --> 00:00:03.240]  我們今天會繼續思想聖誕的訊息
[00:00:03.240 --> 00:00:06.340]  大家和我一起同心祈禱 仰望著
[00:00:06.340 --> 00:00:12.960]  天父我們感謝祢
[00:00:12.960 --> 00:00:16.320]  祢的確是那位施恩的上帝
[00:00:16.320 --> 00:00:19.240]  滿有能力的上帝
[00:00:19.240 --> 00:00:23.000]  祢賜下祢自己大有能力的拯救
[00:00:23.000 --> 00:00:28.640]  沒有人能夠將我們從罪惡中釋放出來
[00:00:28.640 --> 00:00:31.920]  唯獨主 天地的主
[00:00:31.920 --> 00:00:35.280]  愛我們的主 賜我們拯救
[00:00:35.280 --> 00:00:38.780]  主我們今天在聖誕的主日的時候
[00:00:38.780 --> 00:00:42.380]  我們再次同心向祢獻上我們心中的感謝
[00:00:42.380 --> 00:00:45.140]  也祈求天上的上帝
[00:00:45.140 --> 00:00:47.900]  主讓祢自己按照祢的應許
[00:00:47.900 --> 00:00:50.060]  與祢的兒女們同在
[00:00:50.060 --> 00:00:55.100]  也讓我們不會輕忽祢自己的同在
[00:00:55.100 --> 00:00:58.140]  以致我們走了自己的路
[00:00:58.820 --> 00:01:01.640]  主啊 祢自己在此聖誕節期間
[00:01:01.640 --> 00:01:03.860]  祢施恩與祢的教會
[00:01:03.860 --> 00:01:06.260]  讓我們因為知道祢的恩惠
[00:01:06.260 --> 00:01:10.060]  我們就緊貼著祢的心來跟隨祢
[00:01:10.060 --> 00:01:14.700]  求主在這個時刻也引領我們思想祢自己聖經的說話
[00:01:14.700 --> 00:01:17.780]  讓我們在祢面前一同蒙恩
[00:01:17.780 --> 00:01:21.120]  我們仰望祈禱 奉耶穌的聖名祈求
[00:01:21.120 --> 00:01:22.120]  阿門
[00:01:22.120 --> 00:01:26.940]  我們今天大家一起打開聖經
[00:01:26.940 --> 00:01:29.240]  《馬太福音》第一章的經文
[00:01:29.240 --> 00:01:30.680]  來繼續思想
[00:01:30.680 --> 00:01:40.700]  今年早上請大家都忍耐我低沉的聲音
[00:01:40.700 --> 00:01:45.180]  弟兄姊妹都知道我這段時間感冒一直都未曾完全康復
[00:01:45.180 --> 00:01:47.460]  但是相信神都恩待我們
[00:01:47.460 --> 00:01:50.060]  我們都可以一起來領受聖經的說話
[00:01:50.060 --> 00:01:52.220]  在《馬太福音》第一章
[00:01:52.220 --> 00:01:54.780]  大家都會知道一段熟悉的經文
[00:01:54.780 --> 00:01:56.220]  提到當時
[00:01:57.020 --> 00:02:00.860]  約瑟他如何領受使者給他的報夢
