
[00:00:00.000 --> 00:00:08.620]  我現在在退休,很高興梁牧師加入退休行列
[00:00:08.620 --> 00:00:14.680]  梁師傅打電話給我,很開心,他退休了
[00:00:14.680 --> 00:00:19.100]  我好像有些大事要做
[00:00:19.100 --> 00:00:21.900]  好像明天會公佈是怎樣,我不知道
[00:00:21.900 --> 00:00:24.960]  我又沒有查他
[00:00:24.960 --> 00:00:32.800]  今天是30週年唐慶培靈崇拜的第一堂
[00:00:32.800 --> 00:00:35.120]  是不是這樣算的?
[00:00:35.120 --> 00:00:39.420]  我不知道編排,總之我看了程序表
[00:00:39.420 --> 00:00:42.280]  早堂,星期六早堂
[00:00:42.280 --> 00:00:51.640]  我是否應該歡迎梁牧師加入退休行列?
[00:00:51.640 --> 00:00:54.520]  我是被迫退休
[00:00:54.520 --> 00:00:58.040]  不是教他解僱我,不要誤會
[00:00:58.040 --> 00:01:03.440]  而是我先講我的故事
[00:01:03.440 --> 00:01:05.640]  今年是2016年
[00:01:05.640 --> 00:01:10.600]  2011年的時候,我突然身體有點不舒服
[00:01:10.600 --> 00:01:13.320]  長話短說
[00:01:13.320 --> 00:01:16.600]  我們當時救了幾好
[00:01:16.600 --> 00:01:20.920]  可以定期做身體檢查
[00:01:20.920 --> 00:01:23.800]  我是放了年假
[00:01:23.800 --> 00:01:27.040]  我的年假很好,環遊世界
[00:01:27.040 --> 00:01:28.800]  不是教會給錢我,環遊世界
[00:01:28.800 --> 00:01:31.120]  你不要去查,為何要環遊世界
[00:01:31.120 --> 00:01:32.600]  我又不是很有錢,環遊世界
[00:01:32.600 --> 00:01:35.680]  總之我有機會環遊世界
[00:01:35.680 --> 00:01:39.240]  回來之前兩個月
[00:01:39.240 --> 00:01:45.000]  我吃了一些東西,胃部有點不舒服
[00:01:45.000 --> 00:01:47.600]  是這麼簡單,沒有其他東西
[00:01:47.600 --> 00:01:55.560]  我快要放完假,去檢查身體
[00:01:55.560 --> 00:02:04.480]  檢查後發現我的胃外壁和肝中間有一塊東西
[00:02:04.480 --> 00:02:12.360]  再查清楚是腸胃到肌質腫瘤
[00:02:12.360 --> 00:02:17.720]  檢查後便做手術
[00:02:17.720 --> 00:02:22.160]  當時我收到一個訊號
[00:02:22.160 --> 00:02:25.240]  訊號就是我已經這麼大
[00:02:25.240 --> 00:02:32.960]  身體做了一段時間,有些跡象顯示
[00:02:32.960 --> 00:02:34.920]  因為這個緣故
[00:02:34.920 --> 00:02:39.680]  我覺得我的人生需要重整
[00:02:39.680 --> 00:02:42.760]  和今天題目的關係不一樣
[00:02:42.760 --> 00:02:48.480]  因為今天題目是選擇生命重整生活
[00:02:48.480 --> 00:02:54.040]  我覺得侍奉了這麼久
[00:02:54.040 --> 00:02:58.800]  現在有跡象顯示我的生命未必很長久
[00:02:58.800 --> 00:03:01.400]  所以當時我已經做了決定
[00:03:01.400 --> 00:03:13.880]  我打算在教會牧羊全職侍奉的主任牧師的崗位退下來辭職
[00:03:13.880 --> 00:03:17.360]  當時我給自己十年命
[00:03:17.360 --> 00:03:20.280]  我預計要有預算,誰知有多長命
[00:03:20.280 --> 00:03:22.720]  可能不夠我十年命
[00:03:22.720 --> 00:03:25.640]  隔了一個多月,我又去看醫生
[00:03:25.640 --> 00:03:28.640]  做了手術,沒事了,我覺得沒事了
[00:03:28.640 --> 00:03:36.440]  再去看醫生,醫生說這個病是癌症
[00:03:36.440 --> 00:03:39.640]  我說什麼?我的外科醫生說不是癌症
[00:03:39.640 --> 00:03:42.720]  是癌症,我就不太相信他
[00:03:42.720 --> 00:03:49.640]  我真的聽他說,我就去QE找腫瘤科
[00:03:49.640 --> 00:03:52.040]  寫封信給腫瘤科看
[00:03:52.040 --> 00:03:59.360]  主任醫生一去到就說這個是癌症
[00:03:59.360 --> 00:04:00.920]  他說你騙我?
[00:04:00.920 --> 00:04:04.120]  因為我上網查過不是癌症
[00:04:04.120 --> 00:04:05.840]  他說了一句話很好玩
[00:04:05.840 --> 00:04:08.400]  以前不算癌症,現在算是癌症
[00:04:08.400 --> 00:04:12.480]  那就是無話可說
[00:04:12.480 --> 00:04:16.520]  然後他用了一個小時去說我
[00:04:16.520 --> 00:04:19.360]  說我你要吃藥
[00:04:19.360 --> 00:04:20.400]  吃什麼藥呢?
[00:04:20.400 --> 00:04:23.400]  很貴的藥叫做標靶藥
