
[00:00:00.000 --> 00:00:05.120]  今天的聖經就是由使徒保羅寫給一間教會
[00:00:05.120 --> 00:00:07.520]  叫做「菲律賓教會」的信徒
[00:00:07.520 --> 00:00:13.200]  今天的經文就是使徒保羅寫給菲律賓教會的信徒的一封信
[00:00:13.200 --> 00:00:19.200]  他們兩者之間同樣有一種很特殊的關係
[00:00:19.200 --> 00:00:21.880]  他們兩者之間有一個很特殊的關係
[00:00:21.880 --> 00:00:25.000]  讓我們仔細地看一看這幾節的經文
[00:00:25.000 --> 00:00:27.000]  讓我們仔細地去看一看這一節的經文
[00:00:27.000 --> 00:00:30.000]  我們看第四章第一節
[00:00:30.000 --> 00:00:35.000]  我所親愛所想念的弟兄們,你們就是我的喜樂,我的冠冕
[00:00:35.000 --> 00:00:39.000]  我親愛的弟兄,你們應當靠主站立得穩
[00:00:39.000 --> 00:00:45.000]  在保羅的心目中,菲律賓信徒是他所親愛的
[00:00:45.000 --> 00:00:49.000]  在保羅的心目中,菲律賓信徒對他們來講是他所親愛的
[00:00:49.000 --> 00:00:56.000]  所以當想到他們是因為保羅傳福音給他們而成為基督徒的時候
[00:00:56.000 --> 00:01:01.000]  所以當想到他們是因為保羅傳福音給他們而成為基督徒的時候
[00:01:01.000 --> 00:01:06.000]  保羅就好像當時的運動員贏得比賽之後
[00:01:06.000 --> 00:01:09.000]  保羅就好像當時的運動員贏得比賽之後
[00:01:09.000 --> 00:01:13.000]  是得到一個勝利的花環那麼高興
[00:01:13.000 --> 00:01:16.000]  是得到一個勝利的花環那麼高興
[00:01:16.000 --> 00:01:20.000]  在今天的角度來說,拿一個花環有什麼好高興呢?
[00:01:20.000 --> 00:01:23.000]  在今天的國度裡面,可能那個花環就沒什麼值得高興
[00:01:23.000 --> 00:01:26.000]  如果拿一個竹金金牌就好一點了
[00:01:26.000 --> 00:01:27.000]  拿一個竹金的金牌可能比較好一點
[00:01:27.000 --> 00:01:31.000]  在當時來說,這個花環是代表一個很高的榮耀
[00:01:31.000 --> 00:01:34.000]  在當時來說,這個花環是代表一個很高的榮耀
[00:01:34.000 --> 00:01:38.000]  得到這個花環的時候是非常的高興
[00:01:38.000 --> 00:01:40.000]  得到這個花環的時候是非常的高興
[00:01:40.000 --> 00:01:44.000]  所以保羅就說你們就是我的喜樂,我的冠冕
[00:01:44.000 --> 00:01:47.000]  所以保羅就說你們就是我的喜樂,就是我的冠冕
[00:01:47.000 --> 00:01:51.000]  他非常的關心這些初信的信徒
[00:01:51.000 --> 00:01:55.000]  他非常的關心這些初信的信徒
[00:01:55.000 --> 00:01:57.000]  這些信徒是外邦人,大多數都是外邦人
[00:01:57.000 --> 00:02:00.000]  這些信徒是外邦人,大多數都是外邦人
[00:02:00.000 --> 00:02:03.000]  在當時來說,他們是在受逼迫的
[00:02:03.000 --> 00:02:05.000]  在當時來說,他們是在受逼迫的
[00:02:05.000 --> 00:02:09.000]  不是那麼容易像我們今天信耶穌那麼幸福的
[00:02:09.000 --> 00:02:13.000]  不是像我們今天信耶穌那麼簡單的那麼幸福的
[00:02:13.000 --> 00:02:20.000]  所以保羅就恐怕他們的信仰是受不住環境的那種試探和逼迫而跌倒
[00:02:20.000 --> 00:02:25.000]  所以保羅就恐怕他們的信仰是受不住環境的那種試探和逼迫而跌倒
[00:02:25.000 --> 00:02:28.000]  他很迫切的吩咐他們
[00:02:28.000 --> 00:02:31.000]  他很迫切的吩咐他們
[00:02:31.000 --> 00:02:33.000]  當靠主站立得穩
[00:02:33.000 --> 00:02:35.000]  當靠主站立得穩
[00:02:35.000 --> 00:02:39.000]  就好像今天所說的,站好一點
[00:02:39.000 --> 00:02:41.000]  就好像今天所說的,站好一點
[00:02:41.000 --> 00:02:46.000]  好像一些勇敢的士兵當面對來勢洶洶的敵人的時候
[00:02:46.000 --> 00:02:52.000]  就好像一些勇敢的士兵當面對來勢洶洶的敵人的時候
[00:02:52.000 --> 00:02:55.000]  一點都不會畏縮退後
[00:02:55.000 --> 00:02:57.000]  一點都不會畏縮退後
[00:02:57.000 --> 00:03:00.000]  我們作為基督徒都應該一樣
[00:03:00.000 --> 00:03:02.000]  我們基督徒應該也是一樣
[00:03:02.000 --> 00:03:04.000]  要站立得穩
