
[00:00:00.000 --> 00:00:01.480]  哈嘍 第一節目好
[00:00:01.480 --> 00:00:04.980]  首先在這裡再次恭祝大家新年快樂
[00:00:04.980 --> 00:00:07.380]  在豬裡面有好的長進
[00:00:07.380 --> 00:00:09.880]  在狗裡面我們更加體會到
[00:00:09.880 --> 00:00:11.720]  我們的彼此相愛
[00:00:11.720 --> 00:00:15.340]  我們首先有個禱告
[00:00:15.340 --> 00:00:16.380]  天父多謝你
[00:00:16.380 --> 00:00:19.260]  讓我們在新春的期間
[00:00:19.260 --> 00:00:23.400]  我們可以一起在一起去敬拜你
[00:00:23.400 --> 00:00:24.700]  我們獻上感謝
[00:00:24.700 --> 00:00:27.120]  我們一起去學習
[00:00:27.120 --> 00:00:30.900]  如何成為一個更加蒙福的人
[00:00:30.900 --> 00:00:33.080]  主求主你去引領我們
[00:00:33.080 --> 00:00:35.360]  祈禱奉主耶穌基督的名
[00:00:35.360 --> 00:00:37.480]  阿們
[00:00:37.480 --> 00:00:41.280]  我們都知道新春的階段
[00:00:41.280 --> 00:00:45.380]  這個時間很多人都會在這些店鋪
[00:00:45.380 --> 00:00:49.120]  又或者在家裡面寫一些揮春
[00:00:49.120 --> 00:00:53.040]  通常這些揮春都會反映到香港的現況
[00:00:53.040 --> 00:00:55.800]  和香港人期盼新的一年
[00:00:55.800 --> 00:00:58.740]  有些什麼福份可以得到
[00:00:58.740 --> 00:01:02.780]  我想問一下大家一個問題
[00:01:02.780 --> 00:01:09.620]  你覺得哪一個的內容是最受歡迎的?
[00:01:09.620 --> 00:01:11.820]  身體健康 答對了
[00:01:11.820 --> 00:01:14.240]  當然有不同的店鋪
[00:01:14.240 --> 00:01:16.480]  或者是受賣這些揮春的人
[00:01:16.480 --> 00:01:19.080]  有不同的顧客的看法
[00:01:19.080 --> 00:01:21.400]  其中一個是身體健康
[00:01:21.400 --> 00:01:22.460]  因為疫症
[00:01:22.460 --> 00:01:24.800]  我們個個都很緊張我們的健康
[00:01:24.800 --> 00:01:27.080]  還有呢?
[00:01:27.080 --> 00:01:29.320]  你猜一下
[00:01:29.320 --> 00:01:35.560]  有沒有想一下有些什麼?
[00:01:35.560 --> 00:01:38.480]  你猜一下
[00:01:38.480 --> 00:01:39.800]  疫情快點過去
[00:01:39.800 --> 00:01:41.880]  都類似的
[00:01:41.880 --> 00:01:42.760]  疫情快點過去
[00:01:42.760 --> 00:01:44.720]  或者經濟好轉
[00:01:44.720 --> 00:01:46.240]  一帆風順
[00:01:46.240 --> 00:01:50.240]  生意興隆
[00:01:50.240 --> 00:01:51.120]  這些就是
[00:01:51.120 --> 00:01:53.920]  你會看到這些祝福的話
[00:01:53.920 --> 00:01:56.280]  其實都表達到香港人的心態
[00:01:56.280 --> 00:01:58.760]  這樣的想法
[00:01:58.760 --> 00:02:00.960]  或者還有一樣東西
[00:02:00.960 --> 00:02:03.600]  最後讓大家想一下
[00:02:03.600 --> 00:02:06.480]  有些寫得好像對聯一樣
[00:02:06.480 --> 00:02:08.360]  有些四個字
[00:02:08.360 --> 00:02:09.920]  一個字大家都很開心
[00:02:09.920 --> 00:02:11.240]  很喜歡要的
[00:02:11.240 --> 00:02:13.120]  這個是什麼字?
[00:02:13.120 --> 00:02:13.360]  福
[00:02:13.360 --> 00:02:14.200]  是的
[00:02:14.200 --> 00:02:17.840]  每個人都想有福份的
[00:02:17.840 --> 00:02:19.000]  通常我們想到
[00:02:19.000 --> 00:02:20.600]  這些揮春其實都是
[00:02:20.600 --> 00:02:22.480]  講到我們經歷了什麼好的東西
[00:02:22.480 --> 00:02:24.360]  我們拿到什麼好的東西
[00:02:24.360 --> 00:02:27.920]  聖經有沒有講類似的話?
[00:02:27.920 --> 00:02:31.400]  聖經有沒有叫我們身體健康?
[00:02:31.400 --> 00:02:32.720]  想一下
[00:02:32.720 --> 00:02:35.360]  你被這個諸牧師考起了
[00:02:35.360 --> 00:02:36.680]  有沒有?
[00:02:36.680 --> 00:02:37.400]  有
[00:02:37.400 --> 00:02:38.200]  當然了
[00:02:38.200 --> 00:02:40.040]  身體是神所做的
[00:02:40.040 --> 00:02:40.800]  是不是?
[00:02:40.800 --> 00:02:41.840]  所以都有
[00:02:41.840 --> 00:02:44.000]  聖經都有很多祝福
[00:02:44.000 --> 00:02:44.800]  不過呢
[00:02:44.800 --> 00:02:46.520]  跟大家一起去想一下
[00:02:46.520 --> 00:02:47.480]  就是聖經強調
[00:02:47.480 --> 00:02:49.880]  祝福就不是祝福本身有些什麼
[00:02:49.880 --> 00:02:52.440]  而是哪種人是蒙福的
[00:02:52.440 --> 00:02:55.120]  這個反而是聖經的強調點
[00:02:55.120 --> 00:02:55.720]  很重要的
[00:02:55.720 --> 00:02:58.120]  如果我們知道這件事的時候
[00:02:58.120 --> 00:02:59.200]  我們就發覺
